Refractive index of gold at +62K
lambda [um]	n	k
0.55043	0.34609	2.48431
0.55212	0.33775	2.51202
0.55381	0.32983	2.53934
0.55550	0.32231	2.56628
0.55719	0.31517	2.59285
0.55888	0.30837	2.61907
0.56057	0.30190	2.64494
0.56225	0.29574	2.67048
0.56394	0.28986	2.69570
0.56563	0.28426	2.72062
0.56732	0.27891	2.74523
0.56901	0.27381	2.76955
0.57070	0.26893	2.79359
0.57239	0.26426	2.81737
0.57408	0.25980	2.84088
0.57577	0.25553	2.86414
0.57746	0.25144	2.88716
0.57915	0.24752	2.90994
0.58084	0.24377	2.93249
0.58253	0.24017	2.95482
0.58422	0.23672	2.97694
0.58591	0.23340	2.99885
0.58760	0.23022	3.02056
0.58929	0.22717	3.04208
0.59098	0.22424	3.06341
0.59267	0.22142	3.08455
0.59436	0.21871	3.10552
0.59605	0.21610	3.12632
0.59774	0.21360	3.14695
0.59943	0.21119	3.16743
0.60112	0.20887	3.18774
0.60281	0.20664	3.20791
0.60450	0.20449	3.22792
0.60619	0.20242	3.24779
0.60788	0.20043	3.26753
0.60957	0.19851	3.28713
0.61126	0.19666	3.30660
0.61295	0.19488	3.32594
0.61464	0.19317	3.34515
0.61633	0.19151	3.36425
0.61801	0.18992	3.38323
0.61970	0.18838	3.40209
0.62139	0.18690	3.42084
0.62308	0.18547	3.43949
0.62477	0.18409	3.45803
0.62646	0.18276	3.47646
0.62815	0.18148	3.49480
0.62984	0.18025	3.51304
0.63153	0.17906	3.53118
0.63322	0.17791	3.54923
0.63491	0.17680	3.56719
0.63660	0.17573	3.58506
0.63829	0.17470	3.60285
0.63998	0.17371	3.62055
0.64167	0.17275	3.63817
0.64336	0.17183	3.65571
0.64505	0.17094	3.67317
0.64674	0.17009	3.69055
0.64843	0.16926	3.70786
0.65012	0.16846	3.72510
0.65181	0.16770	3.74227
0.65350	0.16696	3.75936
0.65519	0.16625	3.77639
0.65688	0.16557	3.79336
0.65857	0.16491	3.81025
0.66026	0.16428	3.82709
0.66195	0.16367	3.84386
0.66364	0.16309	3.86057
0.66533	0.16253	3.87722
0.66702	0.16199	3.89381
0.66871	0.16147	3.91034
0.67040	0.16098	3.92682
0.67209	0.16050	3.94325
0.67378	0.16004	3.95962
0.67546	0.15961	3.97594
0.67715	0.15919	3.99220
0.67884	0.15879	4.00842
0.68053	0.15841	4.02458
0.68222	0.15804	4.04070
0.68391	0.15770	4.05677
0.68560	0.15737	4.07279
0.68729	0.15705	4.08877
0.68898	0.15675	4.10470
0.69067	0.15647	4.12059
0.69236	0.15620	4.13644
0.69405	0.15594	4.15224
0.69574	0.15570	4.16800
0.69743	0.15548	4.18372
0.69912	0.15526	4.19940
0.70081	0.15506	4.21504
0.70250	0.15488	4.23064
0.70419	0.15470	4.24621
0.70588	0.15454	4.26174
0.70757	0.15439	4.27723
0.70926	0.15425	4.29268
0.71095	0.15412	4.30810
0.71264	0.15400	4.32348
0.71433	0.15390	4.33883
0.71602	0.15380	4.35415
0.71771	0.15372	4.36943
0.71940	0.15364	4.38468
0.72109	0.15358	4.39990
0.72278	0.15353	4.41509
0.72447	0.15348	4.43025
0.72616	0.15344	4.44537
0.72785	0.15342	4.46047
0.72954	0.15340	4.47554
0.73122	0.15339	4.49057
0.73291	0.15339	4.50558
0.73460	0.15340	4.52057
0.73629	0.15341	4.53552
0.73798	0.15344	4.55045
0.73967	0.15347	4.56535
0.74136	0.15351	4.58022
0.74305	0.15356	4.59507
0.74474	0.15362	4.60989
0.74643	0.15368	4.62469
0.74812	0.15375	4.63946
0.74981	0.15383	4.65421
0.75150	0.15391	4.66894
0.75319	0.15400	4.68364
0.75488	0.15410	4.69831
0.75657	0.15420	4.71297
0.75826	0.15431	4.72760
0.75995	0.15443	4.74221
0.76164	0.15455	4.75680
0.76333	0.15468	4.77137
0.76502	0.15482	4.78591
0.76671	0.15496	4.80043
0.76840	0.15511	4.81494
0.77009	0.15526	4.82942
0.77178	0.15542	4.84388
0.77347	0.15558	4.85832
0.77516	0.15575	4.87275
0.77685	0.15593	4.88715
0.77854	0.15611	4.90154
0.78023	0.15629	4.91590
0.78192	0.15649	4.93025
0.78361	0.15668	4.94458
0.78530	0.15688	4.95889
0.78699	0.15709	4.97318
0.78867	0.15730	4.98746
0.79036	0.15751	5.00171
0.79205	0.15773	5.01596
0.79374	0.15796	5.03018
0.79543	0.15819	5.04439
0.79712	0.15842	5.05858
0.79881	0.15866	5.07275
0.80050	0.15890	5.08691
0.80219	0.15915	5.10105
0.80388	0.15940	5.11518
0.80557	0.15966	5.12929
0.80726	0.15992	5.14339
0.80895	0.16018	5.15747
0.81064	0.16045	5.17153
0.81233	0.16072	5.18559
0.81402	0.16099	5.19962
0.81571	0.16127	5.21364
0.81740	0.16156	5.22765
0.81909	0.16184	5.24165
0.82078	0.16213	5.25563
0.82247	0.16243	5.26959
0.82416	0.16273	5.28355
0.82585	0.16303	5.29749
0.82754	0.16333	5.31141
0.82923	0.16364	5.32533
0.83092	0.16395	5.33923
0.83261	0.16427	5.35311
0.83430	0.16459	5.36699
0.83599	0.16491	5.38085
0.83768	0.16524	5.39470
0.83937	0.16556	5.40854
0.84106	0.16590	5.42236
0.84275	0.16623	5.43618
0.84443	0.16657	5.44998
0.84612	0.16691	5.46377
0.84781	0.16726	5.47755
0.84950	0.16760	5.49132
0.85119	0.16796	5.50507
0.85288	0.16831	5.51882
0.85457	0.16867	5.53255
0.85626	0.16903	5.54627
0.85795	0.16939	5.55999
0.85964	0.16975	5.57369
0.86133	0.17012	5.58738
0.86302	0.17049	5.60106
0.86471	0.17087	5.61473
0.86640	0.17124	5.62839
0.86809	0.17162	5.64204
0.86978	0.17201	5.65568
0.87147	0.17239	5.66931
0.87316	0.17278	5.68293
0.87485	0.17317	5.69654
0.87654	0.17356	5.71014
0.87823	0.17396	5.72373
0.87992	0.17435	5.73731
0.88161	0.17475	5.75088
0.88330	0.17516	5.76445
0.88499	0.17556	5.77800
0.88668	0.17597	5.79155
0.88837	0.17638	5.80508
0.89006	0.17680	5.81861
0.89175	0.17721	5.83213
0.89344	0.17763	5.84563
0.89513	0.17805	5.85914
0.89682	0.17847	5.87263
0.89851	0.17890	5.88611
0.90020	0.17932	5.89959
0.90188	0.17975	5.91305
0.90357	0.18019	5.92651
0.90526	0.18062	5.93996
0.90695	0.18106	5.95340
0.90864	0.18149	5.96684
0.91033	0.18194	5.98027
0.91202	0.18238	5.99368
0.91371	0.18282	6.00709
0.91540	0.18327	6.02050
0.91709	0.18372	6.03389
0.91878	0.18417	6.04728
0.92047	0.18463	6.06066
0.92216	0.18508	6.07404
0.92385	0.18554	6.08740
0.92554	0.18600	6.10076
0.92723	0.18646	6.11411
0.92892	0.18693	6.12745
0.93061	0.18739	6.14079
0.93230	0.18786	6.15412
0.93399	0.18833	6.16744
0.93568	0.18880	6.18076
0.93737	0.18928	6.19407
0.93906	0.18976	6.20737
0.94075	0.19023	6.22067
0.94244	0.19071	6.23396
0.94413	0.19120	6.24724
0.94582	0.19168	6.26051
0.94751	0.19217	6.27378
0.94920	0.19266	6.28705
0.95089	0.19315	6.30030
0.95258	0.19364	6.31355
0.95427	0.19413	6.32680
0.95596	0.19463	6.34003
0.95764	0.19512	6.35326
0.95933	0.19562	6.36649
0.96102	0.19613	6.37971
0.96271	0.19663	6.39292
0.96440	0.19713	6.40613
0.96609	0.19764	6.41933
0.96778	0.19815	6.43252
0.96947	0.19866	6.44571
0.97116	0.19917	6.45890
0.97285	0.19968	6.47208
0.97454	0.20020	6.48525
0.97623	0.20072	6.49841
0.97792	0.20124	6.51158
0.97961	0.20176	6.52473
0.98130	0.20228	6.53788
0.98299	0.20280	6.55103
0.98468	0.20333	6.56416
0.98637	0.20386	6.57730
0.98806	0.20439	6.59043
0.98975	0.20492	6.60355
0.99144	0.20545	6.61667
0.99313	0.20599	6.62978
0.99482	0.20652	6.64289
0.99651	0.20706	6.65599
0.99820	0.20760	6.66909
0.99989	0.20814	6.68218
1.00158	0.20868	6.69526
1.00327	0.20923	6.70835
1.00496	0.20977	6.72142
1.00665	0.21032	6.73450
1.00834	0.21087	6.74756
1.01003	0.21142	6.76063
1.01172	0.21197	6.77368
1.01341	0.21253	6.78674
1.01509	0.21308	6.79978
1.01678	0.21364	6.81283
1.01847	0.21420	6.82587
1.02016	0.21476	6.83890
1.02185	0.21532	6.85193
1.02354	0.21588	6.86495
1.02523	0.21645	6.87797
1.02692	0.21702	6.89099
1.02861	0.21758	6.90400
1.03030	0.21815	6.91701
1.03199	0.21873	6.93001
1.03368	0.21930	6.94301
1.03537	0.21987	6.95600
1.03706	0.22045	6.96899
1.03875	0.22103	6.98198
1.04044	0.22160	6.99496
1.04213	0.22218	7.00794
1.04382	0.22277	7.02091
1.04551	0.22335	7.03388
1.04720	0.22393	7.04684
