Refractive index of gold at +73K
lambda [um]	n	k
0.55043	0.34827	2.48713
0.55212	0.33987	2.51483
0.55381	0.33190	2.54214
0.55550	0.32433	2.56907
0.55719	0.31713	2.59564
0.55888	0.31029	2.62185
0.56057	0.30378	2.64772
0.56225	0.29757	2.67326
0.56394	0.29166	2.69848
0.56563	0.28602	2.72340
0.56732	0.28064	2.74801
0.56901	0.27550	2.77234
0.57070	0.27059	2.79639
0.57239	0.26589	2.82016
0.57408	0.26140	2.84368
0.57577	0.25711	2.86695
0.57746	0.25299	2.88997
0.57915	0.24905	2.91276
0.58084	0.24528	2.93532
0.58253	0.24166	2.95766
0.58422	0.23818	2.97979
0.58591	0.23485	3.00171
0.58760	0.23165	3.02343
0.58929	0.22858	3.04495
0.59098	0.22564	3.06629
0.59267	0.22280	3.08745
0.59436	0.22008	3.10843
0.59605	0.21746	3.12924
0.59774	0.21495	3.14988
0.59943	0.21252	3.17036
0.60112	0.21019	3.19069
0.60281	0.20795	3.21086
0.60450	0.20579	3.23089
0.60619	0.20372	3.25078
0.60788	0.20172	3.27052
0.60957	0.19979	3.29014
0.61126	0.19793	3.30962
0.61295	0.19614	3.32897
0.61464	0.19442	3.34820
0.61633	0.19276	3.36731
0.61801	0.19116	3.38630
0.61970	0.18962	3.40518
0.62139	0.18813	3.42394
0.62308	0.18670	3.44260
0.62477	0.18531	3.46115
0.62646	0.18398	3.47960
0.62815	0.18270	3.49795
0.62984	0.18146	3.51620
0.63153	0.18026	3.53436
0.63322	0.17911	3.55243
0.63491	0.17800	3.57040
0.63660	0.17693	3.58829
0.63829	0.17590	3.60609
0.63998	0.17490	3.62380
0.64167	0.17394	3.64144
0.64336	0.17302	3.65899
0.64505	0.17213	3.67647
0.64674	0.17127	3.69387
0.64843	0.17045	3.71119
0.65012	0.16965	3.72844
0.65181	0.16888	3.74563
0.65350	0.16815	3.76274
0.65519	0.16743	3.77978
0.65688	0.16675	3.79676
0.65857	0.16609	3.81367
0.66026	0.16546	3.83052
0.66195	0.16485	3.84731
0.66364	0.16427	3.86403
0.66533	0.16371	3.88070
0.66702	0.16317	3.89731
0.66871	0.16266	3.91386
0.67040	0.16216	3.93035
0.67209	0.16169	3.94679
0.67378	0.16123	3.96318
0.67546	0.16080	3.97951
0.67715	0.16038	3.99579
0.67884	0.15998	4.01202
0.68053	0.15960	4.02821
0.68222	0.15924	4.04434
0.68391	0.15889	4.06042
0.68560	0.15856	4.07646
0.68729	0.15825	4.09246
0.68898	0.15795	4.10841
0.69067	0.15767	4.12431
0.69236	0.15740	4.14017
0.69405	0.15715	4.15599
0.69574	0.15691	4.17177
0.69743	0.15669	4.18750
0.69912	0.15648	4.20320
0.70081	0.15628	4.21886
0.70250	0.15610	4.23448
0.70419	0.15592	4.25006
0.70588	0.15576	4.26560
0.70757	0.15562	4.28111
0.70926	0.15548	4.29658
0.71095	0.15535	4.31201
0.71264	0.15524	4.32741
0.71433	0.15514	4.34278
0.71602	0.15505	4.35811
0.71771	0.15496	4.37341
0.71940	0.15489	4.38868
0.72109	0.15483	4.40392
0.72278	0.15478	4.41912
0.72447	0.15474	4.43429
0.72616	0.15470	4.44944
0.72785	0.15468	4.46455
0.72954	0.15467	4.47963
0.73122	0.15466	4.49469
0.73291	0.15466	4.50971
0.73460	0.15468	4.52471
0.73629	0.15470	4.53968
0.73798	0.15472	4.55463
0.73967	0.15476	4.56954
0.74136	0.15480	4.58444
0.74305	0.15486	4.59930
0.74474	0.15491	4.61414
0.74643	0.15498	4.62895
0.74812	0.15506	4.64374
0.74981	0.15514	4.65851
0.75150	0.15522	4.67325
0.75319	0.15532	4.68797
0.75488	0.15542	4.70266
0.75657	0.15553	4.71733
0.75826	0.15564	4.73198
0.75995	0.15576	4.74661
0.76164	0.15589	4.76121
0.76333	0.15603	4.77580
0.76502	0.15617	4.79036
0.76671	0.15631	4.80490
0.76840	0.15646	4.81942
0.77009	0.15662	4.83392
0.77178	0.15678	4.84840
0.77347	0.15695	4.86286
0.77516	0.15713	4.87730
0.77685	0.15730	4.89172
0.77854	0.15749	4.90612
0.78023	0.15768	4.92050
0.78192	0.15787	4.93487
0.78361	0.15808	4.94921
0.78530	0.15828	4.96354
0.78699	0.15849	4.97785
0.78867	0.15871	4.99214
0.79036	0.15893	5.00642
0.79205	0.15915	5.02068
0.79374	0.15938	5.03492
0.79543	0.15961	5.04914
0.79712	0.15985	5.06335
0.79881	0.16009	5.07754
0.80050	0.16034	5.09171
0.80219	0.16059	5.10587
0.80388	0.16085	5.12002
0.80557	0.16111	5.13415
0.80726	0.16137	5.14826
0.80895	0.16164	5.16236
0.81064	0.16191	5.17644
0.81233	0.16219	5.19051
0.81402	0.16247	5.20456
0.81571	0.16276	5.21860
0.81740	0.16304	5.23263
0.81909	0.16333	5.24664
0.82078	0.16363	5.26063
0.82247	0.16393	5.27462
0.82416	0.16423	5.28859
0.82585	0.16454	5.30254
0.82754	0.16485	5.31649
0.82923	0.16516	5.33042
0.83092	0.16548	5.34433
0.83261	0.16580	5.35824
0.83430	0.16612	5.37213
0.83599	0.16645	5.38601
0.83768	0.16678	5.39988
0.83937	0.16712	5.41373
0.84106	0.16745	5.42758
0.84275	0.16779	5.44141
0.84443	0.16814	5.45523
0.84612	0.16848	5.46903
0.84781	0.16883	5.48283
0.84950	0.16919	5.49661
0.85119	0.16954	5.51039
0.85288	0.16990	5.52415
0.85457	0.17026	5.53790
0.85626	0.17063	5.55164
0.85795	0.17100	5.56537
0.85964	0.17137	5.57909
0.86133	0.17174	5.59279
0.86302	0.17212	5.60649
0.86471	0.17250	5.62018
0.86640	0.17288	5.63385
0.86809	0.17326	5.64752
0.86978	0.17365	5.66118
0.87147	0.17404	5.67482
0.87316	0.17444	5.68846
0.87485	0.17483	5.70209
0.87654	0.17523	5.71570
0.87823	0.17563	5.72931
0.87992	0.17603	5.74291
0.88161	0.17644	5.75650
0.88330	0.17685	5.77008
0.88499	0.17726	5.78365
0.88668	0.17767	5.79721
0.88837	0.17809	5.81076
0.89006	0.17851	5.82431
0.89175	0.17893	5.83784
0.89344	0.17935	5.85137
0.89513	0.17978	5.86489
0.89682	0.18021	5.87839
0.89851	0.18064	5.89189
0.90020	0.18107	5.90539
0.90188	0.18151	5.91887
0.90357	0.18194	5.93235
0.90526	0.18238	5.94581
0.90695	0.18283	5.95927
0.90864	0.18327	5.97272
0.91033	0.18372	5.98617
0.91202	0.18416	5.99960
0.91371	0.18462	6.01303
0.91540	0.18507	6.02645
0.91709	0.18552	6.03986
0.91878	0.18598	6.05327
0.92047	0.18644	6.06666
0.92216	0.18690	6.08005
0.92385	0.18737	6.09344
0.92554	0.18783	6.10681
0.92723	0.18830	6.12018
0.92892	0.18877	6.13354
0.93061	0.18924	6.14689
0.93230	0.18972	6.16024
0.93399	0.19020	6.17358
0.93568	0.19067	6.18691
0.93737	0.19115	6.20024
0.93906	0.19164	6.21356
0.94075	0.19212	6.22687
0.94244	0.19261	6.24017
0.94413	0.19310	6.25347
0.94582	0.19359	6.26676
0.94751	0.19408	6.28005
0.94920	0.19457	6.29333
0.95089	0.19507	6.30660
0.95258	0.19557	6.31987
0.95427	0.19607	6.33313
0.95596	0.19657	6.34638
0.95764	0.19707	6.35963
0.95933	0.19758	6.37287
0.96102	0.19808	6.38611
0.96271	0.19859	6.39934
0.96440	0.19911	6.41256
0.96609	0.19962	6.42578
0.96778	0.20013	6.43899
0.96947	0.20065	6.45220
0.97116	0.20117	6.46540
0.97285	0.20169	6.47859
0.97454	0.20221	6.49178
0.97623	0.20273	6.50496
0.97792	0.20326	6.51814
0.97961	0.20379	6.53131
0.98130	0.20431	6.54448
0.98299	0.20484	6.55764
0.98468	0.20538	6.57080
0.98637	0.20591	6.58395
0.98806	0.20645	6.59709
0.98975	0.20698	6.61023
0.99144	0.20752	6.62336
0.99313	0.20806	6.63649
0.99482	0.20861	6.64962
0.99651	0.20915	6.66273
0.99820	0.20970	6.67585
0.99989	0.21024	6.68896
1.00158	0.21079	6.70206
1.00327	0.21134	6.71516
1.00496	0.21190	6.72825
1.00665	0.21245	6.74134
1.00834	0.21301	6.75442
1.01003	0.21356	6.76750
1.01172	0.21412	6.78058
1.01341	0.21468	6.79364
1.01509	0.21525	6.80671
1.01678	0.21581	6.81977
1.01847	0.21637	6.83282
1.02016	0.21694	6.84587
1.02185	0.21751	6.85892
1.02354	0.21808	6.87196
1.02523	0.21865	6.88500
1.02692	0.21923	6.89803
1.02861	0.21980	6.91106
1.03030	0.22038	6.92408
1.03199	0.22095	6.93710
1.03368	0.22153	6.95011
1.03537	0.22211	6.96313
1.03706	0.22270	6.97613
1.03875	0.22328	6.98913
1.04044	0.22387	7.00213
1.04213	0.22445	7.01512
1.04382	0.22504	7.02811
1.04551	0.22563	7.04110
1.04720	0.22622	7.05408
