Refractive index of gold at +80K
lambda [um]	n	k
0.55043	0.35112	2.48913
0.55212	0.34260	2.51685
0.55381	0.33450	2.54418
0.55550	0.32682	2.57113
0.55719	0.31952	2.59771
0.55888	0.31258	2.62395
0.56057	0.30597	2.64984
0.56225	0.29968	2.67540
0.56394	0.29368	2.70064
0.56563	0.28797	2.72557
0.56732	0.28251	2.75021
0.56901	0.27730	2.77456
0.57070	0.27233	2.79863
0.57239	0.26758	2.82242
0.57408	0.26303	2.84596
0.57577	0.25868	2.86925
0.57746	0.25451	2.89229
0.57915	0.25053	2.91510
0.58084	0.24671	2.93768
0.58253	0.24304	2.96004
0.58422	0.23953	2.98218
0.58591	0.23616	3.00412
0.58760	0.23293	3.02586
0.58929	0.22983	3.04741
0.59098	0.22685	3.06876
0.59267	0.22398	3.08994
0.59436	0.22123	3.11094
0.59605	0.21859	3.13177
0.59774	0.21605	3.15243
0.59943	0.21360	3.17293
0.60112	0.21125	3.19327
0.60281	0.20898	3.21346
0.60450	0.20681	3.23351
0.60619	0.20471	3.25341
0.60788	0.20269	3.27318
0.60957	0.20075	3.29280
0.61126	0.19887	3.31230
0.61295	0.19707	3.33167
0.61464	0.19533	3.35092
0.61633	0.19366	3.37004
0.61801	0.19204	3.38905
0.61970	0.19049	3.40794
0.62139	0.18899	3.42673
0.62308	0.18754	3.44540
0.62477	0.18615	3.46397
0.62646	0.18481	3.48243
0.62815	0.18352	3.50080
0.62984	0.18227	3.51907
0.63153	0.18107	3.53724
0.63322	0.17991	3.55532
0.63491	0.17879	3.57331
0.63660	0.17771	3.59121
0.63829	0.17667	3.60903
0.63998	0.17567	3.62676
0.64167	0.17471	3.64441
0.64336	0.17378	3.66198
0.64505	0.17288	3.67947
0.64674	0.17202	3.69689
0.64843	0.17119	3.71423
0.65012	0.17039	3.73150
0.65181	0.16962	3.74869
0.65350	0.16888	3.76582
0.65519	0.16816	3.78288
0.65688	0.16748	3.79987
0.65857	0.16682	3.81680
0.66026	0.16618	3.83367
0.66195	0.16557	3.85047
0.66364	0.16499	3.86721
0.66533	0.16442	3.88389
0.66702	0.16388	3.90051
0.66871	0.16337	3.91708
0.67040	0.16287	3.93359
0.67209	0.16239	3.95004
0.67378	0.16194	3.96645
0.67546	0.16150	3.98280
0.67715	0.16108	3.99909
0.67884	0.16069	4.01534
0.68053	0.16031	4.03154
0.68222	0.15994	4.04769
0.68391	0.15960	4.06379
0.68560	0.15927	4.07984
0.68729	0.15896	4.09585
0.68898	0.15866	4.11182
0.69067	0.15838	4.12774
0.69236	0.15811	4.14361
0.69405	0.15786	4.15945
0.69574	0.15762	4.17524
0.69743	0.15740	4.19099
0.69912	0.15719	4.20671
0.70081	0.15699	4.22238
0.70250	0.15681	4.23801
0.70419	0.15663	4.25361
0.70588	0.15647	4.26917
0.70757	0.15633	4.28469
0.70926	0.15619	4.30018
0.71095	0.15607	4.31563
0.71264	0.15596	4.33104
0.71433	0.15586	4.34643
0.71602	0.15577	4.36177
0.71771	0.15569	4.37709
0.71940	0.15562	4.39237
0.72109	0.15556	4.40762
0.72278	0.15551	4.42284
0.72447	0.15547	4.43803
0.72616	0.15544	4.45319
0.72785	0.15541	4.46832
0.72954	0.15540	4.48342
0.73122	0.15540	4.49849
0.73291	0.15540	4.51353
0.73460	0.15542	4.52855
0.73629	0.15544	4.54354
0.73798	0.15547	4.55850
0.73967	0.15551	4.57343
0.74136	0.15555	4.58834
0.74305	0.15561	4.60322
0.74474	0.15567	4.61807
0.74643	0.15574	4.63290
0.74812	0.15582	4.64771
0.74981	0.15590	4.66249
0.75150	0.15599	4.67725
0.75319	0.15609	4.69198
0.75488	0.15619	4.70669
0.75657	0.15630	4.72138
0.75826	0.15642	4.73604
0.75995	0.15654	4.75069
0.76164	0.15667	4.76531
0.76333	0.15681	4.77991
0.76502	0.15695	4.79449
0.76671	0.15710	4.80904
0.76840	0.15725	4.82358
0.77009	0.15742	4.83809
0.77178	0.15758	4.85259
0.77347	0.15775	4.86707
0.77516	0.15793	4.88152
0.77685	0.15811	4.89596
0.77854	0.15830	4.91038
0.78023	0.15849	4.92478
0.78192	0.15869	4.93916
0.78361	0.15889	4.95352
0.78530	0.15910	4.96786
0.78699	0.15932	4.98219
0.78867	0.15953	4.99650
0.79036	0.15976	5.01079
0.79205	0.15999	5.02506
0.79374	0.16022	5.03932
0.79543	0.16046	5.05356
0.79712	0.16070	5.06778
0.79881	0.16094	5.08199
0.80050	0.16119	5.09618
0.80219	0.16145	5.11036
0.80388	0.16171	5.12452
0.80557	0.16197	5.13867
0.80726	0.16224	5.15279
0.80895	0.16251	5.16691
0.81064	0.16279	5.18101
0.81233	0.16307	5.19509
0.81402	0.16335	5.20916
0.81571	0.16364	5.22322
0.81740	0.16393	5.23726
0.81909	0.16422	5.25129
0.82078	0.16452	5.26530
0.82247	0.16483	5.27930
0.82416	0.16513	5.29329
0.82585	0.16544	5.30726
0.82754	0.16576	5.32122
0.82923	0.16607	5.33517
0.83092	0.16639	5.34910
0.83261	0.16672	5.36302
0.83430	0.16705	5.37693
0.83599	0.16738	5.39083
0.83768	0.16771	5.40471
0.83937	0.16805	5.41858
0.84106	0.16839	5.43244
0.84275	0.16873	5.44629
0.84443	0.16908	5.46012
0.84612	0.16943	5.47395
0.84781	0.16978	5.48776
0.84950	0.17014	5.50156
0.85119	0.17050	5.51535
0.85288	0.17086	5.52913
0.85457	0.17123	5.54290
0.85626	0.17160	5.55665
0.85795	0.17197	5.57040
0.85964	0.17234	5.58413
0.86133	0.17272	5.59786
0.86302	0.17310	5.61157
0.86471	0.17348	5.62527
0.86640	0.17387	5.63897
0.86809	0.17426	5.65265
0.86978	0.17465	5.66632
0.87147	0.17504	5.67999
0.87316	0.17544	5.69364
0.87485	0.17584	5.70728
0.87654	0.17624	5.72092
0.87823	0.17665	5.73454
0.87992	0.17706	5.74816
0.88161	0.17747	5.76176
0.88330	0.17788	5.77536
0.88499	0.17829	5.78895
0.88668	0.17871	5.80252
0.88837	0.17913	5.81609
0.89006	0.17955	5.82965
0.89175	0.17998	5.84320
0.89344	0.18040	5.85675
0.89513	0.18083	5.87028
0.89682	0.18127	5.88381
0.89851	0.18170	5.89732
0.90020	0.18214	5.91083
0.90188	0.18258	5.92433
0.90357	0.18302	5.93782
0.90526	0.18346	5.95131
0.90695	0.18391	5.96478
0.90864	0.18436	5.97825
0.91033	0.18481	5.99171
0.91202	0.18526	6.00516
0.91371	0.18572	6.01861
0.91540	0.18617	6.03204
0.91709	0.18663	6.04547
0.91878	0.18709	6.05889
0.92047	0.18756	6.07231
0.92216	0.18802	6.08571
0.92385	0.18849	6.09911
0.92554	0.18896	6.11250
0.92723	0.18943	6.12589
0.92892	0.18991	6.13927
0.93061	0.19039	6.15264
0.93230	0.19086	6.16600
0.93399	0.19134	6.17935
0.93568	0.19183	6.19270
0.93737	0.19231	6.20605
0.93906	0.19280	6.21938
0.94075	0.19329	6.23271
0.94244	0.19378	6.24603
0.94413	0.19427	6.25935
0.94582	0.19476	6.27266
0.94751	0.19526	6.28596
0.94920	0.19576	6.29925
0.95089	0.19626	6.31254
0.95258	0.19676	6.32583
0.95427	0.19727	6.33910
0.95596	0.19777	6.35237
0.95764	0.19828	6.36564
0.95933	0.19879	6.37890
0.96102	0.19930	6.39215
0.96271	0.19981	6.40540
0.96440	0.20033	6.41864
0.96609	0.20085	6.43187
0.96778	0.20136	6.44510
0.96947	0.20189	6.45832
0.97116	0.20241	6.47154
0.97285	0.20293	6.48475
0.97454	0.20346	6.49795
0.97623	0.20399	6.51115
0.97792	0.20452	6.52435
0.97961	0.20505	6.53753
0.98130	0.20558	6.55072
0.98299	0.20612	6.56389
0.98468	0.20665	6.57707
0.98637	0.20719	6.59023
0.98806	0.20773	6.60339
0.98975	0.20827	6.61655
0.99144	0.20882	6.62970
0.99313	0.20936	6.64285
0.99482	0.20991	6.65599
0.99651	0.21046	6.66912
0.99820	0.21101	6.68225
0.99989	0.21156	6.69538
1.00158	0.21211	6.70850
1.00327	0.21267	6.72161
1.00496	0.21322	6.73472
1.00665	0.21378	6.74782
1.00834	0.21434	6.76092
1.01003	0.21490	6.77402
1.01172	0.21547	6.78711
1.01341	0.21603	6.80020
1.01509	0.21660	6.81328
1.01678	0.21717	6.82635
1.01847	0.21774	6.83942
1.02016	0.21831	6.85249
1.02185	0.21888	6.86555
1.02354	0.21946	6.87861
1.02523	0.22003	6.89166
1.02692	0.22061	6.90471
1.02861	0.22119	6.91776
1.03030	0.22177	6.93080
1.03199	0.22235	6.94383
1.03368	0.22294	6.95686
1.03537	0.22352	6.96989
1.03706	0.22411	6.98291
1.03875	0.22470	6.99593
1.04044	0.22529	7.00894
1.04213	0.22588	7.02195
1.04382	0.22647	7.03496
1.04551	0.22707	7.04796
1.04720	0.22766	7.06095
