Refractive index of gold at +92K
lambda [um]	n	k
0.55043	0.35676	2.49868
0.55212	0.34787	2.52632
0.55381	0.33944	2.55358
0.55550	0.33144	2.58047
0.55719	0.32385	2.60700
0.55888	0.31663	2.63319
0.56057	0.30977	2.65903
0.56225	0.30324	2.68455
0.56394	0.29702	2.70976
0.56563	0.29109	2.73466
0.56732	0.28544	2.75927
0.56901	0.28004	2.78359
0.57070	0.27490	2.80764
0.57239	0.26998	2.83142
0.57408	0.26528	2.85494
0.57577	0.26079	2.87821
0.57746	0.25649	2.90124
0.57915	0.25238	2.92404
0.58084	0.24844	2.94661
0.58253	0.24466	2.96896
0.58422	0.24105	2.99110
0.58591	0.23758	3.01304
0.58760	0.23426	3.03477
0.58929	0.23106	3.05631
0.59098	0.22800	3.07767
0.59267	0.22506	3.09885
0.59436	0.22224	3.11985
0.59605	0.21953	3.14068
0.59774	0.21692	3.16134
0.59943	0.21441	3.18185
0.60112	0.21200	3.20220
0.60281	0.20969	3.22240
0.60450	0.20746	3.24245
0.60619	0.20531	3.26236
0.60788	0.20325	3.28213
0.60957	0.20126	3.30177
0.61126	0.19935	3.32128
0.61295	0.19751	3.34066
0.61464	0.19574	3.35992
0.61633	0.19403	3.37906
0.61801	0.19239	3.39808
0.61970	0.19080	3.41699
0.62139	0.18927	3.43579
0.62308	0.18780	3.45448
0.62477	0.18639	3.47307
0.62646	0.18502	3.49155
0.62815	0.18371	3.50993
0.62984	0.18244	3.52822
0.63153	0.18122	3.54642
0.63322	0.18004	3.56452
0.63491	0.17890	3.58253
0.63660	0.17781	3.60045
0.63829	0.17676	3.61829
0.63998	0.17574	3.63604
0.64167	0.17477	3.65372
0.64336	0.17383	3.67131
0.64505	0.17292	3.68883
0.64674	0.17205	3.70627
0.64843	0.17121	3.72364
0.65012	0.17040	3.74093
0.65181	0.16962	3.75815
0.65350	0.16887	3.77531
0.65519	0.16815	3.79240
0.65688	0.16746	3.80942
0.65857	0.16679	3.82637
0.66026	0.16615	3.84327
0.66195	0.16554	3.86010
0.66364	0.16495	3.87687
0.66533	0.16438	3.89358
0.66702	0.16384	3.91024
0.66871	0.16332	3.92684
0.67040	0.16282	3.94338
0.67209	0.16234	3.95987
0.67378	0.16188	3.97630
0.67546	0.16145	3.99268
0.67715	0.16103	4.00901
0.67884	0.16063	4.02530
0.68053	0.16025	4.04153
0.68222	0.15988	4.05771
0.68391	0.15954	4.07385
0.68560	0.15921	4.08994
0.68729	0.15890	4.10598
0.68898	0.15860	4.12199
0.69067	0.15832	4.13794
0.69236	0.15805	4.15386
0.69405	0.15780	4.16973
0.69574	0.15757	4.18556
0.69743	0.15734	4.20135
0.69912	0.15714	4.21710
0.70081	0.15694	4.23281
0.70250	0.15676	4.24849
0.70419	0.15659	4.26412
0.70588	0.15643	4.27972
0.70757	0.15629	4.29528
0.70926	0.15616	4.31081
0.71095	0.15604	4.32630
0.71264	0.15593	4.34176
0.71433	0.15583	4.35718
0.71602	0.15574	4.37257
0.71771	0.15566	4.38793
0.71940	0.15560	4.40326
0.72109	0.15554	4.41855
0.72278	0.15550	4.43381
0.72447	0.15546	4.44904
0.72616	0.15543	4.46425
0.72785	0.15541	4.47942
0.72954	0.15541	4.49456
0.73122	0.15541	4.50968
0.73291	0.15542	4.52476
0.73460	0.15543	4.53982
0.73629	0.15546	4.55485
0.73798	0.15549	4.56986
0.73967	0.15554	4.58484
0.74136	0.15559	4.59979
0.74305	0.15564	4.61471
0.74474	0.15571	4.62961
0.74643	0.15578	4.64449
0.74812	0.15586	4.65934
0.74981	0.15595	4.67417
0.75150	0.15605	4.68897
0.75319	0.15615	4.70375
0.75488	0.15626	4.71851
0.75657	0.15637	4.73325
0.75826	0.15650	4.74796
0.75995	0.15662	4.76265
0.76164	0.15676	4.77732
0.76333	0.15690	4.79196
0.76502	0.15705	4.80659
0.76671	0.15720	4.82119
0.76840	0.15736	4.83578
0.77009	0.15752	4.85034
0.77178	0.15770	4.86489
0.77347	0.15787	4.87941
0.77516	0.15805	4.89391
0.77685	0.15824	4.90840
0.77854	0.15843	4.92287
0.78023	0.15863	4.93731
0.78192	0.15883	4.95174
0.78361	0.15904	4.96616
0.78530	0.15926	4.98055
0.78699	0.15947	4.99492
0.78867	0.15970	5.00928
0.79036	0.15993	5.02362
0.79205	0.16016	5.03795
0.79374	0.16040	5.05226
0.79543	0.16064	5.06655
0.79712	0.16088	5.08082
0.79881	0.16113	5.09508
0.80050	0.16139	5.10932
0.80219	0.16165	5.12355
0.80388	0.16191	5.13776
0.80557	0.16218	5.15195
0.80726	0.16245	5.16613
0.80895	0.16273	5.18030
0.81064	0.16301	5.19445
0.81233	0.16330	5.20858
0.81402	0.16359	5.22271
0.81571	0.16388	5.23681
0.81740	0.16417	5.25091
0.81909	0.16447	5.26498
0.82078	0.16478	5.27905
0.82247	0.16509	5.29310
0.82416	0.16540	5.30714
0.82585	0.16571	5.32116
0.82754	0.16603	5.33518
0.82923	0.16635	5.34917
0.83092	0.16668	5.36316
0.83261	0.16701	5.37713
0.83430	0.16734	5.39109
0.83599	0.16768	5.40504
0.83768	0.16802	5.41898
0.83937	0.16836	5.43290
0.84106	0.16870	5.44681
0.84275	0.16905	5.46071
0.84443	0.16940	5.47460
0.84612	0.16976	5.48848
0.84781	0.17012	5.50234
0.84950	0.17048	5.51620
0.85119	0.17084	5.53004
0.85288	0.17121	5.54387
0.85457	0.17158	5.55769
0.85626	0.17196	5.57150
0.85795	0.17233	5.58530
0.85964	0.17271	5.59909
0.86133	0.17309	5.61286
0.86302	0.17348	5.62663
0.86471	0.17387	5.64039
0.86640	0.17426	5.65414
0.86809	0.17465	5.66787
0.86978	0.17505	5.68160
0.87147	0.17545	5.69531
0.87316	0.17585	5.70902
0.87485	0.17625	5.72272
0.87654	0.17666	5.73641
0.87823	0.17707	5.75008
0.87992	0.17748	5.76375
0.88161	0.17790	5.77741
0.88330	0.17831	5.79106
0.88499	0.17873	5.80470
0.88668	0.17915	5.81833
0.88837	0.17958	5.83196
0.89006	0.18001	5.84557
0.89175	0.18044	5.85918
0.89344	0.18087	5.87277
0.89513	0.18130	5.88636
0.89682	0.18174	5.89994
0.89851	0.18218	5.91351
0.90020	0.18262	5.92707
0.90188	0.18306	5.94063
0.90357	0.18351	5.95417
0.90526	0.18396	5.96771
0.90695	0.18441	5.98124
0.90864	0.18486	5.99476
0.91033	0.18532	6.00828
0.91202	0.18578	6.02178
0.91371	0.18624	6.03528
0.91540	0.18670	6.04877
0.91709	0.18716	6.06226
0.91878	0.18763	6.07573
0.92047	0.18810	6.08920
0.92216	0.18857	6.10266
0.92385	0.18904	6.11611
0.92554	0.18951	6.12956
0.92723	0.18999	6.14300
0.92892	0.19047	6.15643
0.93061	0.19095	6.16986
0.93230	0.19143	6.18327
0.93399	0.19192	6.19668
0.93568	0.19241	6.21009
0.93737	0.19290	6.22348
0.93906	0.19339	6.23687
0.94075	0.19388	6.25026
0.94244	0.19437	6.26363
0.94413	0.19487	6.27700
0.94582	0.19537	6.29037
0.94751	0.19587	6.30372
0.94920	0.19637	6.31708
0.95089	0.19688	6.33042
0.95258	0.19739	6.34376
0.95427	0.19789	6.35709
0.95596	0.19840	6.37041
0.95764	0.19892	6.38373
0.95933	0.19943	6.39705
0.96102	0.19995	6.41035
0.96271	0.20047	6.42365
0.96440	0.20099	6.43695
0.96609	0.20151	6.45024
0.96778	0.20203	6.46352
0.96947	0.20256	6.47680
0.97116	0.20308	6.49007
0.97285	0.20361	6.50333
0.97454	0.20414	6.51659
0.97623	0.20467	6.52985
0.97792	0.20521	6.54310
0.97961	0.20574	6.55634
0.98130	0.20628	6.56958
0.98299	0.20682	6.58281
0.98468	0.20736	6.59604
0.98637	0.20790	6.60926
0.98806	0.20845	6.62247
0.98975	0.20900	6.63569
0.99144	0.20954	6.64889
0.99313	0.21009	6.66209
0.99482	0.21064	6.67529
0.99651	0.21120	6.68848
0.99820	0.21175	6.70166
0.99989	0.21231	6.71484
1.00158	0.21287	6.72801
1.00327	0.21343	6.74118
1.00496	0.21399	6.75435
1.00665	0.21455	6.76751
1.00834	0.21511	6.78066
1.01003	0.21568	6.79381
1.01172	0.21625	6.80696
1.01341	0.21682	6.82010
1.01509	0.21739	6.83323
1.01678	0.21796	6.84637
1.01847	0.21854	6.85949
1.02016	0.21911	6.87261
1.02185	0.21969	6.88573
1.02354	0.22027	6.89884
1.02523	0.22085	6.91195
