Refractive index of gold at +89K
lambda [um]	n	k
0.55043	0.35528	2.49575
0.55212	0.34649	2.52342
0.55381	0.33816	2.55071
0.55550	0.33025	2.57763
0.55719	0.32273	2.60419
0.55888	0.31559	2.63040
0.56057	0.30880	2.65627
0.56225	0.30234	2.68182
0.56394	0.29618	2.70704
0.56563	0.29031	2.73197
0.56732	0.28472	2.75659
0.56901	0.27938	2.78093
0.57070	0.27428	2.80499
0.57239	0.26941	2.82878
0.57408	0.26475	2.85232
0.57577	0.26030	2.87560
0.57746	0.25604	2.89864
0.57915	0.25196	2.92145
0.58084	0.24806	2.94403
0.58253	0.24431	2.96639
0.58422	0.24073	2.98853
0.58591	0.23729	3.01047
0.58760	0.23399	3.03222
0.58929	0.23082	3.05376
0.59098	0.22779	3.07513
0.59267	0.22487	3.09631
0.59436	0.22206	3.11731
0.59605	0.21937	3.13814
0.59774	0.21678	3.15881
0.59943	0.21429	3.17932
0.60112	0.21190	3.19967
0.60281	0.20960	3.21987
0.60450	0.20738	3.23993
0.60619	0.20525	3.25984
0.60788	0.20320	3.27961
0.60957	0.20123	3.29925
0.61126	0.19933	3.31876
0.61295	0.19750	3.33814
0.61464	0.19573	3.35740
0.61633	0.19404	3.37654
0.61801	0.19240	3.39556
0.61970	0.19082	3.41446
0.62139	0.18931	3.43326
0.62308	0.18784	3.45195
0.62477	0.18643	3.47053
0.62646	0.18507	3.48901
0.62815	0.18377	3.50739
0.62984	0.18250	3.52568
0.63153	0.18129	3.54387
0.63322	0.18012	3.56196
0.63491	0.17899	3.57997
0.63660	0.17790	3.59789
0.63829	0.17685	3.61572
0.63998	0.17584	3.63347
0.64167	0.17487	3.65114
0.64336	0.17393	3.66873
0.64505	0.17302	3.68624
0.64674	0.17216	3.70368
0.64843	0.17132	3.72104
0.65012	0.17051	3.73833
0.65181	0.16974	3.75554
0.65350	0.16899	3.77269
0.65519	0.16827	3.78977
0.65688	0.16758	3.80679
0.65857	0.16692	3.82374
0.66026	0.16628	3.84062
0.66195	0.16567	3.85745
0.66364	0.16508	3.87421
0.66533	0.16451	3.89091
0.66702	0.16397	3.90756
0.66871	0.16345	3.92415
0.67040	0.16295	3.94068
0.67209	0.16248	3.95716
0.67378	0.16202	3.97359
0.67546	0.16158	3.98996
0.67715	0.16117	4.00628
0.67884	0.16077	4.02256
0.68053	0.16039	4.03878
0.68222	0.16002	4.05495
0.68391	0.15968	4.07108
0.68560	0.15935	4.08716
0.68729	0.15904	4.10320
0.68898	0.15874	4.11919
0.69067	0.15846	4.13514
0.69236	0.15819	4.15104
0.69405	0.15794	4.16690
0.69574	0.15771	4.18272
0.69743	0.15748	4.19850
0.69912	0.15728	4.21424
0.70081	0.15708	4.22994
0.70250	0.15690	4.24561
0.70419	0.15673	4.26123
0.70588	0.15657	4.27682
0.70757	0.15643	4.29237
0.70926	0.15630	4.30788
0.71095	0.15617	4.32337
0.71264	0.15606	4.33881
0.71433	0.15597	4.35422
0.71602	0.15588	4.36960
0.71771	0.15580	4.38495
0.71940	0.15573	4.40026
0.72109	0.15568	4.41554
0.72278	0.15563	4.43079
0.72447	0.15559	4.44601
0.72616	0.15557	4.46120
0.72785	0.15555	4.47636
