Refractive index of gold at +31K
lambda [um]	n	k
0.55043	0.33832	2.48320
0.55212	0.33008	2.51088
0.55381	0.32225	2.53816
0.55550	0.31482	2.56505
0.55719	0.30776	2.59158
0.55888	0.30105	2.61775
0.56057	0.29466	2.64358
0.56225	0.28857	2.66907
0.56394	0.28277	2.69424
0.56563	0.27724	2.71910
0.56732	0.27197	2.74366
0.56901	0.26693	2.76793
0.57070	0.26212	2.79192
0.57239	0.25752	2.81564
0.57408	0.25312	2.83910
0.57577	0.24891	2.86230
0.57746	0.24488	2.88526
0.57915	0.24102	2.90799
0.58084	0.23732	2.93048
0.58253	0.23377	2.95276
0.58422	0.23037	2.97482
0.58591	0.22711	2.99668
0.58760	0.22398	3.01833
0.58929	0.22097	3.03979
0.59098	0.21809	3.06106
0.59267	0.21531	3.08215
0.59436	0.21265	3.10307
0.59605	0.21008	3.12381
0.59774	0.20762	3.14439
0.59943	0.20525	3.16481
0.60112	0.20297	3.18507
0.60281	0.20077	3.20518
0.60450	0.19866	3.22514
0.60619	0.19662	3.24496
0.60788	0.19466	3.26464
0.60957	0.19278	3.28419
0.61126	0.19096	3.30360
0.61295	0.18921	3.32289
0.61464	0.18752	3.34206
0.61633	0.18589	3.36110
0.61801	0.18432	3.38003
0.61970	0.18281	3.39884
0.62139	0.18135	3.41755
0.62308	0.17995	3.43614
0.62477	0.17860	3.45463
0.62646	0.17729	3.47302
0.62815	0.17603	3.49131
0.62984	0.17481	3.50950
0.63153	0.17364	3.52759
0.63322	0.17251	3.54560
0.63491	0.17143	3.56351
0.63660	0.17037	3.58134
0.63829	0.16936	3.59908
0.63998	0.16839	3.61673
0.64167	0.16744	3.63431
0.64336	0.16654	3.65180
0.64505	0.16566	3.66922
0.64674	0.16482	3.68656
0.64843	0.16401	3.70383
0.65012	0.16323	3.72102
0.65181	0.16247	3.73815
0.65350	0.16175	3.75520
0.65519	0.16105	3.77219
0.65688	0.16038	3.78911
0.65857	0.15973	3.80597
0.66026	0.15911	3.82276
0.66195	0.15851	3.83949
0.66364	0.15793	3.85616
0.66533	0.15738	3.87277
0.66702	0.15685	3.88932
0.66871	0.15634	3.90582
0.67040	0.15585	3.92226
0.67209	0.15538	3.93865
0.67378	0.15493	3.95498
0.67546	0.15450	3.97126
0.67715	0.15409	3.98749
0.67884	0.15369	4.00367
0.68053	0.15332	4.01980
0.68222	0.15296	4.03588
0.68391	0.15261	4.05191
0.68560	0.15229	4.06790
0.68729	0.15197	4.08384
0.68898	0.15168	4.09974
0.69067	0.15140	4.11559
0.69236	0.15113	4.13140
0.69405	0.15088	4.14717
0.69574	0.15064	4.16290
0.69743	0.15041	4.17858
0.69912	0.15020	4.19423
0.70081	0.15000	4.20984
0.70250	0.14981	4.22541
0.70419	0.14964	4.24094
0.70588	0.14947	4.25643
0.70757	0.14932	4.27189
0.70926	0.14918	4.28731
0.71095	0.14905	4.30270
0.71264	0.14894	4.31805
0.71433	0.14883	4.33337
0.71602	0.14873	4.34866
0.71771	0.14865	4.36391
0.71940	0.14857	4.37913
0.72109	0.14850	4.39432
0.72278	0.14844	4.40947
0.72447	0.14840	4.42460
0.72616	0.14836	4.43970
0.72785	0.14833	4.45476
0.72954	0.14831	4.46980
0.73122	0.14829	4.48481
0.73291	0.14829	4.49979
0.73460	0.14829	4.51475
0.73629	0.14830	4.52967
0.73798	0.14832	4.54457
0.73967	0.14835	4.55944
0.74136	0.14839	4.57429
0.74305	0.14843	4.58911
0.74474	0.14848	4.60390
0.74643	0.14854	4.61867
0.74812	0.14860	4.63342
0.74981	0.14867	4.64814
0.75150	0.14875	4.66284
0.75319	0.14883	4.67751
0.75488	0.14893	4.69216
0.75657	0.14902	4.70679
0.75826	0.14913	4.72140
0.75995	0.14924	4.73598
0.76164	0.14935	4.75054
0.76333	0.14948	4.76508
0.76502	0.14960	4.77960
0.76671	0.14974	4.79410
0.76840	0.14988	4.80858
0.77009	0.15002	4.82303
0.77178	0.15017	4.83747
0.77347	0.15033	4.85189
0.77516	0.15049	4.86629
0.77685	0.15066	4.88067
0.77854	0.15083	4.89503
0.78023	0.15101	4.90937
0.78192	0.15119	4.92369
0.78361	0.15137	4.93799
0.78530	0.15157	4.95228
0.78699	0.15176	4.96655
0.78867	0.15196	4.98080
0.79036	0.15217	4.99504
0.79205	0.15238	5.00925
