Refractive index of gold at +41K
lambda [um]	n	k
0.55043	0.33946	2.48240
0.55212	0.33125	2.51010
0.55381	0.32346	2.53741
0.55550	0.31607	2.56433
0.55719	0.30904	2.59088
0.55888	0.30236	2.61708
0.56057	0.29600	2.64293
0.56225	0.28994	2.66845
0.56394	0.28416	2.69364
0.56563	0.27865	2.71853
0.56732	0.27339	2.74311
0.56901	0.26837	2.76740
0.57070	0.26358	2.79142
0.57239	0.25899	2.81516
0.57408	0.25460	2.83864
0.57577	0.25041	2.86187
0.57746	0.24639	2.88485
0.57915	0.24254	2.90760
0.58084	0.23885	2.93012
0.58253	0.23531	2.95242
0.58422	0.23192	2.97450
0.58591	0.22866	2.99638
0.58760	0.22554	3.01806
0.58929	0.22254	3.03954
0.59098	0.21965	3.06083
0.59267	0.21688	3.08194
0.59436	0.21422	3.10288
0.59605	0.21166	3.12364
0.59774	0.20920	3.14424
0.59943	0.20683	3.16468
0.60112	0.20455	3.18496
0.60281	0.20236	3.20509
0.60450	0.20025	3.22507
0.60619	0.19822	3.24491
0.60788	0.19626	3.26461
0.60957	0.19437	3.28418
0.61126	0.19256	3.30361
0.61295	0.19081	3.32292
0.61464	0.18912	3.34211
0.61633	0.18749	3.36117
0.61801	0.18592	3.38011
0.61970	0.18441	3.39895
0.62139	0.18296	3.41767
0.62308	0.18155	3.43628
0.62477	0.18020	3.45478
0.62646	0.17889	3.47319
0.62815	0.17763	3.49149
0.62984	0.17642	3.50970
0.63153	0.17525	3.52781
0.63322	0.17412	3.54583
0.63491	0.17303	3.56376
0.63660	0.17198	3.58160
0.63829	0.17097	3.59936
0.63998	0.16999	3.61703
0.64167	0.16905	3.63462
0.64336	0.16814	3.65213
0.64505	0.16727	3.66956
0.64674	0.16643	3.68692
0.64843	0.16561	3.70420
0.65012	0.16483	3.72141
0.65181	0.16408	3.73855
0.65350	0.16335	3.75561
0.65519	0.16265	3.77262
0.65688	0.16198	3.78955
0.65857	0.16133	3.80642
0.66026	0.16071	3.82322
0.66195	0.16011	3.83997
0.66364	0.15954	3.85665
0.66533	0.15899	3.87327
0.66702	0.15846	3.88984
0.66871	0.15795	3.90635
0.67040	0.15746	3.92280
0.67209	0.15699	3.93920
0.67378	0.15654	3.95554
0.67546	0.15611	3.97183
0.67715	0.15570	3.98807
0.67884	0.15530	4.00426
0.68053	0.15493	4.02040
0.68222	0.15457	4.03649
0.68391	0.15423	4.05254
0.68560	0.15390	4.06854
0.68729	0.15359	4.08449
0.68898	0.15329	4.10039
0.69067	0.15301	4.11626
0.69236	0.15275	4.13208
0.69405	0.15249	4.14786
0.69574	0.15226	4.16359
0.69743	0.15203	4.17929
0.69912	0.15182	4.19495
0.70081	0.15162	4.21056
0.70250	0.15144	4.22614
0.70419	0.15126	4.24168
0.70588	0.15110	4.25718
0.70757	0.15095	4.27265
0.70926	0.15081	4.28808
0.71095	0.15069	4.30348
0.71264	0.15057	4.31884
0.71433	0.15046	4.33416
0.71602	0.15037	4.34946
0.71771	0.15028	4.36472
0.71940	0.15021	4.37995
0.72109	0.15014	4.39514
0.72278	0.15009	4.41031
0.72447	0.15004	4.42544
0.72616	0.15000	4.44054
0.72785	0.14997	4.45562
0.72954	0.14996	4.47066
0.73122	0.14994	4.48568
0.73291	0.14994	4.50067
0.73460	0.14995	4.51563
0.73629	0.14996	4.53056
0.73798	0.14998	4.54546
0.73967	0.15001	4.56034
0.74136	0.15005	4.57520
0.74305	0.15010	4.59002
0.74474	0.15015	4.60482
0.74643	0.15021	4.61960
0.74812	0.15027	4.63435
0.74981	0.15035	4.64908
0.75150	0.15043	4.66378
0.75319	0.15052	4.67846
0.75488	0.15061	4.69312
0.75657	0.15071	4.70775
0.75826	0.15082	4.72236
0.75995	0.15093	4.73695
0.76164	0.15105	4.75152
0.76333	0.15117	4.76607
0.76502	0.15130	4.78059
0.76671	0.15144	4.79510
0.76840	0.15158	4.80958
0.77009	0.15173	4.82404
0.77178	0.15188	4.83848
0.77347	0.15204	4.85291
0.77516	0.15221	4.86731
0.77685	0.15238	4.88169
0.77854	0.15255	4.89606
0.78023	0.15273	4.91040
0.78192	0.15292	4.92473
0.78361	0.15311	4.93904
0.78530	0.15330	4.95333
0.78699	0.15350	4.96760
0.78867	0.15371	4.98186
0.79036	0.15392	4.99610
0.79205	0.15413	5.01032
0.79374	0.15435	5.02452
0.79543	0.15457	5.03871
0.79712	0.15480	5.05288
0.79881	0.15503	5.06704
0.80050	0.15526	5.08118
0.80219	0.15550	5.09530
0.80388	0.15575	5.10941
0.80557	0.15600	5.12350
