Refractive index of gold at +22K
lambda [um]	n	k
0.55043	0.33472	2.48432
0.55212	0.32651	2.51196
0.55381	0.31872	2.53921
0.55550	0.31133	2.56607
0.55719	0.30431	2.59257
0.55888	0.29763	2.61870
0.56057	0.29127	2.64450
0.56225	0.28522	2.66996
0.56394	0.27946	2.69509
0.56563	0.27396	2.71992
0.56732	0.26872	2.74445
0.56901	0.26371	2.76869
0.57070	0.25893	2.79264
0.57239	0.25436	2.81633
0.57408	0.24999	2.83976
0.57577	0.24581	2.86293
0.57746	0.24181	2.88586
0.57915	0.23798	2.90855
0.58084	0.23430	2.93102
0.58253	0.23078	2.95327
0.58422	0.22741	2.97530
0.58591	0.22417	2.99712
0.58760	0.22107	3.01875
0.58929	0.21808	3.04018
0.59098	0.21522	3.06143
0.59267	0.21247	3.08249
0.59436	0.20982	3.10338
0.59605	0.20728	3.12409
0.59774	0.20484	3.14465
0.59943	0.20249	3.16504
0.60112	0.20022	3.18527
0.60281	0.19805	3.20536
0.60450	0.19595	3.22530
0.60619	0.19394	3.24509
0.60788	0.19200	3.26475
0.60957	0.19013	3.28427
0.61126	0.18832	3.30367
0.61295	0.18659	3.32293
0.61464	0.18492	3.34208
0.61633	0.18331	3.36110
0.61801	0.18175	3.38000
0.61970	0.18026	3.39880
0.62139	0.17881	3.41748
0.62308	0.17742	3.43606
0.62477	0.17608	3.45453
0.62646	0.17479	3.47289
0.62815	0.17354	3.49116
0.62984	0.17234	3.50933
0.63153	0.17118	3.52741
0.63322	0.17006	3.54540
0.63491	0.16898	3.56329
0.63660	0.16794	3.58110
0.63829	0.16694	3.59883
0.63998	0.16598	3.61647
0.64167	0.16504	3.63402
0.64336	0.16415	3.65150
0.64505	0.16328	3.66891
0.64674	0.16245	3.68623
0.64843	0.16164	3.70348
0.65012	0.16087	3.72066
0.65181	0.16013	3.73777
0.65350	0.15941	3.75481
0.65519	0.15872	3.77179
0.65688	0.15805	3.78870
0.65857	0.15741	3.80554
0.66026	0.15680	3.82232
0.66195	0.15621	3.83904
0.66364	0.15564	3.85569
0.66533	0.15509	3.87229
0.66702	0.15457	3.88883
0.66871	0.15406	3.90532
0.67040	0.15358	3.92175
0.67209	0.15311	3.93812
0.67378	0.15267	3.95444
0.67546	0.15224	3.97071
0.67715	0.15184	3.98693
0.67884	0.15145	4.00310
0.68053	0.15107	4.01922
0.68222	0.15072	4.03529
0.68391	0.15038	4.05131
0.68560	0.15006	4.06729
0.68729	0.14975	4.08322
0.68898	0.14946	4.09911
0.69067	0.14918	4.11496
0.69236	0.14891	4.13076
0.69405	0.14866	4.14652
0.69574	0.14843	4.16224
0.69743	0.14821	4.17792
0.69912	0.14800	4.19355
0.70081	0.14780	4.20915
0.70250	0.14761	4.22472
0.70419	0.14744	4.24024
0.70588	0.14728	4.25573
0.70757	0.14713	4.27118
0.70926	0.14699	4.28659
0.71095	0.14687	4.30197
0.71264	0.14675	4.31732
0.71433	0.14664	4.33263
0.71602	0.14655	4.34791
0.71771	0.14646	4.36316
0.71940	0.14639	4.37837
0.72109	0.14632	4.39355
0.72278	0.14626	4.40870
0.72447	0.14622	4.42383
0.72616	0.14618	4.43892
0.72785	0.14615	4.45398
0.72954	0.14613	4.46901
