Refractive index of gold at +28K
lambda [um]	n	k
0.55043	0.33743	2.48356
0.55212	0.32919	2.51122
0.55381	0.32136	2.53849
0.55550	0.31394	2.56538
0.55719	0.30688	2.59189
0.55888	0.30017	2.61805
0.56057	0.29378	2.64387
0.56225	0.28770	2.66935
0.56394	0.28191	2.69451
0.56563	0.27638	2.71936
0.56732	0.27111	2.74391
0.56901	0.26607	2.76817
0.57070	0.26126	2.79215
0.57239	0.25667	2.81586
0.57408	0.25227	2.83931
0.57577	0.24807	2.86250
0.57746	0.24404	2.88545
0.57915	0.24019	2.90817
0.58084	0.23649	2.93066
0.58253	0.23295	2.95292
0.58422	0.22955	2.97498
0.58591	0.22630	2.99682
0.58760	0.22317	3.01847
0.58929	0.22017	3.03992
0.59098	0.21728	3.06118
0.59267	0.21451	3.08227
0.59436	0.21185	3.10317
0.59605	0.20929	3.12391
0.59774	0.20683	3.14448
0.59943	0.20446	3.16489
0.60112	0.20219	3.18514
0.60281	0.19999	3.20524
0.60450	0.19788	3.22520
0.60619	0.19585	3.24501
0.60788	0.19390	3.26468
0.60957	0.19201	3.28422
0.61126	0.19020	3.30363
0.61295	0.18845	3.32291
0.61464	0.18676	3.34207
0.61633	0.18514	3.36111
0.61801	0.18358	3.38003
0.61970	0.18207	3.39884
0.62139	0.18061	3.41753
0.62308	0.17921	3.43612
0.62477	0.17786	3.45460
0.62646	0.17656	3.47299
0.62815	0.17530	3.49127
0.62984	0.17409	3.50945
0.63153	0.17292	3.52754
0.63322	0.17179	3.54554
0.63491	0.17070	3.56345
0.63660	0.16966	3.58127
0.63829	0.16865	3.59900
0.63998	0.16767	3.61666
0.64167	0.16673	3.63422
0.64336	0.16583	3.65172
0.64505	0.16496	3.66913
0.64674	0.16411	3.68646
0.64843	0.16330	3.70373
0.65012	0.16252	3.72092
0.65181	0.16177	3.73804
0.65350	0.16105	3.75509
0.65519	0.16035	3.77207
0.65688	0.15968	3.78899
0.65857	0.15903	3.80584
0.66026	0.15841	3.82263
0.66195	0.15782	3.83935
0.66364	0.15724	3.85602
0.66533	0.15669	3.87263
0.66702	0.15616	3.88917
0.66871	0.15565	3.90567
0.67040	0.15516	3.92210
0.67209	0.15470	3.93849
0.67378	0.15425	3.95481
0.67546	0.15382	3.97109
0.67715	0.15341	3.98732
0.67884	0.15301	4.00349
0.68053	0.15264	4.01962
0.68222	0.15228	4.03570
0.68391	0.15194	4.05173
