Refractive index of gold at +87K
lambda [um]	n	k
0.55043	0.35432	2.49393
0.55212	0.34560	2.52162
0.55381	0.33733	2.54893
0.55550	0.32947	2.57587
0.55719	0.32201	2.60244
0.55888	0.31492	2.62866
0.56057	0.30818	2.65454
0.56225	0.30175	2.68010
0.56394	0.29564	2.70533
0.56563	0.28981	2.73026
0.56732	0.28425	2.75489
0.56901	0.27894	2.77924
0.57070	0.27387	2.80330
0.57239	0.26903	2.82710
0.57408	0.26440	2.85064
0.57577	0.25997	2.87393
0.57746	0.25574	2.89698
0.57915	0.25168	2.91979
0.58084	0.24780	2.94237
0.58253	0.24408	2.96473
0.58422	0.24051	2.98688
0.58591	0.23709	3.00883
0.58760	0.23380	3.03057
0.58929	0.23065	3.05212
0.59098	0.22763	3.07348
0.59267	0.22472	3.09466
0.59436	0.22193	3.11567
0.59605	0.21925	3.13650
0.59774	0.21668	3.15717
0.59943	0.21420	3.17768
0.60112	0.21181	3.19803
0.60281	0.20952	3.21823
0.60450	0.20732	3.23829
0.60619	0.20519	3.25820
0.60788	0.20315	3.27797
0.60957	0.20118	3.29761
0.61126	0.19929	3.31712
0.61295	0.19747	3.33650
0.61464	0.19571	3.35576
0.61633	0.19402	3.37489
0.61801	0.19239	3.39391
0.61970	0.19082	3.41281
0.62139	0.18930	3.43161
0.62308	0.18784	3.45029
0.62477	0.18644	3.46888
0.62646	0.18508	3.48735
0.62815	0.18378	3.50573
0.62984	0.18252	3.52401
0.63153	0.18131	3.54220
0.63322	0.18014	3.56029
0.63491	0.17901	3.57830
0.63660	0.17793	3.59621
0.63829	0.17688	3.61404
0.63998	0.17587	3.63179
0.64167	0.17490	3.64945
0.64336	0.17397	3.66704
0.64505	0.17306	3.68455
0.64674	0.17220	3.70198
0.64843	0.17136	3.71933
0.65012	0.17056	3.73662
0.65181	0.16978	3.75383
0.65350	0.16904	3.77097
0.65519	0.16832	3.78805
0.65688	0.16763	3.80506
0.65857	0.16697	3.82200
0.66026	0.16633	3.83889
0.66195	0.16572	3.85571
0.66364	0.16513	3.87246
0.66533	0.16457	3.88916
0.66702	0.16403	3.90580
0.66871	0.16351	3.92239
0.67040	0.16301	3.93892
0.67209	0.16253	3.95539
0.67378	0.16208	3.97181
0.67546	0.16164	3.98818
0.67715	0.16122	4.00449
0.67884	0.16082	4.02076
0.68053	0.16044	4.03698
0.68222	0.16008	4.05315
0.68391	0.15973	4.06927
0.68560	0.15941	4.08534
0.68729	0.15909	4.10137
0.68898	0.15880	4.11735
0.69067	0.15852	4.13330
0.69236	0.15825	4.14919
0.69405	0.15800	4.16505
0.69574	0.15776	4.18086
0.69743	0.15754	4.19664
0.69912	0.15733	4.21237
0.70081	0.15714	4.22806
0.70250	0.15695	4.24372
0.70419	0.15678	4.25934
0.70588	0.15663	4.27492
0.70757	0.15648	4.29046
0.70926	0.15635	4.30597
0.71095	0.15623	4.32144
0.71264	0.15612	4.33688
0.71433	0.15602	4.35229
0.71602	0.15593	4.36766
0.71771	0.15585	4.38299
0.71940	0.15578	4.39830
0.72109	0.15573	4.41357
0.72278	0.15568	4.42882
0.72447	0.15564	4.44403
0.72616	0.15561	4.45921
