Refractive index of gold at +9K
lambda [um]	n	k
0.55043	0.33329	2.48430
0.55212	0.32500	2.51201
0.55381	0.31714	2.53931
0.55550	0.30968	2.56623
0.55719	0.30260	2.59278
0.55888	0.29587	2.61896
0.56057	0.28946	2.64480
0.56225	0.28337	2.67030
0.56394	0.27756	2.69547
0.56563	0.27203	2.72033
0.56732	0.26676	2.74489
0.56901	0.26172	2.76915
0.57070	0.25691	2.79314
0.57239	0.25232	2.81685
0.57408	0.24793	2.84029
0.57577	0.24373	2.86349
0.57746	0.23971	2.88643
0.57915	0.23587	2.90914
0.58084	0.23218	2.93162
0.58253	0.22865	2.95388
0.58422	0.22527	2.97592
0.58591	0.22202	2.99775
0.58760	0.21891	3.01939
0.58929	0.21592	3.04082
0.59098	0.21305	3.06207
0.59267	0.21030	3.08314
0.59436	0.20765	3.10403
0.59605	0.20511	3.12475
0.59774	0.20266	3.14530
0.59943	0.20031	3.16569
0.60112	0.19805	3.18593
0.60281	0.19587	3.20601
0.60450	0.19378	3.22595
0.60619	0.19176	3.24574
0.60788	0.18982	3.26539
0.60957	0.18795	3.28491
0.61126	0.18615	3.30430
0.61295	0.18442	3.32356
0.61464	0.18275	3.34270
0.61633	0.18114	3.36172
0.61801	0.17959	3.38062
0.61970	0.17809	3.39940
0.62139	0.17665	3.41808
0.62308	0.17527	3.43665
0.62477	0.17393	3.45511
0.62646	0.17264	3.47347
0.62815	0.17140	3.49173
0.62984	0.17020	3.50989
0.63153	0.16904	3.52796
0.63322	0.16793	3.54594
0.63491	0.16685	3.56383
0.63660	0.16582	3.58163
0.63829	0.16482	3.59934
0.63998	0.16386	3.61697
0.64167	0.16293	3.63452
0.64336	0.16203	3.65199
0.64505	0.16117	3.66938
0.64674	0.16034	3.68670
0.64843	0.15954	3.70394
0.65012	0.15877	3.72111
0.65181	0.15803	3.73821
0.65350	0.15732	3.75524
0.65519	0.15663	3.77220
0.65688	0.15597	3.78910
0.65857	0.15533	3.80593
0.66026	0.15472	3.82270
0.66195	0.15413	3.83941
0.66364	0.15357	3.85606
0.66533	0.15302	3.87265
0.66702	0.15250	3.88918
0.66871	0.15200	3.90565
0.67040	0.15152	3.92207
0.67209	0.15106	3.93844
0.67378	0.15062	3.95475
0.67546	0.15019	3.97101
0.67715	0.14979	3.98721
0.67884	0.14940	4.00337
0.68053	0.14903	4.01948
0.68222	0.14868	4.03554
0.68391	0.14834	4.05156
0.68560	0.14802	4.06752
0.68729	0.14771	4.08345
0.68898	0.14742	4.09933
0.69067	0.14715	4.11516
0.69236	0.14689	4.13095
0.69405	0.14664	4.14670
0.69574	0.14640	4.16241
0.69743	0.14618	4.17808
0.69912	0.14597	4.19371
0.70081	0.14578	4.20930
0.70250	0.14560	4.22485
0.70419	0.14542	4.24037
0.70588	0.14526	4.25584
0.70757	0.14512	4.27129
0.70926	0.14498	4.28669
0.71095	0.14485	4.30206
0.71264	0.14474	4.31740
0.71433	0.14463	4.33270
0.71602	0.14454	4.34797
0.71771	0.14445	4.36321
0.71940	0.14438	4.37842
0.72109	0.14431	4.39359
0.72278	0.14426	4.40873
0.72447	0.14421	4.42384
0.72616	0.14417	4.43893
0.72785	0.14414	4.45398
0.72954	0.14412	4.46900
