Refractive index of gold at +19K
lambda [um]	n	k
0.55043	0.33370	2.48445
0.55212	0.32550	2.51210
0.55381	0.31771	2.53934
0.55550	0.31032	2.56621
0.55719	0.30331	2.59271
0.55888	0.29663	2.61884
0.56057	0.29029	2.64464
0.56225	0.28424	2.67009
0.56394	0.27848	2.69523
0.56563	0.27299	2.72006
0.56732	0.26775	2.74458
0.56901	0.26276	2.76882
0.57070	0.25798	2.79277
0.57239	0.25342	2.81645
0.57408	0.24905	2.83988
0.57577	0.24488	2.86305
0.57746	0.24088	2.88597
0.57915	0.23706	2.90866
0.58084	0.23339	2.93113
0.58253	0.22988	2.95337
0.58422	0.22651	2.97540
0.58591	0.22328	2.99722
0.58760	0.22018	3.01884
0.58929	0.21720	3.04027
0.59098	0.21434	3.06151
0.59267	0.21160	3.08257
0.59436	0.20896	3.10345
0.59605	0.20642	3.12416
0.59774	0.20398	3.14471
0.59943	0.20164	3.16510
0.60112	0.19938	3.18533
0.60281	0.19721	3.20541
0.60450	0.19512	3.22534
0.60619	0.19311	3.24513
0.60788	0.19117	3.26478
0.60957	0.18931	3.28430
0.61126	0.18751	3.30369
0.61295	0.18578	3.32295
0.61464	0.18411	3.34209
0.61633	0.18251	3.36111
0.61801	0.18096	3.38001
0.61970	0.17947	3.39880
0.62139	0.17803	3.41748
0.62308	0.17664	3.43605
0.62477	0.17530	3.45452
0.62646	0.17401	3.47288
0.62815	0.17277	3.49114
0.62984	0.17157	3.50931
0.63153	0.17041	3.52739
0.63322	0.16930	3.54537
0.63491	0.16823	3.56326
0.63660	0.16719	3.58106
0.63829	0.16619	3.59878
0.63998	0.16523	3.61642
0.64167	0.16430	3.63397
0.64336	0.16340	3.65145
0.64505	0.16254	3.66885
0.64674	0.16171	3.68617
0.64843	0.16091	3.70342
0.65012	0.16014	3.72060
0.65181	0.15940	3.73770
0.65350	0.15868	3.75474
0.65519	0.15799	3.77171
0.65688	0.15733	3.78861
0.65857	0.15669	3.80545
0.66026	0.15608	3.82223
0.66195	0.15549	3.83894
0.66364	0.15492	3.85560
0.66533	0.15438	3.87219
0.66702	0.15386	3.88873
0.66871	0.15335	3.90521
0.67040	0.15287	3.92164
0.67209	0.15241	3.93801
0.67378	0.15197	3.95433
0.67546	0.15154	3.97059
0.67715	0.15114	3.98681
0.67884	0.15075	4.00297
0.68053	0.15038	4.01909
0.68222	0.15003	4.03516
0.68391	0.14969	4.05118
0.68560	0.14937	4.06716
0.68729	0.14906	4.08309
0.68898	0.14877	4.09897
0.69067	0.14849	4.11481
0.69236	0.14823	4.13061
0.69405	0.14798	4.14637
0.69574	0.14774	4.16209
0.69743	0.14752	4.17776
0.69912	0.14731	4.19340
0.70081	0.14712	4.20900
0.70250	0.14693	4.22456
0.70419	0.14676	4.24008
