Refractive index of gold at +47K
lambda [um]	n	k
0.55043	0.34180	2.48170
0.55212	0.33354	2.50944
0.55381	0.32569	2.53678
0.55550	0.31824	2.56374
0.55719	0.31116	2.59033
0.55888	0.30442	2.61656
0.56057	0.29801	2.64245
0.56225	0.29191	2.66800
0.56394	0.28609	2.69323
0.56563	0.28054	2.71814
0.56732	0.27524	2.74276
0.56901	0.27018	2.76708
0.57070	0.26535	2.79113
0.57239	0.26073	2.81490
0.57408	0.25631	2.83841
0.57577	0.25208	2.86167
0.57746	0.24803	2.88468
0.57915	0.24416	2.90746
0.58084	0.24044	2.93000
0.58253	0.23688	2.95233
0.58422	0.23346	2.97444
0.58591	0.23018	2.99634
0.58760	0.22703	3.01804
0.58929	0.22401	3.03954
0.59098	0.22111	3.06086
0.59267	0.21832	3.08200
0.59436	0.21564	3.10296
0.59605	0.21306	3.12374
0.59774	0.21058	3.14436
0.59943	0.20820	3.16482
0.60112	0.20590	3.18512
0.60281	0.20370	3.20527
0.60450	0.20157	3.22527
0.60619	0.19952	3.24513
0.60788	0.19755	3.26485
0.60957	0.19565	3.28444
0.61126	0.19382	3.30389
0.61295	0.19206	3.32321
0.61464	0.19036	3.34242
0.61633	0.18873	3.36150
0.61801	0.18715	3.38046
0.61970	0.18563	3.39931
0.62139	0.18416	3.41804
0.62308	0.18275	3.43667
0.62477	0.18138	3.45519
0.62646	0.18007	3.47361
0.62815	0.17880	3.49193
0.62984	0.17758	3.51015
0.63153	0.17640	3.52828
0.63322	0.17526	3.54631
0.63491	0.17417	3.56426
0.63660	0.17311	3.58211
0.63829	0.17209	3.59988
0.63998	0.17111	3.61757
0.64167	0.17016	3.63517
0.64336	0.16925	3.65269
0.64505	0.16837	3.67014
0.64674	0.16752	3.68750
0.64843	0.16670	3.70480
0.65012	0.16592	3.72202
0.65181	0.16516	3.73917
0.65350	0.16443	3.75625
0.65519	0.16373	3.77326
0.65688	0.16305	3.79020
0.65857	0.16240	3.80709
0.66026	0.16177	3.82390
0.66195	0.16117	3.84066
0.66364	0.16059	3.85735
0.66533	0.16004	3.87398
0.66702	0.15950	3.89056
0.66871	0.15899	3.90708
0.67040	0.15850	3.92354
0.67209	0.15803	3.93994
0.67378	0.15758	3.95630
0.67546	0.15714	3.97260
0.67715	0.15673	3.98885
0.67884	0.15633	4.00505
0.68053	0.15595	4.02120
0.68222	0.15559	4.03730
0.68391	0.15525	4.05335
0.68560	0.15492	4.06936
0.68729	0.15461	4.08532
0.68898	0.15431	4.10123
0.69067	0.15403	4.11711
0.69236	0.15376	4.13293
0.69405	0.15351	4.14872
0.69574	0.15327	4.16447
0.69743	0.15304	4.18017
0.69912	0.15283	4.19583
0.70081	0.15263	4.21146
0.70250	0.15244	4.22704
0.70419	0.15227	4.24259
0.70588	0.15211	4.25810
0.70757	0.15196	4.27358
0.70926	0.15182	4.28901
0.71095	0.15169	4.30442
0.71264	0.15157	4.31978
0.71433	0.15147	4.33512
0.71602	0.15137	4.35042
0.71771	0.15129	4.36569
0.71940	0.15121	4.38092
0.72109	0.15114	4.39612
0.72278	0.15109	4.41130
0.72447	0.15104	4.42644
0.72616	0.15101	4.44155
0.72785	0.15098	4.45663
0.72954	0.15096	4.47168
0.73122	0.15095	4.48670
0.73291	0.15095	4.50170
0.73460	0.15095	4.51666
0.73629	0.15097	4.53160
0.73798	0.15099	4.54651
0.73967	0.15102	4.56140
0.74136	0.15106	4.57625
0.74305	0.15110	4.59109
0.74474	0.15116	4.60589
0.74643	0.15122	4.62068
0.74812	0.15128	4.63543
0.74981	0.15136	4.65017
0.75150	0.15144	4.66488
0.75319	0.15153	4.67956
0.75488	0.15162	4.69422
0.75657	0.15172	4.70886
0.75826	0.15183	4.72348
0.75995	0.15194	4.73808
0.76164	0.15206	4.75265
0.76333	0.15219	4.76720
0.76502	0.15232	4.78173
0.76671	0.15246	4.79624
0.76840	0.15260	4.81073
0.77009	0.15275	4.82519
0.77178	0.15291	4.83964
0.77347	0.15307	4.85407
0.77516	0.15323	4.86848
0.77685	0.15341	4.88287
0.77854	0.15358	4.89724
0.78023	0.15376	4.91159
0.78192	0.15395	4.92592
0.78361	0.15414	4.94023
0.78530	0.15434	4.95453
0.78699	0.15454	4.96881
0.78867	0.15475	4.98307
0.79036	0.15496	4.99731
0.79205	0.15517	5.01154
0.79374	0.15539	5.02575
0.79543	0.15562	5.03994
0.79712	0.15585	5.05411
0.79881	0.15608	5.06827
0.80050	0.15632	5.08242
0.80219	0.15656	5.09655
0.80388	0.15680	5.11066
0.80557	0.15706	5.12476
0.80726	0.15731	5.13884
0.80895	0.15757	5.15290
0.81064	0.15783	5.16696
0.81233	0.15810	5.18099
0.81402	0.15837	5.19501
0.81571	0.15864	5.20902
0.81740	0.15892	5.22302
0.81909	0.15920	5.23700
0.82078	0.15948	5.25096
0.82247	0.15977	5.26491
0.82416	0.16007	5.27885
0.82585	0.16036	5.29278
0.82754	0.16066	5.30669
0.82923	0.16096	5.32059
0.83092	0.16127	5.33448
0.83261	0.16158	5.34835
0.83430	0.16189	5.36221
0.83599	0.16221	5.37606
0.83768	0.16253	5.38990
0.83937	0.16285	5.40372
0.84106	0.16318	5.41753
0.84275	0.16351	5.43133
0.84443	0.16384	5.44512
0.84612	0.16417	5.45890
0.84781	0.16451	5.47266
0.84950	0.16485	5.48641
0.85119	0.16520	5.50016
0.85288	0.16554	5.51389
0.85457	0.16589	5.52761
0.85626	0.16625	5.54132
0.85795	0.16660	5.55502
0.85964	0.16696	5.56870
0.86133	0.16732	5.58238
0.86302	0.16769	5.59605
0.86471	0.16806	5.60970
0.86640	0.16843	5.62335
0.86809	0.16880	5.63699
0.86978	0.16917	5.65061
0.87147	0.16955	5.66423
0.87316	0.16993	5.67784
0.87485	0.17032	5.69143
0.87654	0.17070	5.70502
0.87823	0.17109	5.71860
0.87992	0.17148	5.73216
0.88161	0.17187	5.74572
0.88330	0.17227	5.75927
0.88499	0.17267	5.77281
0.88668	0.17307	5.78634
0.88837	0.17347	5.79987
0.89006	0.17388	5.81338
0.89175	0.17429	5.82688
0.89344	0.17470	5.84038
0.89513	0.17511	5.85387
0.89682	0.17552	5.86735
0.89851	0.17594	5.88082
0.90020	0.17636	5.89428
0.90188	0.17678	5.90773
0.90357	0.17721	5.92118
0.90526	0.17763	5.93461
0.90695	0.17806	5.94804
0.90864	0.17849	5.96147
0.91033	0.17893	5.97488
0.91202	0.17936	5.98828
0.91371	0.17980	6.00168
0.91540	0.18024	6.01507
0.91709	0.18068	6.02845
0.91878	0.18112	6.04183
0.92047	0.18157	6.05520
0.92216	0.18202	6.06856
0.92385	0.18247	6.08191
0.92554	0.18292	6.09525
0.92723	0.18338	6.10859
0.92892	0.18383	6.12192
0.93061	0.18429	6.13525
0.93230	0.18475	6.14856
0.93399	0.18521	6.16187
0.93568	0.18568	6.17518
0.93737	0.18614	6.18847
0.93906	0.18661	6.20176
0.94075	0.18708	6.21505
0.94244	0.18755	6.22832
0.94413	0.18803	6.24159
0.94582	0.18850	6.25485
0.94751	0.18898	6.26811
0.94920	0.18946	6.28136
0.95089	0.18994	6.29460
0.95258	0.19042	6.30784
0.95427	0.19091	6.32107
0.95596	0.19140	6.33430
0.95764	0.19189	6.34752
0.95933	0.19238	6.36073
0.96102	0.19287	6.37393
0.96271	0.19336	6.38713
0.96440	0.19386	6.40033
0.96609	0.19436	6.41352
0.96778	0.19486	6.42670
0.96947	0.19536	6.43988
0.97116	0.19586	6.45305
0.97285	0.19637	6.46621
0.97454	0.19687	6.47937
0.97623	0.19738	6.49253
0.97792	0.19789	6.50567
0.97961	0.19840	6.51882
0.98130	0.19892	6.53196
0.98299	0.19943	6.54509
0.98468	0.19995	6.55821
0.98637	0.20047	6.57133
0.98806	0.20099	6.58445
0.98975	0.20151	6.59756
0.99144	0.20203	6.61067
0.99313	0.20256	6.62377
0.99482	0.20309	6.63686
0.99651	0.20362	6.64995
0.99820	0.20415	6.66304
0.99989	0.20468	6.67611
1.00158	0.20521	6.68919
1.00327	0.20575	6.70226
1.00496	0.20628	6.71532
1.00665	0.20682	6.72838
1.00834	0.20736	6.74144
1.01003	0.20790	6.75449
