Refractive index of gold at +32K
lambda [um]	n	k
0.55043	0.33848	2.48311
0.55212	0.33024	2.51079
0.55381	0.32242	2.53807
0.55550	0.31499	2.56497
0.55719	0.30794	2.59150
0.55888	0.30123	2.61768
0.56057	0.29484	2.64350
0.56225	0.28876	2.66900
0.56394	0.28296	2.69417
0.56563	0.27743	2.71903
0.56732	0.27216	2.74360
0.56901	0.26712	2.76787
0.57070	0.26231	2.79186
0.57239	0.25771	2.81558
0.57408	0.25331	2.83904
0.57577	0.24910	2.86225
0.57746	0.24507	2.88521
0.57915	0.24121	2.90794
0.58084	0.23752	2.93044
0.58253	0.23397	2.95271
0.58422	0.23057	2.97478
0.58591	0.22731	2.99664
0.58760	0.22418	3.01829
0.58929	0.22117	3.03976
0.59098	0.21829	3.06103
0.59267	0.21551	3.08212
0.59436	0.21285	3.10304
0.59605	0.21028	3.12379
0.59774	0.20782	3.14437
0.59943	0.20545	3.16478
0.60112	0.20317	3.18505
0.60281	0.20097	3.20516
0.60450	0.19886	3.22512
0.60619	0.19682	3.24495
0.60788	0.19486	3.26463
0.60957	0.19298	3.28418
0.61126	0.19116	3.30360
0.61295	0.18941	3.32289
0.61464	0.18772	3.34205
0.61633	0.18609	3.36110
0.61801	0.18452	3.38003
0.61970	0.18301	3.39884
0.62139	0.18155	3.41755
0.62308	0.18015	3.43615
0.62477	0.17879	3.45464
0.62646	0.17749	3.47303
0.62815	0.17623	3.49132
0.62984	0.17501	3.50951
0.63153	0.17384	3.52761
0.63322	0.17271	3.54561
0.63491	0.17162	3.56353
0.63660	0.17057	3.58135
0.63829	0.16956	3.59910
0.63998	0.16858	3.61675
0.64167	0.16764	3.63433
0.64336	0.16673	3.65183
0.64505	0.16586	3.66925
0.64674	0.16502	3.68659
0.64843	0.16420	3.70386
0.65012	0.16342	3.72105
0.65181	0.16267	3.73818
0.65350	0.16194	3.75523
0.65519	0.16124	3.77222
0.65688	0.16057	3.78914
0.65857	0.15992	3.80600
