Refractive index of gold at +44K
lambda [um]	n	k
0.55043	0.34050	2.48201
0.55212	0.33227	2.50973
0.55381	0.32446	2.53706
0.55550	0.31704	2.56400
0.55719	0.30999	2.59057
0.55888	0.30328	2.61678
0.56057	0.29690	2.64265
0.56225	0.29082	2.66819
0.56394	0.28503	2.69340
0.56563	0.27950	2.71830
0.56732	0.27423	2.74290
0.56901	0.26919	2.76721
0.57070	0.26438	2.79124
0.57239	0.25978	2.81499
0.57408	0.25538	2.83849
0.57577	0.25117	2.86173
0.57746	0.24714	2.88473
0.57915	0.24328	2.90749
0.58084	0.23958	2.93002
0.58253	0.23603	2.95233
0.58422	0.23263	2.97443
0.58591	0.22936	2.99632
0.58760	0.22623	3.01801
0.58929	0.22322	3.03950
0.59098	0.22033	3.06081
0.59267	0.21755	3.08193
0.59436	0.21488	3.10288
0.59605	0.21231	3.12365
0.59774	0.20985	3.14426
0.59943	0.20747	3.16471
0.60112	0.20519	3.18500
0.60281	0.20299	3.20514
0.60450	0.20087	3.22513
0.60619	0.19883	3.24498
0.60788	0.19687	3.26469
0.60957	0.19498	3.28427
0.61126	0.19315	3.30371
0.61295	0.19140	3.32303
0.61464	0.18971	3.34222
0.61633	0.18808	3.36129
0.61801	0.18650	3.38024
0.61970	0.18499	3.39908
0.62139	0.18353	3.41781
0.62308	0.18212	3.43643
0.62477	0.18076	3.45495
0.62646	0.17945	3.47336
0.62815	0.17819	3.49167
0.62984	0.17697	3.50988
0.63153	0.17580	3.52800
0.63322	0.17467	3.54603
0.63491	0.17357	3.56397
0.63660	0.17252	3.58181
0.63829	0.17151	3.59958
0.63998	0.17053	3.61725
0.64167	0.16958	3.63485
0.64336	0.16867	3.65237
0.64505	0.16780	3.66981
0.64674	0.16695	3.68717
0.64843	0.16614	3.70445
0.65012	0.16535	3.72167
0.65181	0.16460	3.73881
0.65350	0.16387	3.75589
0.65519	0.16317	3.77289
0.65688	0.16250	3.78983
0.65857	0.16185	3.80671
0.66026	0.16122	3.82352
0.66195	0.16062	3.84027
0.66364	0.16005	3.85695
0.66533	0.15949	3.87358
0.66702	0.15896	3.89015
