Refractive index of gold at +55K
lambda [um]	n	k
0.55043	0.34477	2.48233
0.55212	0.33643	2.51008
0.55381	0.32852	2.53742
0.55550	0.32101	2.56439
0.55719	0.31387	2.59099
0.55888	0.30708	2.61723
0.56057	0.30062	2.64312
0.56225	0.29447	2.66869
0.56394	0.28860	2.69393
0.56563	0.28300	2.71886
0.56732	0.27766	2.74348
0.56901	0.27256	2.76782
0.57070	0.26769	2.79188
0.57239	0.26303	2.81566
0.57408	0.25858	2.83919
0.57577	0.25432	2.86246
0.57746	0.25023	2.88549
0.57915	0.24632	2.90827
0.58084	0.24258	2.93083
0.58253	0.23898	2.95317
0.58422	0.23554	2.97530
0.58591	0.23223	2.99721
0.58760	0.22906	3.01893
0.58929	0.22601	3.04045
0.59098	0.22308	3.06178
0.59267	0.22027	3.08293
0.59436	0.21757	3.10390
0.59605	0.21497	3.12470
0.59774	0.21247	3.14534
0.59943	0.21007	3.16581
0.60112	0.20775	3.18613
0.60281	0.20553	3.20629
0.60450	0.20338	3.22631
0.60619	0.20132	3.24618
0.60788	0.19933	3.26591
0.60957	0.19742	3.28551
0.61126	0.19557	3.30498
0.61295	0.19379	3.32431
0.61464	0.19208	3.34353
0.61633	0.19043	3.36262
0.61801	0.18884	3.38160
0.61970	0.18731	3.40046
0.62139	0.18583	3.41921
0.62308	0.18440	3.43785
0.62477	0.18303	3.45638
0.62646	0.18170	3.47482
0.62815	0.18042	3.49315
0.62984	0.17919	3.51138
0.63153	0.17800	3.52952
0.63322	0.17686	3.54757
0.63491	0.17575	3.56552
0.63660	0.17469	3.58339
0.63829	0.17366	3.60117
0.63998	0.17267	3.61887
0.64167	0.17171	3.63648
0.64336	0.17079	3.65402
0.64505	0.16991	3.67147
0.64674	0.16905	3.68885
0.64843	0.16823	3.70616
0.65012	0.16743	3.72339
0.65181	0.16667	3.74055
0.65350	0.16593	3.75764
0.65519	0.16523	3.77466
0.65688	0.16454	3.79162
0.65857	0.16389	3.80851
0.66026	0.16326	3.82534
0.66195	0.16265	3.84210
0.66364	0.16207	3.85880
0.66533	0.16151	3.87545
0.66702	0.16097	3.89203
0.66871	0.16045	3.90856
0.67040	0.15996	3.92503
0.67209	0.15948	3.94145
0.67378	0.15902	3.95782
0.67546	0.15859	3.97413
0.67715	0.15817	3.99039
0.67884	0.15777	4.00659
0.68053	0.15739	4.02275
0.68222	0.15703	4.03886
0.68391	0.15668	4.05493
0.68560	0.15635	4.07094
0.68729	0.15603	4.08691
0.68898	0.15573	4.10284
0.69067	0.15545	4.11872
0.69236	0.15518	4.13456
0.69405	0.15493	4.15036
0.69574	0.15469	4.16611
0.69743	0.15446	4.18182
0.69912	0.15424	4.19750
0.70081	0.15404	4.21313
0.70250	0.15386	4.22872
0.70419	0.15368	4.24428
0.70588	0.15352	4.25980
0.70757	0.15336	4.27528
0.70926	0.15322	4.29073
0.71095	0.15310	4.30614
0.71264	0.15298	4.32152
0.71433	0.15287	4.33686
0.71602	0.15278	4.35217
0.71771	0.15269	4.36745
0.71940	0.15261	4.38269
0.72109	0.15255	4.39790
0.72278	0.15249	4.41308
0.72447	0.15245	4.42823
0.72616	0.15241	4.44335
0.72785	0.15238	4.45844
0.72954	0.15236	4.47350
0.73122	0.15235	4.48853
0.73291	0.15235	4.50353
0.73460	0.15236	4.51850
0.73629	0.15237	4.53345
0.73798	0.15240	4.54837
0.73967	0.15243	4.56326
0.74136	0.15247	4.57813
0.74305	0.15251	4.59297
0.74474	0.15257	4.60779
0.74643	0.15263	4.62258
0.74812	0.15270	4.63734
0.74981	0.15277	4.65208
0.75150	0.15285	4.66680
0.75319	0.15294	4.68149
0.75488	0.15304	4.69616
0.75657	0.15314	4.71081
0.75826	0.15325	4.72543
0.75995	0.15336	4.74004
0.76164	0.15349	4.75462
0.76333	0.15361	4.76917
0.76502	0.15375	4.78371
0.76671	0.15389	4.79823
0.76840	0.15403	4.81272
0.77009	0.15418	4.82720
0.77178	0.15434	4.84165
0.77347	0.15450	4.85609
0.77516	0.15467	4.87050
0.77685	0.15484	4.88490
0.77854	0.15502	4.89928
0.78023	0.15520	4.91364
0.78192	0.15539	4.92798
