Refractive index of gold at +54K
lambda [um]	n	k
0.55043	0.34449	2.48212
0.55212	0.33616	2.50987
0.55381	0.32825	2.53722
0.55550	0.32075	2.56419
0.55719	0.31361	2.59079
0.55888	0.30682	2.61703
0.56057	0.30036	2.64293
0.56225	0.29421	2.66849
0.56394	0.28835	2.69374
0.56563	0.28275	2.71867
0.56732	0.27742	2.74330
0.56901	0.27232	2.76764
0.57070	0.26745	2.79169
0.57239	0.26280	2.81548
0.57408	0.25834	2.83901
0.57577	0.25408	2.86228
0.57746	0.25000	2.88530
0.57915	0.24609	2.90809
0.58084	0.24235	2.93065
0.58253	0.23876	2.95299
0.58422	0.23532	2.97512
0.58591	0.23201	2.99703
0.58760	0.22884	3.01875
0.58929	0.22579	3.04027
0.59098	0.22287	3.06160
0.59267	0.22006	3.08275
0.59436	0.21736	3.10372
0.59605	0.21476	3.12452
0.59774	0.21226	3.14515
0.59943	0.20986	3.16563
0.60112	0.20755	3.18594
0.60281	0.20532	3.20611
0.60450	0.20318	3.22612
0.60619	0.20112	3.24599
0.60788	0.19913	3.26573
0.60957	0.19722	3.28532
0.61126	0.19537	3.30479
0.61295	0.19360	3.32413
0.61464	0.19189	3.34334
0.61633	0.19024	3.36243
0.61801	0.18865	3.38141
0.61970	0.18711	3.40027
0.62139	0.18564	3.41902
0.62308	0.18421	3.43766
0.62477	0.18284	3.45619
0.62646	0.18151	3.47462
0.62815	0.18024	3.49295
0.62984	0.17900	3.51119
0.63153	0.17782	3.52932
0.63322	0.17667	3.54737
0.63491	0.17557	3.56532
0.63660	0.17450	3.58319
0.63829	0.17348	3.60097
0.63998	0.17249	3.61867
0.64167	0.17153	3.63628
0.64336	0.17061	3.65381
0.64505	0.16973	3.67127
0.64674	0.16887	3.68865
0.64843	0.16805	3.70595
0.65012	0.16725	3.72318
0.65181	0.16649	3.74034
0.65350	0.16576	3.75743
0.65519	0.16505	3.77445
0.65688	0.16437	3.79141
0.65857	0.16371	3.80830
0.66026	0.16308	3.82512
0.66195	0.16247	3.84189
0.66364	0.16189	3.85859
0.66533	0.16133	3.87523
0.66702	0.16079	3.89182
0.66871	0.16028	3.90835
0.67040	0.15978	3.92482
0.67209	0.15931	3.94123
0.67378	0.15885	3.95760
0.67546	0.15842	3.97391
0.67715	0.15800	3.99016
0.67884	0.15760	4.00637
0.68053	0.15722	4.02253
0.68222	0.15685	4.03864
0.68391	0.15651	4.05470
0.68560	0.15618	4.07072
0.68729	0.15586	4.08669
0.68898	0.15556	4.10261
0.69067	0.15528	4.11849
0.69236	0.15501	4.13433
0.69405	0.15475	4.15012
0.69574	0.15451	4.16588
0.69743	0.15429	4.18159
0.69912	0.15407	4.19726
0.70081	0.15387	4.21289
0.70250	0.15368	4.22849
0.70419	0.15351	4.24404
0.70588	0.15335	4.25956
0.70757	0.15319	4.27504
0.70926	0.15305	4.29049
0.71095	0.15293	4.30590
0.71264	0.15281	4.32128
0.71433	0.15270	4.33662
0.71602	0.15261	4.35193
0.71771	0.15252	4.36720
0.71940	0.15244	4.38244
0.72109	0.15238	4.39765
0.72278	0.15232	4.41283
0.72447	0.15228	4.42798
0.72616	0.15224	4.44310
0.72785	0.15221	4.45819
0.72954	0.15219	4.47325
0.73122	0.15218	4.48827
0.73291	0.15218	4.50328
0.73460	0.15219	4.51825
0.73629	0.15220	4.53319
0.73798	0.15222	4.54811
0.73967	0.15225	4.56301
0.74136	0.15229	4.57787
0.74305	0.15234	4.59271
0.74474	0.15239	4.60752
0.74643	0.15245	4.62231
0.74812	0.15252	4.63708
0.74981	0.15260	4.65182
0.75150	0.15268	4.66653
0.75319	0.15277	4.68123
0.75488	0.15286	4.69590
0.75657	0.15297	4.71054
0.75826	0.15308	4.72517
0.75995	0.15319	4.73977
0.76164	0.15331	4.75435
0.76333	0.15344	4.76890
0.76502	0.15357	4.78344
0.76671	0.15371	4.79796
0.76840	0.15386	4.81245
0.77009	0.15401	4.82692
0.77178	0.15416	4.84138
0.77347	0.15433	4.85581
0.77516	0.15449	4.87023
0.77685	0.15467	4.88462
0.77854	0.15484	4.89900
0.78023	0.15503	4.91336
0.78192	0.15522	4.92769
0.78361	0.15541	4.94201
0.78530	0.15561	4.95632
0.78699	0.15581	4.97060
0.78867	0.15602	4.98487
0.79036	0.15623	4.99912
0.79205	0.15645	5.01335
0.79374	0.15667	5.02756
0.79543	0.15690	5.04176
0.79712	0.15713	5.05595
0.79881	0.15736	5.07011
0.80050	0.15760	5.08426
0.80219	0.15785	5.09840
0.80388	0.15810	5.11251
0.80557	0.15835	5.12662
0.80726	0.15861	5.14070
0.80895	0.15887	5.15478
0.81064	0.15913	5.16883
0.81233	0.15940	5.18288
0.81402	0.15967	5.19691
0.81571	0.15995	5.21092
0.81740	0.16023	5.22492
0.81909	0.16051	5.23890
0.82078	0.16080	5.25288
0.82247	0.16109	5.26683
0.82416	0.16139	5.28078
0.82585	0.16168	5.29471
0.82754	0.16199	5.30863
0.82923	0.16229	5.32253
0.83092	0.16260	5.33642
0.83261	0.16291	5.35030
0.83430	0.16323	5.36417
0.83599	0.16355	5.37802
0.83768	0.16387	5.39187
0.83937	0.16420	5.40570
0.84106	0.16452	5.41951
0.84275	0.16486	5.43332
0.84443	0.16519	5.44711
0.84612	0.16553	5.46089
0.84781	0.16587	5.47466
0.84950	0.16622	5.48842
0.85119	0.16656	5.50217
0.85288	0.16691	5.51591
0.85457	0.16727	5.52963
0.85626	0.16762	5.54335
0.85795	0.16798	5.55705
0.85964	0.16834	5.57075
0.86133	0.16871	5.58443
0.86302	0.16908	5.59810
0.86471	0.16945	5.61176
0.86640	0.16982	5.62541
0.86809	0.17020	5.63906
0.86978	0.17057	5.65269
0.87147	0.17095	5.66631
0.87316	0.17134	5.67992
0.87485	0.17173	5.69352
0.87654	0.17211	5.70711
0.87823	0.17251	5.72070
0.87992	0.17290	5.73427
0.88161	0.17330	5.74783
0.88330	0.17370	5.76139
