Refractive index of gold at +78K
lambda [um]	n	k
0.55043	0.35024	2.48834
0.55212	0.34176	2.51605
0.55381	0.33371	2.54338
0.55550	0.32607	2.57032
0.55719	0.31880	2.59691
0.55888	0.31189	2.62314
0.56057	0.30532	2.64902
0.56225	0.29906	2.67458
0.56394	0.29309	2.69982
0.56563	0.28740	2.72475
0.56732	0.28197	2.74938
0.56901	0.27678	2.77372
0.57070	0.27183	2.79778
0.57239	0.26709	2.82158
0.57408	0.26257	2.84511
0.57577	0.25823	2.86839
0.57746	0.25409	2.89143
0.57915	0.25012	2.91423
0.58084	0.24631	2.93681
0.58253	0.24266	2.95916
0.58422	0.23916	2.98130
0.58591	0.23581	3.00324
0.58760	0.23259	3.02497
0.58929	0.22949	3.04651
0.59098	0.22652	3.06786
0.59267	0.22367	3.08903
0.59436	0.22093	3.11003
0.59605	0.21829	3.13085
0.59774	0.21576	3.15151
0.59943	0.21332	3.17200
0.60112	0.21098	3.19234
0.60281	0.20872	3.21253
0.60450	0.20655	3.23257
0.60619	0.20446	3.25247
0.60788	0.20245	3.27223
0.60957	0.20051	3.29185
0.61126	0.19864	3.31134
0.61295	0.19684	3.33071
0.61464	0.19511	3.34995
0.61633	0.19344	3.36907
0.61801	0.19183	3.38807
0.61970	0.19028	3.40696
0.62139	0.18878	3.42574
0.62308	0.18734	3.44441
0.62477	0.18595	3.46297
0.62646	0.18461	3.48144
0.62815	0.18332	3.49980
0.62984	0.18208	3.51806
0.63153	0.18088	3.53623
0.63322	0.17972	3.55430
0.63491	0.17860	3.57229
0.63660	0.17753	3.59019
0.63829	0.17649	3.60800
0.63998	0.17549	3.62573
0.64167	0.17453	3.64337
0.64336	0.17360	3.66094
0.64505	0.17271	3.67842
0.64674	0.17185	3.69584
0.64843	0.17102	3.71317
0.65012	0.17022	3.73043
0.65181	0.16945	3.74763
0.65350	0.16871	3.76475
0.65519	0.16800	3.78180
0.65688	0.16731	3.79879
0.65857	0.16665	3.81572
0.66026	0.16602	3.83258
0.66195	0.16541	3.84937
0.66364	0.16483	3.86611
0.66533	0.16426	3.88279
0.66702	0.16372	3.89940
0.66871	0.16321	3.91597
0.67040	0.16271	3.93247
0.67209	0.16223	3.94892
0.67378	0.16178	3.96532
0.67546	0.16134	3.98166
0.67715	0.16093	3.99795
0.67884	0.16053	4.01420
0.68053	0.16015	4.03039
0.68222	0.15979	4.04653
0.68391	0.15944	4.06263
0.68560	0.15911	4.07868
0.68729	0.15880	4.09468
0.68898	0.15850	4.11064
0.69067	0.15822	4.12656
0.69236	0.15795	4.14243
0.69405	0.15770	4.15826
0.69574	0.15746	4.17405
0.69743	0.15724	4.18979
0.69912	0.15703	4.20550
0.70081	0.15683	4.22117
0.70250	0.15665	4.23680
0.70419	0.15647	4.25239
0.70588	0.15631	4.26794
0.70757	0.15617	4.28346
0.70926	0.15603	4.29894
0.71095	0.15591	4.31439
0.71264	0.15579	4.32980
0.71433	0.15569	4.34518
0.71602	0.15560	4.36052
0.71771	0.15552	4.37583
0.71940	0.15545	4.39111
0.72109	0.15539	4.40636
0.72278	0.15534	4.42157
0.72447	0.15530	4.43675
0.72616	0.15527	4.45191
0.72785	0.15525	4.46703
0.72954	0.15523	4.48213
0.73122	0.15523	4.49719
0.73291	0.15523	4.51223
0.73460	0.15525	4.52724
0.73629	0.15527	4.54222
0.73798	0.15530	4.55717
0.73967	0.15534	4.57210
0.74136	0.15538	4.58700
0.74305	0.15543	4.60188
0.74474	0.15550	4.61673
0.74643	0.15556	4.63155
0.74812	0.15564	4.64635
0.74981	0.15572	4.66113
0.75150	0.15581	4.67588
0.75319	0.15591	4.69061
0.75488	0.15601	4.70532
0.75657	0.15612	4.72000
0.75826	0.15624	4.73466
0.75995	0.15636	4.74930
0.76164	0.15649	4.76391
0.76333	0.15663	4.77850
0.76502	0.15677	4.79308
0.76671	0.15692	4.80763
0.76840	0.15707	4.82216
0.77009	0.15723	4.83667
0.77178	0.15739	4.85116
0.77347	0.15756	4.86563
0.77516	0.15774	4.88008
0.77685	0.15792	4.89451
0.77854	0.15811	4.90892
0.78023	0.15830	4.92332
0.78192	0.15850	4.93769
0.78361	0.15870	4.95205
0.78530	0.15891	4.96639
0.78699	0.15912	4.98071
0.78867	0.15934	4.99501
0.79036	0.15956	5.00930
0.79205	0.15979	5.02357
0.79374	0.16002	5.03782
0.79543	0.16026	5.05205
0.79712	0.16050	5.06627
0.79881	0.16074	5.08047
0.80050	0.16099	5.09466
0.80219	0.16124	5.10883
0.80388	0.16150	5.12298
0.80557	0.16177	5.13712
0.80726	0.16203	5.15125
0.80895	0.16230	5.16536
0.81064	0.16258	5.17945
0.81233	0.16286	5.19353
0.81402	0.16314	5.20759
0.81571	0.16343	5.22164
0.81740	0.16372	5.23568
0.81909	0.16401	5.24970
0.82078	0.16431	5.26371
0.82247	0.16461	5.27770
0.82416	0.16492	5.29168
0.82585	0.16522	5.30565
0.82754	0.16554	5.31960
0.82923	0.16585	5.33355
0.83092	0.16617	5.34747
0.83261	0.16650	5.36139
0.83430	0.16682	5.37529
0.83599	0.16715	5.38918
0.83768	0.16749	5.40306
0.83937	0.16782	5.41693
0.84106	0.16816	5.43078
0.84275	0.16850	5.44462
0.84443	0.16885	5.45845
0.84612	0.16920	5.47227
0.84781	0.16955	5.48608
0.84950	0.16991	5.49987
0.85119	0.17027	5.51365
0.85288	0.17063	5.52743
0.85457	0.17099	5.54119
0.85626	0.17136	5.55494
0.85795	0.17173	5.56868
0.85964	0.17211	5.58241
0.86133	0.17248	5.59613
0.86302	0.17286	5.60984
0.86471	0.17324	5.62353
0.86640	0.17363	5.63722
0.86809	0.17402	5.65090
0.86978	0.17441	5.66457
0.87147	0.17480	5.67822
0.87316	0.17519	5.69187
0.87485	0.17559	5.70551
0.87654	0.17599	5.71914
0.87823	0.17640	5.73275
0.87992	0.17680	5.74636
0.88161	0.17721	5.75996
0.88330	0.17762	5.77355
0.88499	0.17804	5.78714
0.88668	0.17845	5.80071
0.88837	0.17887	5.81427
0.89006	0.17929	5.82783
0.89175	0.17972	5.84137
0.89344	0.18014	5.85491
0.89513	0.18057	5.86844
0.89682	0.18100	5.88196
0.89851	0.18144	5.89547
0.90020	0.18187	5.90897
0.90188	0.18231	5.92246
0.90357	0.18275	5.93595
0.90526	0.18319	5.94943
0.90695	0.18364	5.96290
0.90864	0.18409	5.97636
0.91033	0.18454	5.98981
0.91202	0.18499	6.00326
0.91371	0.18544	6.01670
0.91540	0.18590	6.03013
0.91709	0.18636	6.04355
0.91878	0.18682	6.05697
0.92047	0.18728	6.07038
0.92216	0.18774	6.08378
0.92385	0.18821	6.09717
0.92554	0.18868	6.11055
0.92723	0.18915	6.12393
0.92892	0.18963	6.13730
0.93061	0.19010	6.15067
0.93230	0.19058	6.16403
0.93399	0.19106	6.17738
0.93568	0.19154	6.19072
0.93737	0.19202	6.20406
0.93906	0.19251	6.21739
0.94075	0.19299	6.23071
0.94244	0.19348	6.24403
0.94413	0.19398	6.25733
0.94582	0.19447	6.27064
0.94751	0.19496	6.28393
0.94920	0.19546	6.29722
0.95089	0.19596	6.31051
0.95258	0.19646	6.32379
0.95427	0.19696	6.33706
0.95596	0.19747	6.35032
0.95764	0.19798	6.36358
0.95933	0.19848	6.37683
0.96102	0.19899	6.39008
0.96271	0.19951	6.40332
0.96440	0.20002	6.41655
0.96609	0.20054	6.42978
0.96778	0.20105	6.44300
0.96947	0.20157	6.45622
0.97116	0.20210	6.46943
0.97285	0.20262	6.48264
0.97454	0.20314	6.49584
0.97623	0.20367	6.50903
0.97792	0.20420	6.52222
0.97961	0.20473	6.53540
0.98130	0.20526	6.54858
0.98299	0.20580	6.56175
0.98468	0.20633	6.57491
0.98637	0.20687	6.58807
0.98806	0.20741	6.60123
0.98975	0.20795	6.61438
0.99144	0.20849	6.62753
0.99313	0.20903	6.64066
0.99482	0.20958	6.65380
0.99651	0.21013	6.66693
0.99820	0.21068	6.68005
0.99989	0.21123	6.69317
1.00158	0.21178	6.70629
1.00327	0.21233	6.71939
1.00496	0.21289	6.73250
1.00665	0.21345	6.74560
1.00834	0.21400	6.75869
1.01003	0.21457	6.77178
1.01172	0.21513	6.78487
1.01341	0.21569	6.79794
1.01509	0.21626	6.81102
1.01678	0.21682	6.82409
1.01847	0.21739	6.83716
1.02016	0.21796	6.85022
1.02185	0.21853	6.86327
1.02354	0.21911	6.87633
1.02523	0.21968	6.88937
1.02692	0.22026	6.90242
1.02861	0.22084	6.91545
1.03030	0.22142	6.92849
1.03199	0.22200	6.94152
1.03368	0.22258	6.95454
1.03537	0.22316	6.96756
1.03706	0.22375	6.98058
1.03875	0.22434	6.99359
1.04044	0.22493	7.00660
1.04213	0.22552	7.01960
1.04382	0.22611	7.03260
1.04551	0.22670	7.04560
1.04720	0.22730	7.05859
