Refractive index of gold at +27K
lambda [um]	n	k
0.55043	0.33702	2.48370
0.55212	0.32878	2.51136
0.55381	0.32096	2.53862
0.55550	0.31354	2.56550
0.55719	0.30648	2.59202
0.55888	0.29978	2.61817
0.56057	0.29339	2.64398
0.56225	0.28732	2.66946
0.56394	0.28153	2.69462
0.56563	0.27600	2.71946
0.56732	0.27074	2.74401
0.56901	0.26571	2.76826
0.57070	0.26090	2.79224
0.57239	0.25631	2.81594
0.57408	0.25192	2.83939
0.57577	0.24771	2.86258
0.57746	0.24369	2.88553
0.57915	0.23984	2.90824
0.58084	0.23615	2.93072
0.58253	0.23261	2.95298
0.58422	0.22922	2.97503
0.58591	0.22596	2.99687
0.58760	0.22284	3.01852
0.58929	0.21984	3.03997
0.59098	0.21696	3.06123
0.59267	0.21419	3.08231
0.59436	0.21153	3.10321
0.59605	0.20897	3.12394
0.59774	0.20651	3.14451
0.59943	0.20415	3.16491
0.60112	0.20187	3.18516
0.60281	0.19969	3.20526
0.60450	0.19758	3.22521
0.60619	0.19555	3.24502
0.60788	0.19359	3.26469
0.60957	0.19171	3.28423
0.61126	0.18990	3.30364
0.61295	0.18815	3.32292
0.61464	0.18647	3.34207
0.61633	0.18485	3.36111
0.61801	0.18329	3.38002
0.61970	0.18178	3.39883
0.62139	0.18033	3.41752
0.62308	0.17893	3.43611
0.62477	0.17757	3.45459
0.62646	0.17627	3.47297
0.62815	0.17502	3.49125
0.62984	0.17381	3.50943
0.63153	0.17264	3.52752
0.63322	0.17151	3.54552
0.63491	0.17043	3.56342
0.63660	0.16938	3.58124
0.63829	0.16837	3.59897
0.63998	0.16740	3.61662
0.64167	0.16646	3.63419
0.64336	0.16556	3.65168
0.64505	0.16469	3.66909
0.64674	0.16385	3.68642
0.64843	0.16304	3.70369
0.65012	0.16226	3.72087
0.65181	0.16151	3.73799
0.65350	0.16078	3.75504
0.65519	0.16009	3.77202
0.65688	0.15942	3.78894
0.65857	0.15877	3.80579
0.66026	0.15815	3.82257
0.66195	0.15756	3.83930
0.66364	0.15698	3.85596
0.66533	0.15643	3.87257
0.66702	0.15590	3.88912
0.66871	0.15540	3.90561
0.67040	0.15491	3.92204
0.67209	0.15444	3.93842
0.67378	0.15399	3.95475
0.67546	0.15356	3.97103
0.67715	0.15315	3.98725
0.67884	0.15276	4.00342
0.68053	0.15238	4.01955
0.68222	0.15203	4.03563
0.68391	0.15168	4.05166
0.68560	0.15136	4.06764
0.68729	0.15105	4.08358
0.68898	0.15075	4.09947
0.69067	0.15047	4.11532
0.69236	0.15020	4.13113
0.69405	0.14995	4.14689
0.69574	0.14971	4.16261
0.69743	0.14949	4.17830
0.69912	0.14928	4.19394
0.70081	0.14908	4.20954
0.70250	0.14889	4.22511
0.70419	0.14872	4.24064
0.70588	0.14856	4.25613
0.70757	0.14840	4.27158
0.70926	0.14827	4.28700
0.71095	0.14814	4.30239
0.71264	0.14802	4.31774
0.71433	0.14791	4.33305
0.71602	0.14782	4.34834
0.71771	0.14773	4.36358
0.71940	0.14765	4.37880
0.72109	0.14759	4.39399
0.72278	0.14753	4.40914
0.72447	0.14748	4.42427
0.72616	0.14744	4.43936
0.72785	0.14741	4.45443
0.72954	0.14739	4.46946
0.73122	0.14738	4.48447
0.73291	0.14737	4.49945
0.73460	0.14738	4.51440
0.73629	0.14739	4.52932
0.73798	0.14741	4.54422
0.73967	0.14743	4.55909
0.74136	0.14747	4.57393
0.74305	0.14751	4.58875
0.74474	0.14756	4.60354
0.74643	0.14762	4.61831
0.74812	0.14768	4.63305
0.74981	0.14775	4.64777
0.75150	0.14783	4.66247
0.75319	0.14791	4.67714
0.75488	0.14800	4.69179
0.75657	0.14810	4.70642
0.75826	0.14820	4.72102
0.75995	0.14831	4.73560
0.76164	0.14843	4.75017
0.76333	0.14855	4.76470
0.76502	0.14868	4.77922
0.76671	0.14881	4.79372
0.76840	0.14895	4.80820
0.77009	0.14909	4.82265
0.77178	0.14924	4.83709
0.77347	0.14940	4.85150
0.77516	0.14956	4.86590
0.77685	0.14973	4.88028
0.77854	0.14990	4.89464
0.78023	0.15007	4.90898
0.78192	0.15025	4.92330
0.78361	0.15044	4.93760
0.78530	0.15063	4.95189
0.78699	0.15082	4.96616
0.78867	0.15102	4.98041
0.79036	0.15123	4.99464
0.79205	0.15144	5.00886
0.79374	0.15165	5.02306
0.79543	0.15187	5.03724
0.79712	0.15209	5.05141
0.79881	0.15232	5.06556
0.80050	0.15255	5.07969
0.80219	0.15279	5.09381
0.80388	0.15302	5.10791
0.80557	0.15327	5.12200
0.80726	0.15352	5.13608
0.80895	0.15377	5.15013
0.81064	0.15402	5.16418
0.81233	0.15428	5.17821
0.81402	0.15454	5.19222
0.81571	0.15481	5.20622
0.81740	0.15508	5.22021
0.81909	0.15535	5.23418
0.82078	0.15563	5.24813
0.82247	0.15591	5.26208
0.82416	0.15620	5.27601
0.82585	0.15648	5.28993
0.82754	0.15678	5.30383
0.82923	0.15707	5.31772
0.83092	0.15737	5.33160
0.83261	0.15767	5.34547
0.83430	0.15798	5.35932
0.83599	0.15828	5.37317
0.83768	0.15859	5.38699
0.83937	0.15891	5.40081
0.84106	0.15923	5.41462
0.84275	0.15955	5.42841
0.84443	0.15987	5.44219
0.84612	0.16020	5.45596
0.84781	0.16053	5.46972
0.84950	0.16086	5.48347
0.85119	0.16119	5.49720
0.85288	0.16153	5.51093
0.85457	0.16187	5.52464
0.85626	0.16222	5.53834
0.85795	0.16257	5.55204
0.85964	0.16292	5.56572
0.86133	0.16327	5.57939
