Refractive index of gold at +7K
lambda [um]	n	k
0.55043	0.33333	2.48460
0.55212	0.32503	2.51231
0.55381	0.31716	2.53962
0.55550	0.30969	2.56654
0.55719	0.30259	2.59309
0.55888	0.29585	2.61928
0.56057	0.28944	2.64512
0.56225	0.28334	2.67062
0.56394	0.27753	2.69579
0.56563	0.27199	2.72066
0.56732	0.26671	2.74522
0.56901	0.26167	2.76948
0.57070	0.25685	2.79347
0.57239	0.25225	2.81718
0.57408	0.24786	2.84063
0.57577	0.24366	2.86382
0.57746	0.23964	2.88677
0.57915	0.23579	2.90948
0.58084	0.23210	2.93196
0.58253	0.22856	2.95421
0.58422	0.22518	2.97626
0.58591	0.22193	2.99809
0.58760	0.21881	3.01972
0.58929	0.21582	3.04116
0.59098	0.21295	3.06241
0.59267	0.21019	3.08348
0.59436	0.20754	3.10437
0.59605	0.20500	3.12509
0.59774	0.20255	3.14564
0.59943	0.20020	3.16603
0.60112	0.19793	3.18626
0.60281	0.19576	3.20634
0.60450	0.19366	3.22628
0.60619	0.19164	3.24607
0.60788	0.18970	3.26572
0.60957	0.18783	3.28524
0.61126	0.18603	3.30463
0.61295	0.18430	3.32389
0.61464	0.18263	3.34302
0.61633	0.18102	3.36204
0.61801	0.17947	3.38094
0.61970	0.17797	3.39972
0.62139	0.17653	3.41840
0.62308	0.17514	3.43696
0.62477	0.17381	3.45542
0.62646	0.17252	3.47378
0.62815	0.17127	3.49204
0.62984	0.17007	3.51020
0.63153	0.16892	3.52827
0.63322	0.16780	3.54624
0.63491	0.16673	3.56413
0.63660	0.16569	3.58193
0.63829	0.16469	3.59964
0.63998	0.16373	3.61727
0.64167	0.16280	3.63482
0.64336	0.16191	3.65228
0.64505	0.16105	3.66967
0.64674	0.16022	3.68699
0.64843	0.15942	3.70423
0.65012	0.15865	3.72140
0.65181	0.15791	3.73849
0.65350	0.15719	3.75552
0.65519	0.15650	3.77248
0.65688	0.15584	3.78938
0.65857	0.15521	3.80621
0.66026	0.15459	3.82298
0.66195	0.15400	3.83968
0.66364	0.15344	3.85633
0.66533	0.15290	3.87291
0.66702	0.15237	3.88944
0.66871	0.15187	3.90591
0.67040	0.15139	3.92233
0.67209	0.15093	3.93869
0.67378	0.15049	3.95500
0.67546	0.15007	3.97126
0.67715	0.14966	3.98747
0.67884	0.14927	4.00362
0.68053	0.14890	4.01973
0.68222	0.14855	4.03579
0.68391	0.14821	4.05180
0.68560	0.14789	4.06777
0.68729	0.14759	4.08369
0.68898	0.14730	4.09956
0.69067	0.14702	4.11540
0.69236	0.14676	4.13119
0.69405	0.14651	4.14694
0.69574	0.14628	4.16264
0.69743	0.14606	4.17831
0.69912	0.14585	4.19394
0.70081	0.14565	4.20952
0.70250	0.14547	4.22507
0.70419	0.14530	4.24059
0.70588	0.14514	4.25606
0.70757	0.14499	4.27150
0.70926	0.14485	4.28691
0.71095	0.14473	4.30228
0.71264	0.14461	4.31761
0.71433	0.14451	4.33291
0.71602	0.14441	4.34818
0.71771	0.14433	4.36342
0.71940	0.14425	4.37862
0.72109	0.14419	4.39379
0.72278	0.14413	4.40893
0.72447	0.14408	4.42404
0.72616	0.14405	4.43912
0.72785	0.14402	4.45417
0.72954	0.14400	4.46920
0.73122	0.14398	4.48419
0.73291	0.14398	4.49915
0.73460	0.14399	4.51409
0.73629	0.14400	4.52900
0.73798	0.14402	4.54389
0.73967	0.14404	4.55875
0.74136	0.14408	4.57358
0.74305	0.14412	4.58838
0.74474	0.14417	4.60316
0.74643	0.14423	4.61792
0.74812	0.14429	4.63265
0.74981	0.14436	4.64736
0.75150	0.14444	4.66205
0.75319	0.14452	4.67671
0.75488	0.14461	4.69134
0.75657	0.14470	4.70596
0.75826	0.14481	4.72055
0.75995	0.14491	4.73512
0.76164	0.14503	4.74967
0.76333	0.14515	4.76420
0.76502	0.14527	4.77871
0.76671	0.14540	4.79320
0.76840	0.14554	4.80766
0.77009	0.14568	4.82211
0.77178	0.14583	4.83654
0.77347	0.14598	4.85094
0.77516	0.14614	4.86533
0.77685	0.14631	4.87970
0.77854	0.14647	4.89405
0.78023	0.14665	4.90838
0.78192	0.14683	4.92269
0.78361	0.14701	4.93698
0.78530	0.14720	4.95126
0.78699	0.14739	4.96552
0.78867	0.14758	4.97976
0.79036	0.14779	4.99399
0.79205	0.14799	5.00819
0.79374	0.14820	5.02239
0.79543	0.14842	5.03656
0.79712	0.14864	5.05072
0.79881	0.14886	5.06486
0.80050	0.14909	5.07899
0.80219	0.14932	5.09310
0.80388	0.14955	5.10719
0.80557	0.14979	5.12127
0.80726	0.15004	5.13534
0.80895	0.15028	5.14939
0.81064	0.15053	5.16342
0.81233	0.15079	5.17744
0.81402	0.15105	5.19145
0.81571	0.15131	5.20544
0.81740	0.15157	5.21942
0.81909	0.15184	5.23339
0.82078	0.15212	5.24734
0.82247	0.15239	5.26127
0.82416	0.15267	5.27520
0.82585	0.15295	5.28911
0.82754	0.15324	5.30301
0.82923	0.15353	5.31689
0.83092	0.15382	5.33076
0.83261	0.15412	5.34462
0.83430	0.15442	5.35847
0.83599	0.15472	5.37231
0.83768	0.15503	5.38613
0.83937	0.15534	5.39994
0.84106	0.15565	5.41374
0.84275	0.15596	5.42753
0.84443	0.15628	5.44130
0.84612	0.15660	5.45507
0.84781	0.15693	5.46882
0.84950	0.15725	5.48256
0.85119	0.15758	5.49629
0.85288	0.15791	5.51001
0.85457	0.15825	5.52372
0.85626	0.15859	5.53741
0.85795	0.15893	5.55110
0.85964	0.15927	5.56478
0.86133	0.15962	5.57844
0.86302	0.15997	5.59210
0.86471	0.16032	5.60574
0.86640	0.16067	5.61938
0.86809	0.16103	5.63300
0.86978	0.16139	5.64662
0.87147	0.16175	5.66022
0.87316	0.16211	5.67382
0.87485	0.16248	5.68741
0.87654	0.16285	5.70098
0.87823	0.16322	5.71455
0.87992	0.16359	5.72811
0.88161	0.16397	5.74166
0.88330	0.16435	5.75520
0.88499	0.16473	5.76873
0.88668	0.16512	5.78225
0.88837	0.16550	5.79576
0.89006	0.16589	5.80927
0.89175	0.16628	5.82276
0.89344	0.16667	5.83625
0.89513	0.16707	5.84973
0.89682	0.16746	5.86320
0.89851	0.16786	5.87666
0.90020	0.16827	5.89011
0.90188	0.16867	5.90356
0.90357	0.16908	5.91699
0.90526	0.16948	5.93042
0.90695	0.16989	5.94384
0.90864	0.17031	5.95726
0.91033	0.17072	5.97066
0.91202	0.17114	5.98406
0.91371	0.17156	5.99745
0.91540	0.17198	6.01083
0.91709	0.17240	6.02420
0.91878	0.17282	6.03757
0.92047	0.17325	6.05093
0.92216	0.17368	6.06428
0.92385	0.17411	6.07763
0.92554	0.17454	6.09097
0.92723	0.17498	6.10430
0.92892	0.17541	6.11762
0.93061	0.17585	6.13094
0.93230	0.17629	6.14425
0.93399	0.17673	6.15755
0.93568	0.17718	6.17085
0.93737	0.17762	6.18414
0.93906	0.17807	6.19742
0.94075	0.17852	6.21070
0.94244	0.17897	6.22397
0.94413	0.17943	6.23723
0.94582	0.17988	6.25048
0.94751	0.18034	6.26373
0.94920	0.18080	6.27698
0.95089	0.18126	6.29022
0.95258	0.18172	6.30345
0.95427	0.18219	6.31667
0.95596	0.18265	6.32989
0.95764	0.18312	6.34310
0.95933	0.18359	6.35631
0.96102	0.18406	6.36951
0.96271	0.18453	6.38271
0.96440	0.18501	6.39589
0.96609	0.18548	6.40908
0.96778	0.18596	6.42225
0.96947	0.18644	6.43543
0.97116	0.18692	6.44859
0.97285	0.18741	6.46175
0.97454	0.18789	6.47491
0.97623	0.18838	6.48805
0.97792	0.18887	6.50120
0.97961	0.18936	6.51434
0.98130	0.18985	6.52747
0.98299	0.19034	6.54059
0.98468	0.19083	6.55372
0.98637	0.19133	6.56683
0.98806	0.19183	6.57994
0.98975	0.19233	6.59305
0.99144	0.19283	6.60615
0.99313	0.19333	6.61924
0.99482	0.19383	6.63234
0.99651	0.19434	6.64542
0.99820	0.19485	6.65850
0.99989	0.19536	6.67158
1.00158	0.19587	6.68465
1.00327	0.19638	6.69771
1.00496	0.19689	6.71077
1.00665	0.19741	6.72383
1.00834	0.19792	6.73688
1.01003	0.19844	6.74992
1.01172	0.19896	6.76297
1.01341	0.19948	6.77600
1.01509	0.20000	6.78903
1.01678	0.20053	6.80206
1.01847	0.20105	6.81508
1.02016	0.20158	6.82810
1.02185	0.20211	6.84112
1.02354	0.20264	6.85412
1.02523	0.20317	6.86713
1.02692	0.20370	6.88013
1.02861	0.20423	6.89312
1.03030	0.20477	6.90612
1.03199	0.20531	6.91910
1.03368	0.20584	6.93209
1.03537	0.20638	6.94506
1.03706	0.20693	6.95804
1.03875	0.20747	6.97101
1.04044	0.20801	6.98397
1.04213	0.20856	6.99694
1.04382	0.20910	7.00989
1.04551	0.20965	7.02285
1.04720	0.21020	7.03580
