Refractive index of gold at +95K
lambda [um]	n	k
0.55043	0.35835	2.50166
0.55212	0.34935	2.52925
0.55381	0.34082	2.55646
0.55550	0.33273	2.58331
0.55719	0.32505	2.60981
0.55888	0.31775	2.63596
0.56057	0.31081	2.66177
0.56225	0.30421	2.68727
0.56394	0.29792	2.71245
0.56563	0.29193	2.73732
0.56732	0.28622	2.76191
0.56901	0.28078	2.78621
0.57070	0.27558	2.81023
0.57239	0.27061	2.83400
0.57408	0.26587	2.85750
0.57577	0.26133	2.88076
0.57746	0.25699	2.90377
0.57915	0.25284	2.92655
0.58084	0.24887	2.94911
0.58253	0.24506	2.97145
0.58422	0.24141	2.99358
0.58591	0.23792	3.01551
0.58760	0.23456	3.03723
0.58929	0.23134	3.05877
0.59098	0.22826	3.08012
0.59267	0.22529	3.10128
0.59436	0.22245	3.12228
0.59605	0.21971	3.14310
0.59774	0.21709	3.16376
0.59943	0.21456	3.18426
0.60112	0.21214	3.20461
0.60281	0.20980	3.22481
0.60450	0.20756	3.24486
0.60619	0.20540	3.26477
0.60788	0.20332	3.28454
0.60957	0.20132	3.30417
0.61126	0.19939	3.32368
0.61295	0.19754	3.34306
0.61464	0.19576	3.36232
0.61633	0.19404	3.38146
0.61801	0.19238	3.40048
0.61970	0.19079	3.41939
0.62139	0.18925	3.43819
0.62308	0.18777	3.45688
0.62477	0.18635	3.47547
0.62646	0.18497	3.49396
0.62815	0.18365	3.51235
0.62984	0.18238	3.53064
0.63153	0.18115	3.54883
0.63322	0.17996	3.56694
0.63491	0.17882	3.58495
0.63660	0.17773	3.60288
0.63829	0.17667	3.62072
0.63998	0.17565	3.63848
0.64167	0.17467	3.65616
0.64336	0.17372	3.67376
0.64505	0.17281	3.69128
0.64674	0.17193	3.70873
0.64843	0.17109	3.72610
0.65012	0.17028	3.74340
0.65181	0.16949	3.76063
0.65350	0.16874	3.77779
0.65519	0.16802	3.79489
0.65688	0.16732	3.81192
0.65857	0.16665	3.82888
0.66026	0.16601	3.84578
0.66195	0.16540	3.86262
0.66364	0.16480	3.87940
0.66533	0.16423	3.89612
0.66702	0.16369	3.91278
0.66871	0.16317	3.92939
0.67040	0.16266	3.94594
0.67209	0.16219	3.96244
0.67378	0.16173	3.97888
0.67546	0.16129	3.99527
0.67715	0.16087	4.01161
0.67884	0.16047	4.02790
0.68053	0.16008	4.04415
0.68222	0.15972	4.06034
0.68391	0.15937	4.07649
0.68560	0.15904	4.09259
0.68729	0.15873	4.10864
0.68898	0.15843	4.12465
0.69067	0.15815	4.14062
0.69236	0.15788	4.15655
0.69405	0.15763	4.17243
0.69574	0.15740	4.18827
0.69743	0.15717	4.20407
0.69912	0.15696	4.21984
0.70081	0.15677	4.23556
0.70250	0.15659	4.25124
0.70419	0.15642	4.26689
0.70588	0.15626	4.28250
0.70757	0.15612	4.29807
0.70926	0.15598	4.31361
0.71095	0.15586	4.32912
0.71264	0.15575	4.34459
0.71433	0.15565	4.36002
0.71602	0.15557	4.37542
0.71771	0.15549	4.39079
0.71940	0.15542	4.40613
0.72109	0.15537	4.42144
0.72278	0.15532	4.43671
0.72447	0.15528	4.45196
0.72616	0.15526	4.46717
0.72785	0.15524	4.48236
0.72954	0.15523	4.49751
0.73122	0.15523	4.51264
0.73291	0.15524	4.52774
0.73460	0.15526	4.54281
0.73629	0.15528	4.55786
0.73798	0.15532	4.57288
0.73967	0.15536	4.58787
0.74136	0.15541	4.60283
0.74305	0.15547	4.61777
0.74474	0.15554	4.63269
0.74643	0.15561	4.64758
0.74812	0.15569	4.66244
0.74981	0.15578	4.67728
0.75150	0.15588	4.69210
0.75319	0.15598	4.70690
0.75488	0.15609	4.72167
0.75657	0.15620	4.73642
0.75826	0.15632	4.75114
0.75995	0.15645	4.76585
0.76164	0.15659	4.78053
0.76333	0.15673	4.79519
0.76502	0.15688	4.80983
0.76671	0.15703	4.82445
0.76840	0.15719	4.83905
