Refractive index of gold at +84K
lambda [um]	n	k
0.55043	0.35293	2.49153
0.55212	0.34429	2.51924
0.55381	0.33610	2.54656
0.55550	0.32833	2.57351
0.55719	0.32094	2.60009
0.55888	0.31392	2.62633
0.56057	0.30724	2.65222
0.56225	0.30088	2.67778
0.56394	0.29482	2.70302
0.56563	0.28904	2.72796
0.56732	0.28353	2.75260
0.56901	0.27827	2.77695
0.57070	0.27324	2.80102
0.57239	0.26844	2.82482
0.57408	0.26385	2.84836
0.57577	0.25946	2.87165
0.57746	0.25526	2.89470
0.57915	0.25123	2.91751
0.58084	0.24738	2.94010
0.58253	0.24368	2.96246
0.58422	0.24014	2.98461
0.58591	0.23674	3.00656
0.58760	0.23348	3.02830
0.58929	0.23035	3.04985
0.59098	0.22735	3.07121
0.59267	0.22446	3.09239
0.59436	0.22169	3.11340
0.59605	0.21903	3.13423
0.59774	0.21647	3.15490
0.59943	0.21400	3.17541
0.60112	0.21163	3.19576
0.60281	0.20935	3.21595
0.60450	0.20716	3.23601
0.60619	0.20505	3.25592
0.60788	0.20302	3.27569
0.60957	0.20106	3.29532
0.61126	0.19918	3.31483
0.61295	0.19736	3.33420
0.61464	0.19561	3.35346
0.61633	0.19393	3.37259
0.61801	0.19231	3.39160
0.61970	0.19074	3.41050
0.62139	0.18924	3.42929
0.62308	0.18778	3.44797
0.62477	0.18639	3.46655
0.62646	0.18504	3.48502
0.62815	0.18374	3.50340
0.62984	0.18248	3.52167
0.63153	0.18127	3.53986
0.63322	0.18011	3.55794
0.63491	0.17899	3.57594
0.63660	0.17790	3.59385
0.63829	0.17686	3.61168
0.63998	0.17586	3.62942
0.64167	0.17489	3.64708
0.64336	0.17396	3.66466
0.64505	0.17306	3.68216
0.64674	0.17219	3.69958
0.64843	0.17136	3.71693
0.65012	0.17056	3.73421
0.65181	0.16978	3.75141
0.65350	0.16904	3.76855
0.65519	0.16833	3.78562
0.65688	0.16764	3.80262
0.65857	0.16698	3.81956
0.66026	0.16634	3.83643
0.66195	0.16573	3.85325
0.66364	0.16514	3.87000
0.66533	0.16458	3.88669
0.66702	0.16404	3.90332
0.66871	0.16352	3.91990
0.67040	0.16302	3.93642
0.67209	0.16254	3.95288
0.67378	0.16209	3.96929
0.67546	0.16165	3.98565
0.67715	0.16124	4.00196
0.67884	0.16084	4.01822
0.68053	0.16046	4.03443
0.68222	0.16009	4.05059
0.68391	0.15975	4.06670
0.68560	0.15942	4.08277
0.68729	0.15911	4.09879
0.68898	0.15881	4.11476
0.69067	0.15853	4.13069
0.69236	0.15826	4.14658
0.69405	0.15801	4.16243
0.69574	0.15777	4.17823
0.69743	0.15755	4.19399
0.69912	0.15734	4.20972
0.70081	0.15715	4.22540
0.70250	0.15696	4.24105
0.70419	0.15679	4.25666
0.70588	0.15663	4.27223
0.70757	0.15649	4.28776
0.70926	0.15635	4.30326
0.71095	0.15623	4.31872
0.71264	0.15612	4.33415
0.71433	0.15602	4.34954
0.71602	0.15593	4.36491
0.71771	0.15585	4.38023
0.71940	0.15578	4.39553
0.72109	0.15573	4.41079
0.72278	0.15568	4.42602
0.72447	0.15564	4.44123
0.72616	0.15561	4.45640
0.72785	0.15559	4.47154
0.72954	0.15558	4.48665
0.73122	0.15558	4.50173
0.73291	0.15558	4.51679
0.73460	0.15560	4.53182
0.73629	0.15562	4.54682
0.73798	0.15565	4.56179
0.73967	0.15569	4.57673
0.74136	0.15574	4.59165
0.74305	0.15580	4.60655
0.74474	0.15586	4.62142
0.74643	0.15593	4.63626
0.74812	0.15601	4.65108
0.74981	0.15609	4.66587
0.75150	0.15619	4.68064
0.75319	0.15629	4.69539
0.75488	0.15639	4.71011
0.75657	0.15650	4.72482
0.75826	0.15662	4.73949
0.75995	0.15675	4.75415
0.76164	0.15688	4.76878
0.76333	0.15702	4.78340
0.76502	0.15716	4.79799
0.76671	0.15731	4.81256
0.76840	0.15747	4.82711
0.77009	0.15763	4.84164
0.77178	0.15780	4.85615
0.77347	0.15797	4.87064
0.77516	0.15815	4.88511
0.77685	0.15834	4.89956
0.77854	0.15853	4.91399
0.78023	0.15872	4.92840
0.78192	0.15892	4.94279
0.78361	0.15913	4.95717
0.78530	0.15934	4.97153
0.78699	0.15955	4.98587
0.78867	0.15977	5.00019
0.79036	0.16000	5.01450
0.79205	0.16023	5.02878
0.79374	0.16046	5.04306
0.79543	0.16070	5.05731
0.79712	0.16094	5.07155
0.79881	0.16119	5.08577
0.80050	0.16144	5.09998
0.80219	0.16170	5.11416
0.80388	0.16196	5.12834
0.80557	0.16223	5.14250
0.80726	0.16250	5.15664
0.80895	0.16277	5.17077
0.81064	0.16305	5.18488
0.81233	0.16333	5.19898
0.81402	0.16362	5.21307
0.81571	0.16391	5.22714
0.81740	0.16420	5.24119
0.81909	0.16450	5.25523
0.82078	0.16480	5.26926
0.82247	0.16510	5.28328
0.82416	0.16541	5.29728
0.82585	0.16572	5.31126
0.82754	0.16604	5.32524
0.82923	0.16636	5.33920
0.83092	0.16668	5.35315
0.83261	0.16701	5.36708
0.83430	0.16734	5.38101
0.83599	0.16767	5.39492
0.83768	0.16800	5.40881
0.83937	0.16834	5.42270
0.84106	0.16869	5.43657
0.84275	0.16903	5.45043
0.84443	0.16938	5.46428
0.84612	0.16973	5.47812
0.84781	0.17009	5.49195
0.84950	0.17045	5.50577
0.85119	0.17081	5.51957
0.85288	0.17118	5.53336
0.85457	0.17154	5.54714
0.85626	0.17191	5.56092
0.85795	0.17229	5.57468
0.85964	0.17266	5.58843
0.86133	0.17304	5.60216
0.86302	0.17343	5.61589
0.86471	0.17381	5.62961
0.86640	0.17420	5.64332
0.86809	0.17459	5.65702
0.86978	0.17498	5.67070
0.87147	0.17538	5.68438
0.87316	0.17578	5.69805
0.87485	0.17618	5.71171
0.87654	0.17658	5.72536
0.87823	0.17699	5.73900
0.87992	0.17740	5.75263
0.88161	0.17781	5.76625
0.88330	0.17823	5.77986
0.88499	0.17864	5.79346
0.88668	0.17906	5.80705
0.88837	0.17949	5.82064
0.89006	0.17991	5.83421
0.89175	0.18034	5.84778
0.89344	0.18077	5.86133
0.89513	0.18120	5.87488
0.89682	0.18163	5.88842
0.89851	0.18207	5.90195
0.90020	0.18251	5.91548
0.90188	0.18295	5.92899
0.90357	0.18339	5.94250
0.90526	0.18384	5.95600
0.90695	0.18429	5.96949
0.90864	0.18474	5.98297
0.91033	0.18519	5.99645
0.91202	0.18564	6.00991
0.91371	0.18610	6.02337
0.91540	0.18656	6.03682
0.91709	0.18702	6.05027
0.91878	0.18749	6.06370
0.92047	0.18795	6.07713
0.92216	0.18842	6.09055
0.92385	0.18889	6.10397
0.92554	0.18936	6.11737
0.92723	0.18984	6.13077
0.92892	0.19031	6.14416
0.93061	0.19079	6.15755
0.93230	0.19127	6.17093
0.93399	0.19175	6.18430
0.93568	0.19224	6.19766
0.93737	0.19273	6.21102
0.93906	0.19321	6.22437
0.94075	0.19370	6.23771
0.94244	0.19420	6.25105
0.94413	0.19469	6.26438
0.94582	0.19519	6.27770
0.94751	0.19569	6.29102
0.94920	0.19619	6.30433
0.95089	0.19669	6.31764
0.95258	0.19719	6.33093
0.95427	0.19770	6.34423
0.95596	0.19821	6.35751
0.95764	0.19872	6.37079
0.95933	0.19923	6.38406
0.96102	0.19974	6.39733
0.96271	0.20026	6.41059
0.96440	0.20078	6.42385
0.96609	0.20129	6.43710
0.96778	0.20182	6.45034
0.96947	0.20234	6.46358
0.97116	0.20286	6.47681
0.97285	0.20339	6.49003
0.97454	0.20392	6.50325
0.97623	0.20445	6.51647
0.97792	0.20498	6.52968
0.97961	0.20551	6.54288
0.98130	0.20605	6.55608
0.98299	0.20659	6.56927
0.98468	0.20712	6.58246
0.98637	0.20766	6.59564
0.98806	0.20821	6.60881
0.98975	0.20875	6.62199
0.99144	0.20930	6.63515
0.99313	0.20984	6.64831
0.99482	0.21039	6.66147
0.99651	0.21094	6.67462
0.99820	0.21149	6.68776
0.99989	0.21205	6.70090
1.00158	0.21260	6.71404
1.00327	0.21316	6.72716
1.00496	0.21372	6.74029
1.00665	0.21428	6.75341
1.00834	0.21484	6.76652
1.01003	0.21541	6.77963
1.01172	0.21597	6.79274
1.01341	0.21654	6.80584
1.01509	0.21711	6.81894
1.01678	0.21768	6.83203
1.01847	0.21825	6.84511
1.02016	0.21882	6.85819
1.02185	0.21940	6.87127
1.02354	0.21998	6.88434
