Refractive index of gold at +67K
lambda [um]	n	k
0.55043	0.34677	2.48580
0.55212	0.33842	2.51349
0.55381	0.33050	2.54080
0.55550	0.32297	2.56773
0.55719	0.31582	2.59429
0.55888	0.30901	2.62049
0.56057	0.30254	2.64636
0.56225	0.29637	2.67189
0.56394	0.29048	2.69710
0.56563	0.28487	2.72201
0.56732	0.27952	2.74661
0.56901	0.27441	2.77093
0.57070	0.26952	2.79497
0.57239	0.26485	2.81874
0.57408	0.26038	2.84225
0.57577	0.25611	2.86550
0.57746	0.25201	2.88852
0.57915	0.24809	2.91129
0.58084	0.24434	2.93384
0.58253	0.24073	2.95617
0.58422	0.23728	2.97829
0.58591	0.23396	3.00020
0.58760	0.23078	3.02191
0.58929	0.22772	3.04343
0.59098	0.22478	3.06476
0.59267	0.22196	3.08590
0.59436	0.21925	3.10687
0.59605	0.21665	3.12767
0.59774	0.21414	3.14831
0.59943	0.21173	3.16878
0.60112	0.20941	3.18910
0.60281	0.20717	3.20926
0.60450	0.20502	3.22928
0.60619	0.20295	3.24916
0.60788	0.20096	3.26889
0.60957	0.19904	3.28849
0.61126	0.19719	3.30796
0.61295	0.19541	3.32731
0.61464	0.19369	3.34653
0.61633	0.19203	3.36563
0.61801	0.19044	3.38461
0.61970	0.18890	3.40347
0.62139	0.18742	3.42223
0.62308	0.18599	3.44088
0.62477	0.18461	3.45942
0.62646	0.18328	3.47786
0.62815	0.18200	3.49620
0.62984	0.18076	3.51444
0.63153	0.17957	3.53259
0.63322	0.17842	3.55065
0.63491	0.17732	3.56861
0.63660	0.17625	3.58649
0.63829	0.17522	3.60428
0.63998	0.17422	3.62198
0.64167	0.17327	3.63961
0.64336	0.17235	3.65715
0.64505	0.17146	3.67462
0.64674	0.17060	3.69201
0.64843	0.16978	3.70932
0.65012	0.16898	3.72657
0.65181	0.16822	3.74374
0.65350	0.16748	3.76084
0.65519	0.16677	3.77787
0.65688	0.16609	3.79484
0.65857	0.16543	3.81174
0.66026	0.16480	3.82858
0.66195	0.16419	3.84536
0.66364	0.16361	3.86208
0.66533	0.16305	3.87873
0.66702	0.16251	3.89533
0.66871	0.16199	3.91187
0.67040	0.16150	3.92836
0.67209	0.16102	3.94479
0.67378	0.16057	3.96116
0.67546	0.16013	3.97748
0.67715	0.15972	3.99376
0.67884	0.15932	4.00998
0.68053	0.15894	4.02615
0.68222	0.15857	4.04227
0.68391	0.15823	4.05835
0.68560	0.15790	4.07438
0.68729	0.15758	4.09036
0.68898	0.15729	4.10630
0.69067	0.15700	4.12220
0.69236	0.15673	4.13805
