Refractive index of gold at +4K
lambda [um]	n	k
0.55043	0.33302	2.48559
0.55212	0.32472	2.51329
0.55381	0.31685	2.54059
0.55550	0.30939	2.56751
0.55719	0.30230	2.59404
0.55888	0.29556	2.62022
0.56057	0.28916	2.64605
0.56225	0.28306	2.67154
0.56394	0.27725	2.69671
0.56563	0.27172	2.72156
0.56732	0.26644	2.74611
0.56901	0.26140	2.77037
0.57070	0.25659	2.79435
0.57239	0.25200	2.81805
0.57408	0.24761	2.84149
0.57577	0.24341	2.86467
0.57746	0.23939	2.88761
0.57915	0.23554	2.91031
0.58084	0.23186	2.93278
0.58253	0.22833	2.95503
0.58422	0.22494	2.97706
0.58591	0.22170	2.99889
0.58760	0.21859	3.02052
0.58929	0.21560	3.04195
0.59098	0.21273	3.06319
0.59267	0.20997	3.08425
0.59436	0.20733	3.10513
0.59605	0.20478	3.12584
0.59774	0.20234	3.14638
0.59943	0.19999	3.16677
0.60112	0.19773	3.18699
0.60281	0.19555	3.20707
0.60450	0.19346	3.22700
0.60619	0.19144	3.24678
0.60788	0.18950	3.26643
0.60957	0.18763	3.28594
0.61126	0.18584	3.30532
0.61295	0.18410	3.32457
0.61464	0.18243	3.34370
0.61633	0.18083	3.36271
0.61801	0.17928	3.38160
0.61970	0.17778	3.40038
0.62139	0.17635	3.41905
0.62308	0.17496	3.43761
0.62477	0.17362	3.45606
0.62646	0.17233	3.47442
0.62815	0.17109	3.49267
0.62984	0.16989	3.51082
0.63153	0.16874	3.52889
0.63322	0.16762	3.54686
0.63491	0.16655	3.56474
0.63660	0.16552	3.58253
0.63829	0.16452	3.60023
0.63998	0.16356	3.61786
0.64167	0.16263	3.63540
0.64336	0.16174	3.65286
0.64505	0.16088	3.67025
0.64674	0.16005	3.68756
0.64843	0.15925	3.70479
0.65012	0.15848	3.72195
0.65181	0.15774	3.73905
0.65350	0.15703	3.75607
0.65519	0.15634	3.77303
0.65688	0.15568	3.78992
0.65857	0.15504	3.80674
0.66026	0.15443	3.82351
0.66195	0.15384	3.84021
0.66364	0.15328	3.85685
0.66533	0.15274	3.87343
0.66702	0.15221	3.88995
0.66871	0.15171	3.90642
0.67040	0.15123	3.92283
0.67209	0.15077	3.93919
0.67378	0.15033	3.95550
0.67546	0.14991	3.97175
0.67715	0.14951	3.98795
0.67884	0.14912	4.00410
