Refractive index of gold at +50K
lambda [um]	n	k
0.55043	0.34311	2.48163
0.55212	0.33481	2.50938
0.55381	0.32693	2.53674
0.55550	0.31944	2.56371
0.55719	0.31233	2.59031
0.55888	0.30557	2.61655
0.56057	0.29913	2.64245
0.56225	0.29300	2.66801
0.56394	0.28715	2.69325
0.56563	0.28158	2.71818
0.56732	0.27626	2.74281
0.56901	0.27118	2.76715
0.57070	0.26633	2.79120
0.57239	0.26169	2.81498
0.57408	0.25725	2.83851
0.57577	0.25301	2.86177
0.57746	0.24894	2.88480
0.57915	0.24505	2.90758
0.58084	0.24132	2.93014
0.58253	0.23774	2.95247
0.58422	0.23431	2.97459
0.58591	0.23101	2.99650
0.58760	0.22785	3.01821
0.58929	0.22482	3.03973
0.59098	0.22191	3.06106
0.59267	0.21911	3.08220
0.59436	0.21641	3.10317
0.59605	0.21383	3.12396
0.59774	0.21134	3.14459
0.59943	0.20894	3.16506
0.60112	0.20664	3.18537
0.60281	0.20442	3.20553
0.60450	0.20229	3.22554
0.60619	0.20023	3.24540
0.60788	0.19825	3.26513
0.60957	0.19635	3.28472
0.61126	0.19451	3.30418
0.61295	0.19274	3.32352
0.61464	0.19104	3.34272
0.61633	0.18939	3.36181
0.61801	0.18781	3.38078
0.61970	0.18628	3.39964
0.62139	0.18481	3.41838
0.62308	0.18339	3.43701
0.62477	0.18202	3.45554
0.62646	0.18070	3.47397
0.62815	0.17943	3.49230
0.62984	0.17820	3.51052
0.63153	0.17702	3.52866
0.63322	0.17588	3.54670
0.63491	0.17478	3.56465
0.63660	0.17372	3.58251
0.63829	0.17270	3.60028
0.63998	0.17171	3.61797
0.64167	0.17076	3.63558
0.64336	0.16984	3.65311
0.64505	0.16896	3.67056
0.64674	0.16811	3.68793
0.64843	0.16729	3.70523
0.65012	0.16650	3.72246
0.65181	0.16574	3.73961
0.65350	0.16500	3.75670
0.65519	0.16430	3.77371
0.65688	0.16362	3.79066
0.65857	0.16297	3.80755
0.66026	0.16234	3.82437
0.66195	0.16173	3.84113
0.66364	0.16115	3.85783
0.66533	0.16060	3.87447
0.66702	0.16006	3.89105
0.66871	0.15955	3.90757
0.67040	0.15905	3.92404
0.67209	0.15858	3.94045
0.67378	0.15813	3.95681
0.67546	0.15769	3.97311
0.67715	0.15728	3.98936
0.67884	0.15688	4.00557
0.68053	0.15650	4.02172
0.68222	0.15614	4.03783
0.68391	0.15579	4.05388
0.68560	0.15546	4.06989
0.68729	0.15515	4.08586
0.68898	0.15485	4.10178
0.69067	0.15457	4.11765
0.69236	0.15430	4.13349
0.69405	0.15404	4.14928
0.69574	0.15380	4.16503
0.69743	0.15358	4.18073
0.69912	0.15336	4.19640
0.70081	0.15316	4.21203
0.70250	0.15298	4.22762
0.70419	0.15280	4.24317
0.70588	0.15264	4.25869
0.70757	0.15249	4.27416
0.70926	0.15235	4.28961
0.71095	0.15222	4.30501
0.71264	0.15210	4.32038
0.71433	0.15200	4.33572
0.71602	0.15190	4.35102
0.71771	0.15181	4.36629
0.71940	0.15174	4.38153
0.72109	0.15167	4.39674
