Refractive index of gold at +33K
lambda [um]	n	k
0.55043	0.33859	2.48304
0.55212	0.33036	2.51071
0.55381	0.32254	2.53800
0.55550	0.31512	2.56490
0.55719	0.30807	2.59143
0.55888	0.30136	2.61761
0.56057	0.29498	2.64344
0.56225	0.28890	2.66893
0.56394	0.28311	2.69411
0.56563	0.27758	2.71897
0.56732	0.27231	2.74354
0.56901	0.26728	2.76781
0.57070	0.26247	2.79181
0.57239	0.25787	2.81553
0.57408	0.25347	2.83899
0.57577	0.24927	2.86220
0.57746	0.24524	2.88517
0.57915	0.24138	2.90789
0.58084	0.23768	2.93039
0.58253	0.23414	2.95267
0.58422	0.23074	2.97474
0.58591	0.22748	2.99660
0.58760	0.22435	3.01826
0.58929	0.22135	3.03972
0.59098	0.21846	3.06100
0.59267	0.21569	3.08209
0.59436	0.21302	3.10301
0.59605	0.21046	3.12376
0.59774	0.20799	3.14434
0.59943	0.20562	3.16476
0.60112	0.20334	3.18503
0.60281	0.20115	3.20514
0.60450	0.19904	3.22511
0.60619	0.19700	3.24493
0.60788	0.19504	3.26462
0.60957	0.19315	3.28417
0.61126	0.19134	3.30359
0.61295	0.18958	3.32288
0.61464	0.18790	3.34205
0.61633	0.18627	3.36110
0.61801	0.18470	3.38003
0.61970	0.18319	3.39884
0.62139	0.18173	3.41755
0.62308	0.18033	3.43615
0.62477	0.17897	3.45464
0.62646	0.17767	3.47303
0.62815	0.17641	3.49132
0.62984	0.17519	3.50952
0.63153	0.17402	3.52762
0.63322	0.17289	3.54562
0.63491	0.17180	3.56354
0.63660	0.17075	3.58137
0.63829	0.16974	3.59911
0.63998	0.16876	3.61677
0.64167	0.16782	3.63435
0.64336	0.16691	3.65185
0.64505	0.16604	3.66927
0.64674	0.16520	3.68661
0.64843	0.16438	3.70388
0.65012	0.16360	3.72108
0.65181	0.16285	3.73821
0.65350	0.16212	3.75526
0.65519	0.16142	3.77225
0.65688	0.16075	3.78918
0.65857	0.16010	3.80603
0.66026	0.15948	3.82283
0.66195	0.15888	3.83956
0.66364	0.15831	3.85624
0.66533	0.15775	3.87285
0.66702	0.15722	3.88940
0.66871	0.15671	3.90590
0.67040	0.15622	3.92234
0.67209	0.15576	3.93873
0.67378	0.15531	3.95507
0.67546	0.15487	3.97135
0.67715	0.15446	3.98758
0.67884	0.15407	4.00376
0.68053	0.15369	4.01989
0.68222	0.15333	4.03598
0.68391	0.15299	4.05201
0.68560	0.15266	4.06800
0.68729	0.15235	4.08394
0.68898	0.15205	4.09984
0.69067	0.15177	4.11570
0.69236	0.15150	4.13151
0.69405	0.15125	4.14728
0.69574	0.15101	4.16301
0.69743	0.15079	4.17870
0.69912	0.15057	4.19435
0.70081	0.15037	4.20996
0.70250	0.15019	4.22553
0.70419	0.15001	4.24106
0.70588	0.14985	4.25656
0.70757	0.14970	4.27201
0.70926	0.14956	4.28744
0.71095	0.14943	4.30283
0.71264	0.14931	4.31818
0.71433	0.14921	4.33350
0.71602	0.14911	4.34879
0.71771	0.14902	4.36404
0.71940	0.14895	4.37926
0.72109	0.14888	4.39445
0.72278	0.14882	4.40961
0.72447	0.14877	4.42474
0.72616	0.14874	4.43984
0.72785	0.14871	4.45490
0.72954	0.14868	4.46994
0.73122	0.14867	4.48495
0.73291	0.14867	4.49994
0.73460	0.14867	4.51489
0.73629	0.14868	4.52982
0.73798	0.14870	4.54472
