Refractive index of gold at +17K
lambda [um]	n	k
0.55043	0.33333	2.48441
0.55212	0.32511	2.51206
0.55381	0.31732	2.53932
0.55550	0.30993	2.56619
0.55719	0.30290	2.59269
0.55888	0.29623	2.61884
0.56057	0.28987	2.64463
0.56225	0.28383	2.67010
0.56394	0.27806	2.69524
0.56563	0.27257	2.72007
0.56732	0.26733	2.74460
0.56901	0.26233	2.76884
0.57070	0.25755	2.79279
0.57239	0.25299	2.81648
0.57408	0.24862	2.83991
0.57577	0.24445	2.86308
0.57746	0.24045	2.88601
0.57915	0.23662	2.90870
0.58084	0.23296	2.93116
0.58253	0.22944	2.95341
0.58422	0.22608	2.97543
0.58591	0.22285	2.99726
0.58760	0.21974	3.01888
0.58929	0.21677	3.04031
0.59098	0.21391	3.06155
0.59267	0.21117	3.08261
0.59436	0.20853	3.10349
0.59605	0.20599	3.12420
0.59774	0.20355	3.14475
0.59943	0.20121	3.16514
0.60112	0.19895	3.18537
0.60281	0.19678	3.20545
0.60450	0.19470	3.22538
0.60619	0.19269	3.24517
0.60788	0.19075	3.26482
0.60957	0.18889	3.28434
0.61126	0.18709	3.30373
0.61295	0.18536	3.32299
0.61464	0.18369	3.34212
0.61633	0.18209	3.36114
0.61801	0.18054	3.38004
0.61970	0.17905	3.39883
0.62139	0.17761	3.41751
0.62308	0.17623	3.43608
0.62477	0.17489	3.45454
0.62646	0.17360	3.47290
0.62815	0.17236	3.49117
0.62984	0.17116	3.50933
0.63153	0.17001	3.52740
0.63322	0.16889	3.54538
0.63491	0.16782	3.56327
0.63660	0.16678	3.58108
0.63829	0.16579	3.59880
0.63998	0.16482	3.61643
0.64167	0.16390	3.63398
0.64336	0.16300	3.65146
0.64505	0.16214	3.66885
0.64674	0.16131	3.68617
0.64843	0.16051	3.70342
0.65012	0.15974	3.72060
0.65181	0.15900	3.73770
0.65350	0.15829	3.75474
0.65519	0.15760	3.77170
0.65688	0.15694	3.78861
0.65857	0.15630	3.80544
0.66026	0.15569	3.82222
0.66195	0.15510	3.83893
0.66364	0.15453	3.85558
0.66533	0.15399	3.87218
0.66702	0.15347	3.88871
0.66871	0.15297	3.90519
0.67040	0.15249	3.92162
0.67209	0.15202	3.93799
0.67378	0.15158	3.95431
0.67546	0.15116	3.97057
0.67715	0.15075	3.98678
0.67884	0.15037	4.00295
0.68053	0.15000	4.01906
0.68222	0.14964	4.03513
0.68391	0.14931	4.05115
0.68560	0.14898	4.06712
0.68729	0.14868	4.08305
0.68898	0.14839	4.09894
0.69067	0.14811	4.11478
0.69236	0.14785	4.13058
0.69405	0.14760	4.14633
0.69574	0.14737	4.16205
0.69743	0.14714	4.17772
0.69912	0.14694	4.19336
0.70081	0.14674	4.20895
0.70250	0.14656	4.22451
0.70419	0.14638	4.24003
0.70588	0.14623	4.25551
0.70757	0.14608	4.27096
0.70926	0.14594	4.28637
0.71095	0.14581	4.30175
0.71264	0.14570	4.31709
0.71433	0.14559	4.33240
0.71602	0.14550	4.34768
0.71771	0.14541	4.36292
0.71940	0.14534	4.37813
0.72109	0.14527	4.39331
0.72278	0.14522	4.40846
0.72447	0.14517	4.42358
0.72616	0.14513	4.43867
0.72785	0.14510	4.45372
0.72954	0.14508	4.46875
0.73122	0.14507	4.48375
0.73291	0.14507	4.49873
0.73460	0.14507	4.51367
0.73629	0.14508	4.52859
0.73798	0.14510	4.54348
0.73967	0.14513	4.55835
0.74136	0.14517	4.57319
0.74305	0.14521	4.58800
0.74474	0.14526	4.60279
0.74643	0.14531	4.61755
0.74812	0.14538	4.63229
0.74981	0.14545	4.64701
0.75150	0.14553	4.66170
0.75319	0.14561	4.67637
0.75488	0.14570	4.69101
0.75657	0.14580	4.70563
0.75826	0.14590	4.72023
0.75995	0.14601	4.73481
0.76164	0.14612	4.74937
0.76333	0.14624	4.76390
0.76502	0.14637	4.77842
0.76671	0.14650	4.79291
0.76840	0.14664	4.80738
0.77009	0.14678	4.82184
0.77178	0.14693	4.83627
0.77347	0.14708	4.85068
0.77516	0.14724	4.86508
0.77685	0.14740	4.87945
0.77854	0.14757	4.89381
0.78023	0.14775	4.90815
0.78192	0.14793	4.92246
0.78361	0.14811	4.93677
0.78530	0.14830	4.95105
0.78699	0.14849	4.96531
0.78867	0.14869	4.97956
0.79036	0.14889	4.99379
0.79205	0.14910	5.00801
0.79374	0.14931	5.02220
0.79543	0.14953	5.03638
0.79712	0.14975	5.05055
0.79881	0.14997	5.06470
0.80050	0.15020	5.07883
0.80219	0.15043	5.09295
0.80388	0.15067	5.10705
0.80557	0.15091	5.12113
0.80726	0.15115	5.13521
0.80895	0.15140	5.14926
0.81064	0.15165	5.16330
0.81233	0.15191	5.17733
0.81402	0.15217	5.19134
0.81571	0.15243	5.20534
0.81740	0.15270	5.21933
0.81909	0.15297	5.23330
0.82078	0.15324	5.24725
0.82247	0.15352	5.26120
0.82416	0.15380	5.27513
0.82585	0.15409	5.28904
0.82754	0.15437	5.30295
0.82923	0.15467	5.31684
0.83092	0.15496	5.33071
0.83261	0.15526	5.34458
0.83430	0.15556	5.35843
0.83599	0.15586	5.37227
0.83768	0.15617	5.38610
0.83937	0.15648	5.39992
0.84106	0.15679	5.41372
0.84275	0.15711	5.42751
0.84443	0.15743	5.44129
0.84612	0.15775	5.45506
0.84781	0.15808	5.46882
0.84950	0.15841	5.48257
0.85119	0.15874	5.49630
0.85288	0.15907	5.51003
0.85457	0.15941	5.52374
0.85626	0.15975	5.53744
0.85795	0.16009	5.55114
0.85964	0.16044	5.56482
0.86133	0.16078	5.57849
0.86302	0.16113	5.59215
0.86471	0.16149	5.60580
0.86640	0.16184	5.61944
0.86809	0.16220	5.63307
0.86978	0.16256	5.64669
0.87147	0.16293	5.66030
0.87316	0.16329	5.67390
0.87485	0.16366	5.68749
0.87654	0.16403	5.70107
0.87823	0.16441	5.71464
0.87992	0.16478	5.72821
0.88161	0.16516	5.74176
0.88330	0.16554	5.75531
0.88499	0.16593	5.76884
