Refractive index of gold at +96K
lambda [um]	n	k
0.55043	0.35891	2.50260
0.55212	0.34988	2.53018
0.55381	0.34132	2.55738
0.55550	0.33319	2.58421
0.55719	0.32548	2.61069
0.55888	0.31816	2.63683
0.56057	0.31119	2.66263
0.56225	0.30457	2.68811
0.56394	0.29826	2.71328
0.56563	0.29225	2.73815
0.56732	0.28652	2.76273
0.56901	0.28105	2.78702
0.57070	0.27583	2.81104
0.57239	0.27085	2.83479
0.57408	0.26609	2.85829
0.57577	0.26154	2.88154
0.57746	0.25719	2.90455
0.57915	0.25302	2.92733
0.58084	0.24904	2.94988
0.58253	0.24522	2.97222
0.58422	0.24156	2.99434
0.58591	0.23805	3.01626
0.58760	0.23469	3.03798
0.58929	0.23146	3.05952
0.59098	0.22837	3.08086
0.59267	0.22539	3.10203
0.59436	0.22254	3.12302
0.59605	0.21980	3.14384
0.59774	0.21716	3.16450
0.59943	0.21463	3.18500
0.60112	0.21220	3.20535
0.60281	0.20986	3.22554
0.60450	0.20761	3.24559
0.60619	0.20544	3.26550
0.60788	0.20336	3.28527
0.60957	0.20136	3.30490
0.61126	0.19943	3.32441
0.61295	0.19757	3.34379
0.61464	0.19578	3.36305
0.61633	0.19406	3.38219
0.61801	0.19240	3.40121
0.61970	0.19080	3.42012
0.62139	0.18926	3.43892
0.62308	0.18778	3.45762
0.62477	0.18635	3.47620
0.62646	0.18497	3.49469
0.62815	0.18365	3.51308
0.62984	0.18237	3.53137
0.63153	0.18114	3.54957
0.63322	0.17995	3.56767
0.63491	0.17881	3.58569
0.63660	0.17771	3.60362
0.63829	0.17665	3.62146
0.63998	0.17563	3.63923
0.64167	0.17464	3.65691
0.64336	0.17369	3.67451
0.64505	0.17278	3.69203
0.64674	0.17190	3.70948
0.64843	0.17106	3.72685
0.65012	0.17024	3.74416
0.65181	0.16946	3.76139
0.65350	0.16871	3.77855
0.65519	0.16798	3.79565
0.65688	0.16729	3.81268
0.65857	0.16662	3.82965
0.66026	0.16597	3.84655
0.66195	0.16535	3.86339
0.66364	0.16476	3.88018
0.66533	0.16419	3.89690
0.66702	0.16365	3.91356
0.66871	0.16312	3.93017
0.67040	0.16262	3.94673
0.67209	0.16214	3.96323
0.67378	0.16168	3.97967
0.67546	0.16124	3.99607
0.67715	0.16082	4.01241
0.67884	0.16042	4.02871
0.68053	0.16003	4.04495
0.68222	0.15967	4.06115
0.68391	0.15932	4.07730
0.68560	0.15899	4.09340
0.68729	0.15868	4.10946
0.68898	0.15838	4.12548
0.69067	0.15810	4.14145
0.69236	0.15783	4.15738
0.69405	0.15758	4.17326
0.69574	0.15734	4.18911
0.69743	0.15712	4.20491
0.69912	0.15691	4.22068
0.70081	0.15671	4.23641
0.70250	0.15653	4.25209
0.70419	0.15636	4.26775
0.70588	0.15620	4.28336
0.70757	0.15606	4.29894
0.70926	0.15593	4.31448
0.71095	0.15580	4.32999
0.71264	0.15569	4.34546
0.71433	0.15560	4.36090
0.71602	0.15551	4.37631
0.71771	0.15543	4.39168
0.71940	0.15536	4.40702
0.72109	0.15531	4.42233
0.72278	0.15526	4.43761
0.72447	0.15522	4.45286
0.72616	0.15520	4.46808
0.72785	0.15518	4.48327
0.72954	0.15517	4.49843
0.73122	0.15517	4.51356
0.73291	0.15518	4.52867
0.73460	0.15520	4.54374
0.73629	0.15522	4.55879
0.73798	0.15526	4.57382
0.73967	0.15530	4.58881
0.74136	0.15535	4.60378
0.74305	0.15541	4.61873
0.74474	0.15548	4.63364
0.74643	0.15555	4.64854
0.74812	0.15563	4.66341
0.74981	0.15572	4.67826
0.75150	0.15581	4.69308
0.75319	0.15592	4.70788
0.75488	0.15602	4.72265
0.75657	0.15614	4.73741
0.75826	0.15626	4.75214
0.75995	0.15639	4.76685
0.76164	0.15653	4.78153
0.76333	0.15667	4.79620
0.76502	0.15682	4.81084
0.76671	0.15697	4.82547
