Refractive index of gold at +85K
lambda [um]	n	k
0.55043	0.35339	2.49228
0.55212	0.34473	2.51999
0.55381	0.33651	2.54731
0.55550	0.32871	2.57425
0.55719	0.32130	2.60083
0.55888	0.31425	2.62706
0.56057	0.30755	2.65295
0.56225	0.30117	2.67851
0.56394	0.29509	2.70375
0.56563	0.28930	2.72869
0.56732	0.28377	2.75332
0.56901	0.27849	2.77767
0.57070	0.27346	2.80174
0.57239	0.26864	2.82554
0.57408	0.26404	2.84908
0.57577	0.25964	2.87238
0.57746	0.25542	2.89542
0.57915	0.25139	2.91823
0.58084	0.24752	2.94082
0.58253	0.24382	2.96318
0.58422	0.24027	2.98533
0.58591	0.23686	3.00728
0.58760	0.23360	3.02902
0.58929	0.23046	3.05057
0.59098	0.22745	3.07194
0.59267	0.22456	3.09312
0.59436	0.22178	3.11412
0.59605	0.21911	3.13496
0.59774	0.21654	3.15563
0.59943	0.21408	3.17613
0.60112	0.21170	3.19648
0.60281	0.20942	3.21668
0.60450	0.20722	3.23674
0.60619	0.20511	3.25665
0.60788	0.20307	3.27642
0.60957	0.20111	3.29605
0.61126	0.19922	3.31556
0.61295	0.19741	3.33494
0.61464	0.19566	3.35419
0.61633	0.19397	3.37333
0.61801	0.19234	3.39234
0.61970	0.19078	3.41125
0.62139	0.18927	3.43004
0.62308	0.18781	3.44872
0.62477	0.18641	3.46730
0.62646	0.18506	3.48577
0.62815	0.18376	3.50415
0.62984	0.18250	3.52243
0.63153	0.18130	3.54061
0.63322	0.18013	3.55870
0.63491	0.17901	3.57670
0.63660	0.17792	3.59461
0.63829	0.17688	3.61244
0.63998	0.17587	3.63018
0.64167	0.17490	3.64784
0.64336	0.17397	3.66542
0.64505	0.17307	3.68293
0.64674	0.17220	3.70035
0.64843	0.17137	3.71770
0.65012	0.17057	3.73498
0.65181	0.16979	3.75219
0.65350	0.16905	3.76933
0.65519	0.16833	3.78640
0.65688	0.16765	3.80341
0.65857	0.16698	3.82035
0.66026	0.16635	3.83722
0.66195	0.16574	3.85404
0.66364	0.16515	3.87079
0.66533	0.16458	3.88749
0.66702	0.16404	3.90412
0.66871	0.16353	3.92070
0.67040	0.16303	3.93722
0.67209	0.16255	3.95369
0.67378	0.16210	3.97011
0.67546	0.16166	3.98647
0.67715	0.16124	4.00278
0.67884	0.16084	4.01904
0.68053	0.16046	4.03525
0.68222	0.16010	4.05141
0.68391	0.15975	4.06753
0.68560	0.15943	4.08360
0.68729	0.15911	4.09962
0.68898	0.15882	4.11560
0.69067	0.15854	4.13153
