Refractive index of gold at +100K
lambda [um]	n	k
0.55043	0.36140	2.50585
0.55212	0.35223	2.53334
0.55381	0.34353	2.56047
0.55550	0.33529	2.58724
0.55719	0.32746	2.61366
0.55888	0.32003	2.63974
0.56057	0.31296	2.66549
0.56225	0.30624	2.69092
0.56394	0.29984	2.71605
0.56563	0.29374	2.74087
0.56732	0.28793	2.76541
0.56901	0.28238	2.78967
0.57070	0.27709	2.81365
0.57239	0.27204	2.83738
0.57408	0.26722	2.86085
0.57577	0.26261	2.88407
0.57746	0.25820	2.90706
0.57915	0.25398	2.92982
0.58084	0.24994	2.95235
0.58253	0.24607	2.97467
0.58422	0.24236	2.99677
0.58591	0.23881	3.01868
0.58760	0.23540	3.04039
0.58929	0.23214	3.06191
0.59098	0.22900	3.08324
0.59267	0.22599	3.10440
0.59436	0.22311	3.12538
0.59605	0.22033	3.14619
0.59774	0.21767	3.16685
0.59943	0.21510	3.18734
0.60112	0.21264	3.20768
0.60281	0.21028	3.22787
0.60450	0.20800	3.24791
0.60619	0.20581	3.26782
0.60788	0.20370	3.28759
0.60957	0.20167	3.30722
0.61126	0.19972	3.32673
0.61295	0.19784	3.34611
0.61464	0.19604	3.36537
0.61633	0.19429	3.38451
0.61801	0.19262	3.40353
0.61970	0.19100	3.42244
0.62139	0.18945	3.44124
0.62308	0.18795	3.45994
0.62477	0.18651	3.47853
0.62646	0.18511	3.49702
0.62815	0.18377	3.51542
0.62984	0.18248	3.53371
0.63153	0.18124	3.55192
0.63322	0.18004	3.57003
0.63491	0.17889	3.58805
0.63660	0.17778	3.60599
0.63829	0.17670	3.62384
0.63998	0.17567	3.64161
0.64167	0.17468	3.65929
0.64336	0.17372	3.67690
0.64505	0.17280	3.69443
0.64674	0.17191	3.71189
0.64843	0.17106	3.72928
0.65012	0.17024	3.74659
0.65181	0.16944	3.76383
0.65350	0.16868	3.78100
0.65519	0.16795	3.79811
0.65688	0.16725	3.81515
0.65857	0.16657	3.83213
0.66026	0.16592	3.84904
0.66195	0.16530	3.86590
0.66364	0.16470	3.88269
0.66533	0.16412	3.89943
0.66702	0.16357	3.91610
0.66871	0.16304	3.93272
0.67040	0.16253	3.94929
0.67209	0.16205	3.96580
0.67378	0.16158	3.98226
0.67546	0.16114	3.99867
0.67715	0.16071	4.01503
0.67884	0.16031	4.03133
0.68053	0.15992	4.04759
0.68222	0.15955	4.06380
0.68391	0.15920	4.07997
0.68560	0.15886	4.09609
0.68729	0.15855	4.11216
0.68898	0.15824	4.12819
0.69067	0.15796	4.14417
0.69236	0.15769	4.16012
0.69405	0.15743	4.17602
0.69574	0.15719	4.19188
0.69743	0.15697	4.20770
0.69912	0.15675	4.22348
0.70081	0.15655	4.23922
0.70250	0.15637	4.25493
0.70419	0.15620	4.27060
0.70588	0.15604	4.28623
0.70757	0.15589	4.30182
0.70926	0.15575	4.31738
0.71095	0.15563	4.33290
0.71264	0.15552	4.34839
0.71433	0.15542	4.36385
0.71602	0.15533	4.37927
0.71771	0.15525	4.39466
0.71940	0.15518	4.41002
0.72109	0.15512	4.42535
0.72278	0.15507	4.44065
0.72447	0.15503	4.45591
0.72616	0.15500	4.47115
0.72785	0.15498	4.48636
0.72954	0.15497	4.50153
0.73122	0.15497	4.51668
0.73291	0.15498	4.53181
0.73460	0.15499	4.54690
0.73629	0.15502	4.56197
0.73798	0.15505	4.57701
0.73967	0.15509	4.59202
0.74136	0.15514	4.60701
0.74305	0.15520	4.62197
0.74474	0.15526	4.63691
0.74643	0.15533	4.65182
0.74812	0.15541	4.66671
0.74981	0.15550	4.68157
0.75150	0.15559	4.69642
0.75319	0.15569	4.71123
0.75488	0.15580	4.72603
0.75657	0.15592	4.74080
0.75826	0.15604	4.75555
0.75995	0.15616	4.77028
0.76164	0.15630	4.78498
0.76333	0.15644	4.79967
0.76502	0.15658	4.81433
0.76671	0.15674	4.82898
0.76840	0.15690	4.84360
0.77009	0.15706	4.85820
0.77178	0.15723	4.87278
0.77347	0.15740	4.88735
0.77516	0.15759	4.90189
0.77685	0.15777	4.91642
0.77854	0.15796	4.93092
0.78023	0.15816	4.94541
0.78192	0.15836	4.95988
0.78361	0.15857	4.97433
0.78530	0.15878	4.98876
0.78699	0.15900	5.00318
0.78867	0.15922	5.01757
0.79036	0.15945	5.03196
0.79205	0.15968	5.04632
0.79374	0.15992	5.06067
0.79543	0.16016	5.07500
0.79712	0.16041	5.08931
0.79881	0.16066	5.10361
0.80050	0.16091	5.11789
0.80219	0.16117	5.13216
0.80388	0.16143	5.14641
0.80557	0.16170	5.16065
0.80726	0.16197	5.17487
0.80895	0.16225	5.18907
0.81064	0.16253	5.20327
0.81233	0.16281	5.21744
0.81402	0.16310	5.23160
0.81571	0.16339	5.24575
0.81740	0.16369	5.25989
0.81909	0.16399	5.27401
0.82078	0.16429	5.28811
0.82247	0.16460	5.30221
0.82416	0.16491	5.31629
0.82585	0.16523	5.33035
0.82754	0.16554	5.34441
0.82923	0.16587	5.35845
0.83092	0.16619	5.37247
0.83261	0.16652	5.38649
0.83430	0.16685	5.40049
0.83599	0.16719	5.41448
0.83768	0.16753	5.42846
0.83937	0.16787	5.44242
0.84106	0.16821	5.45638
0.84275	0.16856	5.47032
0.84443	0.16891	5.48425
0.84612	0.16927	5.49817
0.84781	0.16963	5.51207
0.84950	0.16999	5.52597
0.85119	0.17035	5.53986
0.85288	0.17072	5.55373
0.85457	0.17109	5.56759
0.85626	0.17146	5.58144
0.85795	0.17184	5.59528
0.85964	0.17222	5.60911
0.86133	0.17260	5.62293
0.86302	0.17298	5.63674
0.86471	0.17337	5.65054
0.86640	0.17376	5.66433
0.86809	0.17415	5.67811
0.86978	0.17455	5.69188
0.87147	0.17495	5.70564
0.87316	0.17535	5.71939
0.87485	0.17575	5.73313
0.87654	0.17616	5.74686
0.87823	0.17657	5.76058
0.87992	0.17698	5.77429
0.88161	0.17739	5.78799
0.88330	0.17781	5.80168
0.88499	0.17823	5.81537
0.88668	0.17865	5.82904
0.88837	0.17907	5.84271
0.89006	0.17950	5.85637
0.89175	0.17993	5.87001
