Refractive index of gold at +36K
lambda [um]	n	k
0.55043	0.33877	2.48284
0.55212	0.33056	2.51052
0.55381	0.32276	2.53781
0.55550	0.31536	2.56472
0.55719	0.30833	2.59125
0.55888	0.30163	2.61743
0.56057	0.29527	2.64327
0.56225	0.28920	2.66877
0.56394	0.28342	2.69395
0.56563	0.27791	2.71882
0.56732	0.27265	2.74339
0.56901	0.26762	2.76767
0.57070	0.26282	2.79167
0.57239	0.25823	2.81540
0.57408	0.25385	2.83886
0.57577	0.24965	2.86208
0.57746	0.24562	2.88505
0.57915	0.24177	2.90778
0.58084	0.23808	2.93029
0.58253	0.23454	2.95257
0.58422	0.23115	2.97464
0.58591	0.22789	2.99651
0.58760	0.22477	3.01817
0.58929	0.22177	3.03964
0.59098	0.21889	3.06092
0.59267	0.21612	3.08202
0.59436	0.21345	3.10295
0.59605	0.21089	3.12370
0.59774	0.20843	3.14429
0.59943	0.20606	3.16471
0.60112	0.20379	3.18498
0.60281	0.20159	3.20510
0.60450	0.19948	3.22507
0.60619	0.19745	3.24490
0.60788	0.19549	3.26459
0.60957	0.19361	3.28415
0.61126	0.19179	3.30357
0.61295	0.19004	3.32287
0.61464	0.18836	3.34204
0.61633	0.18673	3.36109
0.61801	0.18516	3.38003
0.61970	0.18365	3.39885
0.62139	0.18220	3.41756
0.62308	0.18079	3.43617
0.62477	0.17944	3.45466
0.62646	0.17813	3.47306
0.62815	0.17687	3.49135
0.62984	0.17566	3.50955
0.63153	0.17449	3.52766
0.63322	0.17336	3.54567
0.63491	0.17227	3.56359
0.63660	0.17122	3.58142
0.63829	0.17021	3.59917
0.63998	0.16924	3.61683
0.64167	0.16829	3.63441
0.64336	0.16739	3.65192
0.64505	0.16651	3.66934
0.64674	0.16567	3.68669
0.64843	0.16486	3.70396
0.65012	0.16408	3.72116
0.65181	0.16332	3.73829
0.65350	0.16260	3.75535
0.65519	0.16190	3.77235
0.65688	0.16123	3.78927
0.65857	0.16058	3.80614
0.66026	0.15996	3.82294
0.66195	0.15936	3.83967
0.66364	0.15879	3.85635
0.66533	0.15823	3.87296
0.66702	0.15770	3.88952
0.66871	0.15719	3.90602
0.67040	0.15670	3.92247
0.67209	0.15624	3.93886
0.67378	0.15579	3.95520
0.67546	0.15536	3.97148
0.67715	0.15494	3.98772
0.67884	0.15455	4.00390
0.68053	0.15417	4.02004
0.68222	0.15381	4.03612
0.68391	0.15347	4.05216
0.68560	0.15314	4.06815
0.68729	0.15283	4.08410
0.68898	0.15254	4.10000
0.69067	0.15226	4.11586
0.69236	0.15199	4.13167
0.69405	0.15174	4.14745
0.69574	0.15150	4.16318
0.69743	0.15127	4.17887
0.69912	0.15106	4.19452
0.70081	0.15086	4.21013
0.70250	0.15068	4.22571
0.70419	0.15050	4.24124
0.70588	0.15034	4.25674
0.70757	0.15019	4.27220
0.70926	0.15005	4.28763
0.71095	0.14992	4.30302
0.71264	0.14981	4.31837
0.71433	0.14970	4.33370
0.71602	0.14960	4.34898
0.71771	0.14952	4.36424
0.71940	0.14944	4.37946
0.72109	0.14937	4.39466
0.72278	0.14932	4.40982
0.72447	0.14927	4.42495
0.72616	0.14923	4.44005
0.72785	0.14920	4.45512
0.72954	0.14918	4.47016
0.73122	0.14917	4.48517
0.73291	0.14917	4.50015
0.73460	0.14917	4.51511
0.73629	0.14919	4.53004
0.73798	0.14921	4.54494
0.73967	0.14924	4.55981
0.74136	0.14927	4.57466
0.74305	0.14932	4.58949
0.74474	0.14937	4.60428
0.74643	0.14943	4.61906
0.74812	0.14949	4.63380
0.74981	0.14956	4.64853
0.75150	0.14964	4.66323
0.75319	0.14973	4.67790
0.75488	0.14982	4.69256
0.75657	0.14992	4.70719
0.75826	0.15002	4.72180
0.75995	0.15014	4.73638
0.76164	0.15025	4.75095
0.76333	0.15038	4.76549
0.76502	0.15051	4.78001
0.76671	0.15064	4.79451
0.76840	0.15078	4.80899
0.77009	0.15093	4.82345
0.77178	0.15108	4.83789
0.77347	0.15124	4.85231
0.77516	0.15140	4.86671
0.77685	0.15157	4.88109
0.77854	0.15174	4.89545
0.78023	0.15192	4.90979
0.78192	0.15211	4.92412
0.78361	0.15229	4.93842
0.78530	0.15249	4.95271
0.78699	0.15269	4.96698
0.78867	0.15289	4.98124
0.79036	0.15310	4.99547
0.79205	0.15331	5.00969
0.79374	0.15352	5.02389
0.79543	0.15375	5.03808
0.79712	0.15397	5.05225
0.79881	0.15420	5.06640
0.80050	0.15444	5.08054
0.80219	0.15467	5.09466
0.80388	0.15492	5.10876
0.80557	0.15516	5.12285
0.80726	0.15541	5.13693
0.80895	0.15567	5.15099
0.81064	0.15593	5.16503
0.81233	0.15619	5.17906
0.81402	0.15645	5.19308
0.81571	0.15672	5.20708
0.81740	0.15700	5.22107
0.81909	0.15728	5.23504
0.82078	0.15756	5.24900
0.82247	0.15784	5.26295
0.82416	0.15813	5.27688
0.82585	0.15842	5.29080
0.82754	0.15872	5.30470
0.82923	0.15901	5.31860
0.83092	0.15932	5.33248
0.83261	0.15962	5.34634
0.83430	0.15993	5.36020
0.83599	0.16024	5.37404
0.83768	0.16056	5.38787
0.83937	0.16088	5.40169
0.84106	0.16120	5.41549
0.84275	0.16152	5.42929
0.84443	0.16185	5.44307
0.84612	0.16218	5.45684
0.84781	0.16251	5.47060
0.84950	0.16285	5.48435
0.85119	0.16319	5.49809
0.85288	0.16353	5.51181
0.85457	0.16388	5.52553
0.85626	0.16423	5.53923
0.85795	0.16458	5.55292
0.85964	0.16493	5.56660
0.86133	0.16529	5.58028
0.86302	0.16565	5.59394
0.86471	0.16601	5.60759
0.86640	0.16637	5.62123
0.86809	0.16674	5.63486
0.86978	0.16711	5.64848
0.87147	0.16749	5.66209
0.87316	0.16786	5.67569
0.87485	0.16824	5.68928
0.87654	0.16862	5.70287
0.87823	0.16900	5.71644
0.87992	0.16939	5.73000
0.88161	0.16978	5.74355
0.88330	0.17017	5.75710
0.88499	0.17056	5.77063
0.88668	0.17096	5.78416
0.88837	0.17135	5.79768
0.89006	0.17175	5.81119
0.89175	0.17216	5.82468
0.89344	0.17256	5.83818
0.89513	0.17297	5.85166
0.89682	0.17338	5.86513
0.89851	0.17379	5.87860
0.90020	0.17421	5.89205
0.90188	0.17462	5.90550
0.90357	0.17504	5.91894
0.90526	0.17546	5.93238
0.90695	0.17589	5.94580
0.90864	0.17631	5.95922
0.91033	0.17674	5.97263
0.91202	0.17717	5.98603
0.91371	0.17760	5.99942
0.91540	0.17803	6.01281
0.91709	0.17847	6.02618
0.91878	0.17891	6.03955
0.92047	0.17935	6.05292
0.92216	0.17979	6.06627
0.92385	0.18023	6.07962
0.92554	0.18068	6.09296
0.92723	0.18113	6.10629
0.92892	0.18158	6.11962
0.93061	0.18203	6.13294
0.93230	0.18249	6.14625
0.93399	0.18294	6.15956
0.93568	0.18340	6.17286
0.93737	0.18386	6.18615
0.93906	0.18432	6.19943
0.94075	0.18479	6.21271
0.94244	0.18525	6.22598
0.94413	0.18572	6.23925
0.94582	0.18619	6.25251
0.94751	0.18666	6.26576
0.94920	0.18714	6.27901
0.95089	0.18761	6.29225
0.95258	0.18809	6.30548
0.95427	0.18857	6.31870
0.95596	0.18905	6.33193
0.95764	0.18953	6.34514
0.95933	0.19002	6.35835
0.96102	0.19050	6.37155
0.96271	0.19099	6.38475
0.96440	0.19148	6.39794
0.96609	0.19197	6.41112
0.96778	0.19246	6.42430
0.96947	0.19296	6.43747
0.97116	0.19346	6.45064
0.97285	0.19395	6.46380
0.97454	0.19445	6.47696
0.97623	0.19496	6.49011
0.97792	0.19546	6.50325
0.97961	0.19597	6.51639
0.98130	0.19647	6.52952
0.98299	0.19698	6.54265
0.98468	0.19749	6.55577
0.98637	0.19800	6.56889
0.98806	0.19852	6.58200
0.98975	0.19903	6.59511
0.99144	0.19955	6.60821
0.99313	0.20007	6.62131
0.99482	0.20059	6.63440
0.99651	0.20111	6.64748
0.99820	0.20163	6.66057
0.99989	0.20216	6.67364
1.00158	0.20269	6.68671
1.00327	0.20321	6.69978
1.00496	0.20374	6.71284
1.00665	0.20428	6.72589
1.00834	0.20481	6.73895
1.01003	0.20534	6.75199
1.01172	0.20588	6.76503
1.01341	0.20642	6.77807
1.01509	0.20696	6.79110
1.01678	0.20750	6.80413
1.01847	0.20804	6.81715
1.02016	0.20858	6.83017
1.02185	0.20913	6.84319
1.02354	0.20968	6.85619
1.02523	0.21022	6.86920
1.02692	0.21077	6.88220
1.02861	0.21132	6.89520
1.03030	0.21188	6.90819
1.03199	0.21243	6.92117
1.03368	0.21299	6.93416
1.03537	0.21355	6.94713
1.03706	0.21410	6.96011
1.03875	0.21466	6.97308
1.04044	0.21523	6.98604
1.04213	0.21579	6.99901
1.04382	0.21635	7.01196
1.04551	0.21692	7.02492
1.04720	0.21749	7.03786
