Refractive index of gold at +64K
lambda [um]	n	k
0.55043	0.34634	2.48493
0.55212	0.33800	2.51263
0.55381	0.33009	2.53994
0.55550	0.32257	2.56687
0.55719	0.31542	2.59344
0.55888	0.30862	2.61965
0.56057	0.30215	2.64552
0.56225	0.29598	2.67106
0.56394	0.29011	2.69627
0.56563	0.28450	2.72118
0.56732	0.27915	2.74579
0.56901	0.27405	2.77011
0.57070	0.26916	2.79415
0.57239	0.26450	2.81792
0.57408	0.26003	2.84143
0.57577	0.25576	2.86469
0.57746	0.25167	2.88770
0.57915	0.24775	2.91048
0.58084	0.24400	2.93303
0.58253	0.24040	2.95536
0.58422	0.23694	2.97748
0.58591	0.23363	2.99939
0.58760	0.23045	3.02110
0.58929	0.22740	3.04261
0.59098	0.22446	3.06394
0.59267	0.22164	3.08509
0.59436	0.21893	3.10606
0.59605	0.21633	3.12686
0.59774	0.21382	3.14749
0.59943	0.21141	3.16796
0.60112	0.20909	3.18828
0.60281	0.20686	3.20844
0.60450	0.20471	3.22846
0.60619	0.20264	3.24833
0.60788	0.20065	3.26806
0.60957	0.19873	3.28766
0.61126	0.19688	3.30713
0.61295	0.19510	3.32647
0.61464	0.19338	3.34569
0.61633	0.19173	3.36479
0.61801	0.19014	3.38377
0.61970	0.18860	3.40263
0.62139	0.18712	3.42139
0.62308	0.18569	3.44003
0.62477	0.18431	3.45857
0.62646	0.18298	3.47701
0.62815	0.18170	3.49535
0.62984	0.18046	3.51359
0.63153	0.17927	3.53173
0.63322	0.17812	3.54978
0.63491	0.17702	3.56774
0.63660	0.17595	3.58562
0.63829	0.17492	3.60340
0.63998	0.17393	3.62111
0.64167	0.17297	3.63873
0.64336	0.17205	3.65627
0.64505	0.17116	3.67373
0.64674	0.17030	3.69112
0.64843	0.16948	3.70843
0.65012	0.16868	3.72567
0.65181	0.16792	3.74284
0.65350	0.16718	3.75994
0.65519	0.16647	3.77697
0.65688	0.16579	3.79393
0.65857	0.16513	3.81083
0.66026	0.16450	3.82767
0.66195	0.16389	3.84444
0.66364	0.16331	3.86115
0.66533	0.16275	3.87780
0.66702	0.16221	3.89440
0.66871	0.16169	3.91094
0.67040	0.16119	3.92742
0.67209	0.16072	3.94384
0.67378	0.16026	3.96022
0.67546	0.15983	3.97654
0.67715	0.15941	3.99280
0.67884	0.15901	4.00902
0.68053	0.15863	4.02519
0.68222	0.15827	4.04131
0.68391	0.15792	4.05738
0.68560	0.15759	4.07341
0.68729	0.15727	4.08939
0.68898	0.15698	4.10532
0.69067	0.15669	4.12121
0.69236	0.15642	4.13706
0.69405	0.15617	4.15287
0.69574	0.15593	4.16863
0.69743	0.15570	4.18435
0.69912	0.15549	4.20003
0.70081	0.15529	4.21568
0.70250	0.15510	4.23128
0.70419	0.15493	4.24685
0.70588	0.15477	4.26238
0.70757	0.15462	4.27787
0.70926	0.15448	4.29333
0.71095	0.15435	4.30875
0.71264	0.15423	4.32413
0.71433	0.15413	4.33949
0.71602	0.15403	4.35481
0.71771	0.15395	4.37009
0.71940	0.15388	4.38535
0.72109	0.15381	4.40057
0.72278	0.15376	4.41576
0.72447	0.15371	4.43092
0.72616	0.15368	4.44604
0.72785	0.15365	4.46114
0.72954	0.15363	4.47621
0.73122	0.15363	4.49125
0.73291	0.15363	4.50627
0.73460	0.15364	4.52125
0.73629	0.15365	4.53621
0.73798	0.15368	4.55114
0.73967	0.15371	4.56604
0.74136	0.15375	4.58092
0.74305	0.15380	4.59577
0.74474	0.15386	4.61059
0.74643	0.15392	4.62539
0.74812	0.15399	4.64017
0.74981	0.15407	4.65492
0.75150	0.15415	4.66965
0.75319	0.15424	4.68435
0.75488	0.15434	4.69903
0.75657	0.15445	4.71369
0.75826	0.15456	4.72832
0.75995	0.15468	4.74293
0.76164	0.15480	4.75753
0.76333	0.15493	4.77209
0.76502	0.15507	4.78664
0.76671	0.15521	4.80117
0.76840	0.15536	4.81567
0.77009	0.15551	4.83016
0.77178	0.15567	4.84462
0.77347	0.15584	4.85907
0.77516	0.15601	4.87350
0.77685	0.15618	4.88790
0.77854	0.15636	4.90229
0.78023	0.15655	4.91666
0.78192	0.15674	4.93101
0.78361	0.15694	4.94534
0.78530	0.15714	4.95965
0.78699	0.15735	4.97395
0.78867	0.15756	4.98823
0.79036	0.15777	5.00249
0.79205	0.15799	5.01673
