Refractive index of gold at +75K
lambda [um]	n	k
0.55043	0.34900	2.48753
0.55212	0.34057	2.51523
0.55381	0.33258	2.54255
0.55550	0.32498	2.56949
0.55719	0.31776	2.59606
0.55888	0.31090	2.62228
0.56057	0.30436	2.64816
0.56225	0.29814	2.67371
0.56394	0.29220	2.69894
0.56563	0.28655	2.72386
0.56732	0.28115	2.74848
0.56901	0.27599	2.77281
0.57070	0.27107	2.79686
0.57239	0.26636	2.82065
0.57408	0.26185	2.84417
0.57577	0.25755	2.86744
0.57746	0.25342	2.89047
0.57915	0.24947	2.91327
0.58084	0.24568	2.93583
0.58253	0.24205	2.95818
0.58422	0.23857	2.98031
0.58591	0.23523	3.00224
0.58760	0.23203	3.02396
0.58929	0.22895	3.04549
0.59098	0.22599	3.06684
0.59267	0.22315	3.08800
0.59436	0.22042	3.10898
0.59605	0.21780	3.12980
0.59774	0.21527	3.15045
0.59943	0.21285	3.17094
0.60112	0.21051	3.19127
0.60281	0.20827	3.21145
0.60450	0.20610	3.23148
0.60619	0.20402	3.25137
0.60788	0.20202	3.27112
0.60957	0.20008	3.29074
0.61126	0.19822	3.31022
0.61295	0.19643	3.32958
0.61464	0.19470	3.34882
0.61633	0.19304	3.36793
0.61801	0.19144	3.38692
0.61970	0.18989	3.40581
0.62139	0.18840	3.42458
0.62308	0.18696	3.44324
0.62477	0.18558	3.46180
0.62646	0.18425	3.48025
0.62815	0.18296	3.49860
0.62984	0.18172	3.51686
0.63153	0.18052	3.53502
0.63322	0.17937	3.55309
0.63491	0.17825	3.57107
0.63660	0.17718	3.58896
0.63829	0.17615	3.60677
0.63998	0.17515	3.62449
0.64167	0.17419	3.64212
0.64336	0.17327	3.65968
0.64505	0.17238	3.67716
0.64674	0.17152	3.69457
0.64843	0.17069	3.71190
0.65012	0.16989	3.72915
0.65181	0.16912	3.74634
0.65350	0.16839	3.76346
0.65519	0.16767	3.78050
0.65688	0.16699	3.79748
0.65857	0.16633	3.81440
0.66026	0.16570	3.83125
0.66195	0.16509	3.84804
0.66364	0.16451	3.86477
0.66533	0.16395	3.88144
0.66702	0.16341	3.89806
0.66871	0.16289	3.91461
0.67040	0.16240	3.93111
0.67209	0.16192	3.94755
0.67378	0.16147	3.96394
0.67546	0.16103	3.98028
0.67715	0.16061	3.99657
0.67884	0.16022	4.01280
0.68053	0.15984	4.02899
0.68222	0.15947	4.04512
0.68391	0.15913	4.06121
0.68560	0.15880	4.07726
0.68729	0.15849	4.09326
0.68898	0.15819	4.10921
0.69067	0.15791	4.12512
0.69236	0.15764	4.14098
0.69405	0.15739	4.15680
0.69574	0.15715	4.17259
0.69743	0.15692	4.18833
0.69912	0.15671	4.20403
0.70081	0.15652	4.21969
0.70250	0.15633	4.23531
0.70419	0.15616	4.25090
0.70588	0.15600	4.26644
0.70757	0.15585	4.28195
0.70926	0.15572	4.29743
0.71095	0.15559	4.31287
0.71264	0.15548	4.32827
0.71433	0.15538	4.34364
0.71602	0.15528	4.35898
0.71771	0.15520	4.37428
0.71940	0.15513	4.38955
0.72109	0.15507	4.40479
0.72278	0.15502	4.42000
0.72447	0.15498	4.43518
0.72616	0.15495	4.45032
0.72785	0.15492	4.46544
0.72954	0.15491	4.48053
0.73122	0.15490	4.49559
0.73291	0.15491	4.51062
0.73460	0.15492	4.52562
0.73629	0.15494	4.54060
0.73798	0.15497	4.55554
0.73967	0.15501	4.57046
0.74136	0.15505	4.58536
0.74305	0.15510	4.60023
0.74474	0.15516	4.61507
0.74643	0.15523	4.62989
0.74812	0.15530	4.64468
0.74981	0.15539	4.65945
0.75150	0.15547	4.67420
0.75319	0.15557	4.68892
0.75488	0.15567	4.70362
0.75657	0.15578	4.71829
0.75826	0.15590	4.73295
0.75995	0.15602	4.74758
0.76164	0.15615	4.76219
0.76333	0.15628	4.77677
0.76502	0.15642	4.79134
0.76671	0.15657	4.80588
0.76840	0.15672	4.82041
0.77009	0.15688	4.83491
0.77178	0.15704	4.84939
0.77347	0.15721	4.86386
0.77516	0.15739	4.87830
0.77685	0.15757	4.89272
0.77854	0.15775	4.90713
0.78023	0.15794	4.92152
0.78192	0.15814	4.93588
0.78361	0.15834	4.95023
0.78530	0.15855	4.96457
0.78699	0.15876	4.97888
0.78867	0.15897	4.99318
0.79036	0.15919	5.00745
0.79205	0.15942	5.02172
0.79374	0.15965	5.03596
0.79543	0.15989	5.05019
0.79712	0.16012	5.06440
0.79881	0.16037	5.07860
0.80050	0.16062	5.09277
0.80219	0.16087	5.10694
0.80388	0.16113	5.12109
0.80557	0.16139	5.13522
0.80726	0.16165	5.14933
0.80895	0.16192	5.16344
0.81064	0.16219	5.17752
0.81233	0.16247	5.19160
0.81402	0.16275	5.20565
0.81571	0.16304	5.21970
0.81740	0.16333	5.23373
0.81909	0.16362	5.24774
0.82078	0.16392	5.26174
0.82247	0.16422	5.27573
0.82416	0.16452	5.28970
0.82585	0.16483	5.30366
0.82754	0.16514	5.31761
0.82923	0.16545	5.33154
0.83092	0.16577	5.34546
0.83261	0.16609	5.35937
0.83430	0.16642	5.37327
0.83599	0.16675	5.38715
0.83768	0.16708	5.40102
0.83937	0.16741	5.41488
0.84106	0.16775	5.42873
0.84275	0.16809	5.44256
0.84443	0.16844	5.45639
0.84612	0.16879	5.47020
0.84781	0.16914	5.48400
0.84950	0.16949	5.49778
0.85119	0.16985	5.51156
0.85288	0.17021	5.52533
0.85457	0.17057	5.53908
0.85626	0.17094	5.55283
0.85795	0.17131	5.56656
0.85964	0.17168	5.58028
0.86133	0.17205	5.59399
0.86302	0.17243	5.60769
0.86471	0.17281	5.62138
0.86640	0.17319	5.63506
0.86809	0.17358	5.64874
0.86978	0.17397	5.66240
0.87147	0.17436	5.67605
0.87316	0.17475	5.68969
0.87485	0.17515	5.70332
0.87654	0.17555	5.71694
0.87823	0.17595	5.73055
0.87992	0.17636	5.74415
0.88161	0.17676	5.75775
0.88330	0.17717	5.77133
0.88499	0.17759	5.78490
0.88668	0.17800	5.79847
0.88837	0.17842	5.81202
0.89006	0.17884	5.82557
0.89175	0.17926	5.83911
0.89344	0.17968	5.85264
0.89513	0.18011	5.86616
0.89682	0.18054	5.87967
0.89851	0.18097	5.89318
