Refractive index of gold at +83K
lambda [um]	n	k
0.55043	0.35247	2.49083
0.55212	0.34387	2.51855
0.55381	0.33570	2.54587
0.55550	0.32795	2.57282
0.55719	0.32059	2.59941
0.55888	0.31359	2.62564
0.56057	0.30693	2.65154
0.56225	0.30058	2.67710
0.56394	0.29454	2.70234
0.56563	0.28878	2.72728
0.56732	0.28328	2.75192
0.56901	0.27804	2.77627
0.57070	0.27302	2.80034
0.57239	0.26824	2.82414
0.57408	0.26366	2.84768
0.57577	0.25928	2.87097
0.57746	0.25508	2.89402
0.57915	0.25107	2.91683
0.58084	0.24722	2.93942
0.58253	0.24354	2.96178
0.58422	0.24000	2.98393
0.58591	0.23661	3.00587
0.58760	0.23336	3.02762
0.58929	0.23024	3.04917
0.59098	0.22724	3.07053
0.59267	0.22436	3.09171
0.59436	0.22159	3.11271
0.59605	0.21893	3.13354
0.59774	0.21638	3.15421
0.59943	0.21392	3.17472
0.60112	0.21156	3.19507
0.60281	0.20928	3.21526
0.60450	0.20709	3.23531
0.60619	0.20498	3.25522
0.60788	0.20295	3.27499
0.60957	0.20100	3.29462
0.61126	0.19912	3.31413
0.61295	0.19731	3.33350
0.61464	0.19556	3.35275
0.61633	0.19388	3.37188
0.61801	0.19226	3.39090
0.61970	0.19070	3.40980
0.62139	0.18919	3.42859
0.62308	0.18774	3.44727
0.62477	0.18635	3.46584
0.62646	0.18500	3.48431
0.62815	0.18370	3.50268
0.62984	0.18245	3.52096
0.63153	0.18124	3.53914
0.63322	0.18008	3.55722
0.63491	0.17896	3.57522
0.63660	0.17788	3.59313
0.63829	0.17683	3.61095
0.63998	0.17583	3.62869
0.64167	0.17486	3.64635
0.64336	0.17393	3.66392
0.64505	0.17303	3.68142
0.64674	0.17217	3.69884
0.64843	0.17134	3.71619
0.65012	0.17053	3.73347
0.65181	0.16976	3.75067
0.65350	0.16902	3.76780
0.65519	0.16830	3.78487
0.65688	0.16762	3.80187
0.65857	0.16696	3.81881
0.66026	0.16632	3.83568
0.66195	0.16571	3.85249
0.66364	0.16512	3.86924
0.66533	0.16456	3.88592
0.66702	0.16402	3.90255
0.66871	0.16350	3.91913
0.67040	0.16300	3.93565
0.67209	0.16253	3.95211
0.67378	0.16207	3.96852
0.67546	0.16163	3.98487
0.67715	0.16122	4.00118
