Refractive index of gold at +6K
lambda [um]	n	k
0.55043	0.33329	2.48484
0.55212	0.32499	2.51255
0.55381	0.31711	2.53986
0.55550	0.30964	2.56678
0.55719	0.30255	2.59333
0.55888	0.29580	2.61952
0.56057	0.28939	2.64536
0.56225	0.28329	2.67086
0.56394	0.27747	2.69603
0.56563	0.27193	2.72090
0.56732	0.26665	2.74545
0.56901	0.26161	2.76972
0.57070	0.25680	2.79370
0.57239	0.25220	2.81741
0.57408	0.24780	2.84086
0.57577	0.24360	2.86405
0.57746	0.23958	2.88700
0.57915	0.23573	2.90971
0.58084	0.23204	2.93219
0.58253	0.22851	2.95444
0.58422	0.22512	2.97648
0.58591	0.22187	2.99831
0.58760	0.21875	3.01995
0.58929	0.21576	3.04138
0.59098	0.21289	3.06263
0.59267	0.21013	3.08370
0.59436	0.20748	3.10458
0.59605	0.20494	3.12530
0.59774	0.20249	3.14585
0.59943	0.20014	3.16624
0.60112	0.19787	3.18647
0.60281	0.19570	3.20655
0.60450	0.19360	3.22649
0.60619	0.19159	3.24628
0.60788	0.18964	3.26593
0.60957	0.18777	3.28544
0.61126	0.18597	3.30483
0.61295	0.18424	3.32409
0.61464	0.18257	3.34322
0.61633	0.18096	3.36224
0.61801	0.17941	3.38113
0.61970	0.17791	3.39992
0.62139	0.17647	3.41859
0.62308	0.17509	3.43715
0.62477	0.17375	3.45561
0.62646	0.17246	3.47397
0.62815	0.17121	3.49223
0.62984	0.17001	3.51039
0.63153	0.16886	3.52845
0.63322	0.16774	3.54643
0.63491	0.16667	3.56431
0.63660	0.16563	3.58211
0.63829	0.16464	3.59982
0.63998	0.16367	3.61744
0.64167	0.16275	3.63499
0.64336	0.16185	3.65246
0.64505	0.16099	3.66985
0.64674	0.16016	3.68716
0.64843	0.15936	3.70440
0.65012	0.15859	3.72156
0.65181	0.15785	3.73866
0.65350	0.15714	3.75569
0.65519	0.15645	3.77265
0.65688	0.15579	3.78954
0.65857	0.15515	3.80637
0.66026	0.15454	3.82314
0.66195	0.15395	3.83984
0.66364	0.15338	3.85649
0.66533	0.15284	3.87307
0.66702	0.15232	3.88960
0.66871	0.15182	3.90607
0.67040	0.15134	3.92248
0.67209	0.15088	3.93884
0.67378	0.15043	3.95515
0.67546	0.15001	3.97141
0.67715	0.14961	3.98761
0.67884	0.14922	4.00377
0.68053	0.14885	4.01987
0.68222	0.14850	4.03593
0.68391	0.14816	4.05194
0.68560	0.14784	4.06791
0.68729	0.14753	4.08383
0.68898	0.14724	4.09970
0.69067	0.14697	4.11553
0.69236	0.14671	4.13132
0.69405	0.14646	4.14707
0.69574	0.14622	4.16278
0.69743	0.14600	4.17844
0.69912	0.14579	4.19407
0.70081	0.14560	4.20966
0.70250	0.14542	4.22520
0.70419	0.14524	4.24072
0.70588	0.14509	4.25619
0.70757	0.14494	4.27163
0.70926	0.14480	4.28703
0.71095	0.14467	4.30240
0.71264	0.14456	4.31773
0.71433	0.14445	4.33303
0.71602	0.14436	4.34830
0.71771	0.14428	4.36354
0.71940	0.14420	4.37874
0.72109	0.14414	4.39391
0.72278	0.14408	4.40905
0.72447	0.14403	4.42416
0.72616	0.14399	4.43924
0.72785	0.14397	4.45429
0.72954	0.14394	4.46931
0.73122	0.14393	4.48430
0.73291	0.14393	4.49927
0.73460	0.14393	4.51420
0.73629	0.14394	4.52911
0.73798	0.14396	4.54400
0.73967	0.14399	4.55885
0.74136	0.14403	4.57368
0.74305	0.14407	4.58849
0.74474	0.14412	4.60327
0.74643	0.14417	4.61802
0.74812	0.14424	4.63275
0.74981	0.14431	4.64746
0.75150	0.14438	4.66215
0.75319	0.14447	4.67681
0.75488	0.14456	4.69144
0.75657	0.14465	4.70606
0.75826	0.14475	4.72065
0.75995	0.14486	4.73522
0.76164	0.14498	4.74977
0.76333	0.14510	4.76430
0.76502	0.14522	4.77880
0.76671	0.14535	4.79329
0.76840	0.14549	4.80775
0.77009	0.14563	4.82220
0.77178	0.14578	4.83662
0.77347	0.14593	4.85103
0.77516	0.14609	4.86542
0.77685	0.14625	4.87978
0.77854	0.14642	4.89413
0.78023	0.14660	4.90846
0.78192	0.14677	4.92277
0.78361	0.14696	4.93707
0.78530	0.14714	4.95134
0.78699	0.14734	4.96560
0.78867	0.14753	4.97984
0.79036	0.14773	4.99407
0.79205	0.14794	5.00827
0.79374	0.14815	5.02246
0.79543	0.14836	5.03664
0.79712	0.14858	5.05079
0.79881	0.14881	5.06494
0.80050	0.14903	5.07906
0.80219	0.14927	5.09317
0.80388	0.14950	5.10727
0.80557	0.14974	5.12135
0.80726	0.14998	5.13541
0.80895	0.15023	5.14946
0.81064	0.15048	5.16349
0.81233	0.15074	5.17751
0.81402	0.15099	5.19152
0.81571	0.15126	5.20551
0.81740	0.15152	5.21949
0.81909	0.15179	5.23345
0.82078	0.15206	5.24740
0.82247	0.15234	5.26134
0.82416	0.15262	5.27526
0.82585	0.15290	5.28917
0.82754	0.15319	5.30307
0.82923	0.15348	5.31695
0.83092	0.15377	5.33083
0.83261	0.15407	5.34468
0.83430	0.15437	5.35853
0.83599	0.15467	5.37237
0.83768	0.15497	5.38619
0.83937	0.15528	5.40000
0.84106	0.15560	5.41380
0.84275	0.15591	5.42758
0.84443	0.15623	5.44136
0.84612	0.15655	5.45512
0.84781	0.15687	5.46887
0.84950	0.15720	5.48261
0.85119	0.15753	5.49634
0.85288	0.15786	5.51006
0.85457	0.15820	5.52377
0.85626	0.15853	5.53746
0.85795	0.15887	5.55115
0.85964	0.15922	5.56483
0.86133	0.15956	5.57849
0.86302	0.15991	5.59215
0.86471	0.16026	5.60579
0.86640	0.16062	5.61943
0.86809	0.16097	5.63305
0.86978	0.16133	5.64666
0.87147	0.16169	5.66027
0.87316	0.16206	5.67386
0.87485	0.16243	5.68745
0.87654	0.16279	5.70103
0.87823	0.16317	5.71459
0.87992	0.16354	5.72815
0.88161	0.16392	5.74170
0.88330	0.16430	5.75524
0.88499	0.16468	5.76877
0.88668	0.16506	5.78229
0.88837	0.16545	5.79580
0.89006	0.16583	5.80930
0.89175	0.16622	5.82280
0.89344	0.16662	5.83628
0.89513	0.16701	5.84976
0.89682	0.16741	5.86323
0.89851	0.16781	5.87669
0.90020	0.16821	5.89014
0.90188	0.16861	5.90359
0.90357	0.16902	5.91703
0.90526	0.16943	5.93045
0.90695	0.16984	5.94387
0.90864	0.17025	5.95729
0.91033	0.17066	5.97069
0.91202	0.17108	5.98409
0.91371	0.17150	5.99748
0.91540	0.17192	6.01086
0.91709	0.17234	6.02423
0.91878	0.17277	6.03760
0.92047	0.17319	6.05096
0.92216	0.17362	6.06431
0.92385	0.17405	6.07765
0.92554	0.17449	6.09099
0.92723	0.17492	6.10432
0.92892	0.17536	6.11765
0.93061	0.17579	6.13096
0.93230	0.17624	6.14427
0.93399	0.17668	6.15757
0.93568	0.17712	6.17087
0.93737	0.17757	6.18416
0.93906	0.17802	6.19744
0.94075	0.17846	6.21072
0.94244	0.17892	6.22398
0.94413	0.17937	6.23725
0.94582	0.17982	6.25050
0.94751	0.18028	6.26375
0.94920	0.18074	6.27699
0.95089	0.18120	6.29023
0.95258	0.18166	6.30346
0.95427	0.18213	6.31669
0.95596	0.18259	6.32990
0.95764	0.18306	6.34312
0.95933	0.18353	6.35632
0.96102	0.18400	6.36952
0.96271	0.18447	6.38272
0.96440	0.18495	6.39591
0.96609	0.18543	6.40909
0.96778	0.18590	6.42226
0.96947	0.18638	6.43544
0.97116	0.18686	6.44860
0.97285	0.18735	6.46176
0.97454	0.18783	6.47491
0.97623	0.18832	6.48806
0.97792	0.18881	6.50120
0.97961	0.18929	6.51434
0.98130	0.18979	6.52747
0.98299	0.19028	6.54060
0.98468	0.19077	6.55372
0.98637	0.19127	6.56684
0.98806	0.19177	6.57995
0.98975	0.19227	6.59305
0.99144	0.19277	6.60615
0.99313	0.19327	6.61925
0.99482	0.19377	6.63234
0.99651	0.19428	6.64542
0.99820	0.19479	6.65850
0.99989	0.19529	6.67158
1.00158	0.19580	6.68465
1.00327	0.19632	6.69771
1.00496	0.19683	6.71077
1.00665	0.19734	6.72383
1.00834	0.19786	6.73688
1.01003	0.19838	6.74992
1.01172	0.19890	6.76296
1.01341	0.19942	6.77600
1.01509	0.19994	6.78903
1.01678	0.20046	6.80206
1.01847	0.20099	6.81508
1.02016	0.20151	6.82810
1.02185	0.20204	6.84111
1.02354	0.20257	6.85412
1.02523	0.20310	6.86712
1.02692	0.20364	6.88012
1.02861	0.20417	6.89312
1.03030	0.20471	6.90611
1.03199	0.20524	6.91909
1.03368	0.20578	6.93208
1.03537	0.20632	6.94505
1.03706	0.20686	6.95803
1.03875	0.20740	6.97100
1.04044	0.20795	6.98396
1.04213	0.20849	6.99692
1.04382	0.20904	7.00988
1.04551	0.20959	7.02283
1.04720	0.21014	7.03578
