Refractive index of gold at +5K
lambda [um]	n	k
0.55043	0.33319	2.48517
0.55212	0.32489	2.51288
0.55381	0.31702	2.54018
0.55550	0.30955	2.56710
0.55719	0.30245	2.59365
0.55888	0.29571	2.61983
0.56057	0.28930	2.64567
0.56225	0.28320	2.67116
0.56394	0.27739	2.69634
0.56563	0.27185	2.72119
0.56732	0.26657	2.74575
0.56901	0.26153	2.77001
0.57070	0.25671	2.79399
0.57239	0.25212	2.81770
0.57408	0.24772	2.84114
0.57577	0.24352	2.86433
0.57746	0.23950	2.88728
0.57915	0.23565	2.90998
0.58084	0.23196	2.93246
0.58253	0.22843	2.95471
0.58422	0.22504	2.97675
0.58591	0.22180	2.99858
0.58760	0.21868	3.02021
0.58929	0.21569	3.04164
0.59098	0.21282	3.06289
0.59267	0.21006	3.08395
0.59436	0.20741	3.10484
0.59605	0.20487	3.12555
0.59774	0.20242	3.14610
0.59943	0.20007	3.16648
0.60112	0.19781	3.18671
0.60281	0.19563	3.20679
0.60450	0.19354	3.22672
0.60619	0.19152	3.24651
0.60788	0.18958	3.26616
0.60957	0.18771	3.28568
0.61126	0.18591	3.30506
0.61295	0.18418	3.32431
0.61464	0.18251	3.34345
0.61633	0.18090	3.36246
0.61801	0.17935	3.38135
0.61970	0.17785	3.40013
0.62139	0.17641	3.41881
0.62308	0.17503	3.43737
0.62477	0.17369	3.45583
0.62646	0.17240	3.47418
0.62815	0.17115	3.49244
0.62984	0.16996	3.51059
0.63153	0.16880	3.52866
0.63322	0.16769	3.54663
0.63491	0.16661	3.56451
0.63660	0.16558	3.58231
0.63829	0.16458	3.60002
0.63998	0.16362	3.61764
0.64167	0.16269	3.63519
0.64336	0.16180	3.65265
0.64505	0.16093	3.67004
0.64674	0.16011	3.68735
0.64843	0.15931	3.70459
0.65012	0.15854	3.72175
0.65181	0.15779	3.73884
0.65350	0.15708	3.75587
0.65519	0.15639	3.77283
0.65688	0.15573	3.78972
0.65857	0.15510	3.80655
0.66026	0.15448	3.82331
0.66195	0.15390	3.84002
0.66364	0.15333	3.85666
0.66533	0.15279	3.87324
0.66702	0.15227	3.88977
0.66871	0.15177	3.90624
0.67040	0.15129	3.92265
0.67209	0.15082	3.93901
0.67378	0.15038	3.95532
0.67546	0.14996	3.97157
0.67715	0.14956	3.98778
0.67884	0.14917	4.00393
0.68053	0.14880	4.02003
0.68222	0.14845	4.03609
0.68391	0.14811	4.05210
0.68560	0.14779	4.06806
0.68729	0.14748	4.08398
0.68898	0.14719	4.09985
0.69067	0.14692	4.11569
0.69236	0.14666	4.13147
0.69405	0.14641	4.14722
0.69574	0.14617	4.16292
0.69743	0.14595	4.17859
0.69912	0.14575	4.19421
0.70081	0.14555	4.20980
0.70250	0.14537	4.22535
0.70419	0.14520	4.24086
0.70588	0.14504	4.25633
0.70757	0.14489	4.27177
0.70926	0.14475	4.28717
0.71095	0.14463	4.30254
0.71264	0.14451	4.31787
0.71433	0.14441	4.33317
0.71602	0.14431	4.34843
0.71771	0.14423	4.36367
0.71940	0.14415	4.37887
0.72109	0.14409	4.39404
0.72278	0.14403	4.40918
0.72447	0.14399	4.42428
0.72616	0.14395	4.43936
0.72785	0.14392	4.45441
0.72954	0.14390	4.46943
0.73122	0.14389	4.48442
0.73291	0.14388	4.49939
0.73460	0.14389	4.51432
0.73629	0.14390	4.52923
0.73798	0.14392	4.54411
0.73967	0.14395	4.55897
0.74136	0.14398	4.57380
0.74305	0.14402	4.58860
0.74474	0.14407	4.60338
0.74643	0.14413	4.61814
0.74812	0.14419	4.63287
0.74981	0.14426	4.64757
0.75150	0.14434	4.66225
0.75319	0.14442	4.67691
0.75488	0.14451	4.69155
0.75657	0.14461	4.70616
0.75826	0.14471	4.72076
0.75995	0.14482	4.73532
0.76164	0.14493	4.74987
0.76333	0.14505	4.76440
0.76502	0.14518	4.77890
0.76671	0.14531	4.79339
0.76840	0.14544	4.80785
0.77009	0.14559	4.82230
0.77178	0.14573	4.83672
0.77347	0.14589	4.85113
0.77516	0.14604	4.86551
0.77685	0.14621	4.87988
0.77854	0.14638	4.89423
0.78023	0.14655	4.90856
0.78192	0.14673	4.92287
0.78361	0.14691	4.93716
0.78530	0.14710	4.95143
0.78699	0.14729	4.96569
0.78867	0.14749	4.97993
0.79036	0.14769	4.99415
0.79205	0.14789	5.00836
0.79374	0.14810	5.02255
0.79543	0.14832	5.03672
0.79712	0.14854	5.05088
0.79881	0.14876	5.06502
0.80050	0.14899	5.07914
0.80219	0.14922	5.09325
0.80388	0.14945	5.10735
0.80557	0.14969	5.12143
0.80726	0.14994	5.13549
0.80895	0.15018	5.14954
0.81064	0.15043	5.16357
0.81233	0.15069	5.17759
0.81402	0.15095	5.19160
0.81571	0.15121	5.20559
0.81740	0.15147	5.21956
0.81909	0.15174	5.23353
0.82078	0.15202	5.24748
0.82247	0.15229	5.26141
0.82416	0.15257	5.27533
0.82585	0.15286	5.28924
0.82754	0.15314	5.30314
0.82923	0.15343	5.31702
0.83092	0.15372	5.33089
0.83261	0.15402	5.34475
0.83430	0.15432	5.35860
0.83599	0.15462	5.37243
0.83768	0.15493	5.38625
0.83937	0.15524	5.40006
0.84106	0.15555	5.41386
0.84275	0.15586	5.42765
0.84443	0.15618	5.44142
0.84612	0.15650	5.45518
0.84781	0.15683	5.46893
0.84950	0.15715	5.48267
0.85119	0.15748	5.49640
0.85288	0.15781	5.51012
0.85457	0.15815	5.52383
0.85626	0.15849	5.53752
0.85795	0.15883	5.55121
0.85964	0.15917	5.56488
0.86133	0.15952	5.57855
0.86302	0.15986	5.59220
0.86471	0.16022	5.60585
0.86640	0.16057	5.61948
0.86809	0.16093	5.63310
0.86978	0.16129	5.64672
0.87147	0.16165	5.66032
0.87316	0.16201	5.67392
0.87485	0.16238	5.68750
0.87654	0.16275	5.70108
0.87823	0.16312	5.71464
0.87992	0.16349	5.72820
0.88161	0.16387	5.74175
0.88330	0.16425	5.75528
0.88499	0.16463	5.76881
0.88668	0.16501	5.78233
0.88837	0.16540	5.79585
0.89006	0.16579	5.80935
0.89175	0.16618	5.82284
0.89344	0.16657	5.83633
0.89513	0.16696	5.84980
0.89682	0.16736	5.86327
0.89851	0.16776	5.87673
0.90020	0.16816	5.89019
0.90188	0.16856	5.90363
0.90357	0.16897	5.91706
0.90526	0.16938	5.93049
0.90695	0.16979	5.94391
0.90864	0.17020	5.95732
0.91033	0.17062	5.97073
0.91202	0.17103	5.98412
0.91371	0.17145	5.99751
0.91540	0.17187	6.01089
0.91709	0.17229	6.02427
0.91878	0.17272	6.03763
0.92047	0.17314	6.05099
0.92216	0.17357	6.06434
0.92385	0.17400	6.07769
0.92554	0.17444	6.09102
0.92723	0.17487	6.10435
0.92892	0.17531	6.11768
0.93061	0.17574	6.13099
0.93230	0.17618	6.14430
0.93399	0.17663	6.15760
0.93568	0.17707	6.17090
0.93737	0.17752	6.18419
0.93906	0.17796	6.19747
0.94075	0.17841	6.21074
0.94244	0.17887	6.22401
0.94413	0.17932	6.23727
0.94582	0.17977	6.25053
0.94751	0.18023	6.26378
0.94920	0.18069	6.27702
0.95089	0.18115	6.29026
0.95258	0.18161	6.30349
0.95427	0.18208	6.31671
0.95596	0.18254	6.32993
0.95764	0.18301	6.34314
0.95933	0.18348	6.35634
0.96102	0.18395	6.36954
0.96271	0.18442	6.38274
0.96440	0.18490	6.39592
0.96609	0.18537	6.40911
0.96778	0.18585	6.42228
0.96947	0.18633	6.43545
0.97116	0.18681	6.44862
0.97285	0.18729	6.46178
0.97454	0.18778	6.47493
0.97623	0.18826	6.48808
0.97792	0.18875	6.50122
0.97961	0.18924	6.51436
0.98130	0.18973	6.52749
0.98299	0.19023	6.54061
0.98468	0.19072	6.55373
0.98637	0.19122	6.56685
0.98806	0.19171	6.57996
0.98975	0.19221	6.59306
0.99144	0.19271	6.60616
0.99313	0.19321	6.61926
0.99482	0.19372	6.63235
0.99651	0.19422	6.64543
0.99820	0.19473	6.65851
0.99989	0.19524	6.67158
1.00158	0.19575	6.68465
1.00327	0.19626	6.69772
1.00496	0.19677	6.71078
1.00665	0.19729	6.72383
1.00834	0.19780	6.73688
1.01003	0.19832	6.74993
1.01172	0.19884	6.76297
1.01341	0.19936	6.77600
1.01509	0.19988	6.78903
1.01678	0.20041	6.80206
1.01847	0.20093	6.81508
1.02016	0.20146	6.82810
1.02185	0.20199	6.84111
1.02354	0.20252	6.85412
1.02523	0.20305	6.86712
1.02692	0.20358	6.88012
1.02861	0.20411	6.89312
1.03030	0.20465	6.90611
1.03199	0.20519	6.91909
1.03368	0.20572	6.93207
1.03537	0.20626	6.94505
1.03706	0.20680	6.95803
1.03875	0.20735	6.97099
1.04044	0.20789	6.98396
1.04213	0.20844	6.99692
1.04382	0.20898	7.00988
1.04551	0.20953	7.02283
1.04720	0.21008	7.03578
