Refractive index of gold at +39K
lambda [um]	n	k
0.55043	0.33904	2.48261
0.55212	0.33084	2.51030
0.55381	0.32305	2.53760
0.55550	0.31566	2.56451
0.55719	0.30864	2.59106
0.55888	0.30196	2.61725
0.56057	0.29560	2.64309
0.56225	0.28954	2.66860
0.56394	0.28377	2.69379
0.56563	0.27826	2.71866
0.56732	0.27301	2.74324
0.56901	0.26799	2.76752
0.57070	0.26320	2.79153
0.57239	0.25861	2.81527
0.57408	0.25423	2.83874
0.57577	0.25003	2.86196
0.57746	0.24602	2.88494
0.57915	0.24217	2.90768
0.58084	0.23848	2.93019
0.58253	0.23495	2.95248
0.58422	0.23156	2.97456
0.58591	0.22830	2.99643
0.58760	0.22518	3.01810
0.58929	0.22218	3.03958
0.59098	0.21930	3.06087
0.59267	0.21653	3.08197
0.59436	0.21387	3.10290
0.59605	0.21131	3.12366
0.59774	0.20885	3.14425
0.59943	0.20649	3.16469
0.60112	0.20421	3.18496
0.60281	0.20202	3.20509
0.60450	0.19991	3.22506
0.60619	0.19788	3.24490
0.60788	0.19592	3.26459
0.60957	0.19404	3.28415
0.61126	0.19222	3.30358
0.61295	0.19047	3.32289
0.61464	0.18879	3.34206
0.61633	0.18716	3.36112
0.61801	0.18560	3.38006
0.61970	0.18409	3.39889
0.62139	0.18263	3.41761
0.62308	0.18123	3.43622
0.62477	0.17987	3.45472
0.62646	0.17857	3.47312
0.62815	0.17731	3.49142
0.62984	0.17610	3.50962
0.63153	0.17493	3.52773
0.63322	0.17380	3.54575
0.63491	0.17271	3.56367
0.63660	0.17166	3.58151
0.63829	0.17065	3.59926
0.63998	0.16967	3.61693
0.64167	0.16873	3.63451
0.64336	0.16783	3.65202
0.64505	0.16695	3.66945
0.64674	0.16611	3.68680
0.64843	0.16530	3.70408
0.65012	0.16452	3.72129
0.65181	0.16376	3.73842
0.65350	0.16304	3.75549
0.65519	0.16234	3.77248
0.65688	0.16167	3.78941
0.65857	0.16102	3.80628
0.66026	0.16040	3.82308
0.66195	0.15980	3.83982
0.66364	0.15923	3.85650
0.66533	0.15868	3.87312
0.66702	0.15815	3.88968
0.66871	0.15764	3.90619
0.67040	0.15715	3.92264
0.67209	0.15668	3.93903
0.67378	0.15623	3.95537
0.67546	0.15580	3.97166
0.67715	0.15539	3.98790
0.67884	0.15500	4.00409
0.68053	0.15462	4.02023
0.68222	0.15426	4.03631
0.68391	0.15392	4.05236
0.68560	0.15359	4.06835
0.68729	0.15328	4.08430
0.68898	0.15299	4.10021
0.69067	0.15270	4.11607
0.69236	0.15244	4.13189
0.69405	0.15219	4.14766
0.69574	0.15195	4.16340
0.69743	0.15172	4.17909
0.69912	0.15151	4.19474
0.70081	0.15131	4.21036
0.70250	0.15113	4.22593
0.70419	0.15095	4.24147
0.70588	0.15079	4.25697
0.70757	0.15064	4.27244
0.70926	0.15050	4.28787
0.71095	0.15038	4.30326
0.71264	0.15026	4.31862
0.71433	0.15015	4.33394
0.71602	0.15006	4.34923
0.71771	0.14997	4.36449
0.71940	0.14990	4.37972
0.72109	0.14983	4.39491
0.72278	0.14978	4.41008
0.72447	0.14973	4.42521
0.72616	0.14969	4.44031
0.72785	0.14966	4.45538
0.72954	0.14964	4.47043
0.73122	0.14963	4.48544
0.73291	0.14963	4.50043
0.73460	0.14964	4.51538
0.73629	0.14965	4.53031
0.73798	0.14967	4.54522
0.73967	0.14970	4.56010
