Refractive index of gold at +43K
lambda [um]	n	k
0.55043	0.34011	2.48214
0.55212	0.33189	2.50986
0.55381	0.32409	2.53717
0.55550	0.31668	2.56411
0.55719	0.30964	2.59067
0.55888	0.30294	2.61688
0.56057	0.29657	2.64274
0.56225	0.29050	2.66827
0.56394	0.28471	2.69348
0.56563	0.27919	2.71837
0.56732	0.27392	2.74297
0.56901	0.26889	2.76727
0.57070	0.26409	2.79129
0.57239	0.25950	2.81505
0.57408	0.25510	2.83854
0.57577	0.25090	2.86177
0.57746	0.24687	2.88477
0.57915	0.24301	2.90752
0.58084	0.23932	2.93005
0.58253	0.23577	2.95236
0.58422	0.23237	2.97445
0.58591	0.22911	2.99633
0.58760	0.22598	3.01802
0.58929	0.22298	3.03951
0.59098	0.22009	3.06081
0.59267	0.21731	3.08193
0.59436	0.21465	3.10287
0.59605	0.21208	3.12364
0.59774	0.20962	3.14425
0.59943	0.20724	3.16469
0.60112	0.20496	3.18498
0.60281	0.20277	3.20512
0.60450	0.20065	3.22511
0.60619	0.19861	3.24495
0.60788	0.19665	3.26466
0.60957	0.19476	3.28423
0.61126	0.19294	3.30367
0.61295	0.19119	3.32298
0.61464	0.18950	3.34217
0.61633	0.18787	3.36124
0.61801	0.18630	3.38019
0.61970	0.18479	3.39903
0.62139	0.18333	3.41775
0.62308	0.18192	3.43637
0.62477	0.18057	3.45488
0.62646	0.17926	3.47329
0.62815	0.17800	3.49160
0.62984	0.17678	3.50981
0.63153	0.17561	3.52793
0.63322	0.17448	3.54595
0.63491	0.17338	3.56389
0.63660	0.17233	3.58173
0.63829	0.17132	3.59949
0.63998	0.17034	3.61717
0.64167	0.16940	3.63476
0.64336	0.16849	3.65228
0.64505	0.16761	3.66971
0.64674	0.16677	3.68707
0.64843	0.16596	3.70436
0.65012	0.16517	3.72157
0.65181	0.16442	3.73871
0.65350	0.16369	3.75579
0.65519	0.16299	3.77279
0.65688	0.16232	3.78973
0.65857	0.16167	3.80660
0.66026	0.16105	3.82341
0.66195	0.16045	3.84016
0.66364	0.15987	3.85684
0.66533	0.15932	3.87347
0.66702	0.15879	3.89004
0.66871	0.15828	3.90655
0.67040	0.15779	3.92300
0.67209	0.15732	3.93940
0.67378	0.15687	3.95575
0.67546	0.15644	3.97205
0.67715	0.15603	3.98829
0.67884	0.15563	4.00448
0.68053	0.15526	4.02062
0.68222	0.15490	4.03672
0.68391	0.15455	4.05277
0.68560	0.15423	4.06877
0.68729	0.15391	4.08472
0.68898	0.15362	4.10063
0.69067	0.15334	4.11650
0.69236	0.15307	4.13232
0.69405	0.15282	4.14810
0.69574	0.15258	4.16384
0.69743	0.15236	4.17954
0.69912	0.15214	4.19520
0.70081	0.15195	4.21082
0.70250	0.15176	4.22640
0.70419	0.15159	4.24194
0.70588	0.15142	4.25745
0.70757	0.15127	4.27291
0.70926	0.15114	4.28835
0.71095	0.15101	4.30375
0.71264	0.15089	4.31911
0.71433	0.15079	4.33444
0.71602	0.15069	4.34973
0.71771	0.15061	4.36500
0.71940	0.15053	4.38023
0.72109	0.15047	4.39542
0.72278	0.15041	4.41059
0.72447	0.15036	4.42573
0.72616	0.15033	4.44083
0.72785	0.15030	4.45591
0.72954	0.15028	4.47096
0.73122	0.15027	4.48597
0.73291	0.15027	4.50096
0.73460	0.15027	4.51593
0.73629	0.15029	4.53086
0.73798	0.15031	4.54577
0.73967	0.15034	4.56065
0.74136	0.15038	4.57550
0.74305	0.15042	4.59033
0.74474	0.15047	4.60513
0.74643	0.15053	4.61991
0.74812	0.15060	4.63467
0.74981	0.15068	4.64940
0.75150	0.15076	4.66410
0.75319	0.15084	4.67878
0.75488	0.15094	4.69344
0.75657	0.15104	4.70808
0.75826	0.15115	4.72269
0.75995	0.15126	4.73728
0.76164	0.15138	4.75185
0.76333	0.15150	4.76640
0.76502	0.15163	4.78092
0.76671	0.15177	4.79543
0.76840	0.15191	4.80991
0.77009	0.15206	4.82438
0.77178	0.15222	4.83882
0.77347	0.15238	4.85324
0.77516	0.15254	4.86765
0.77685	0.15271	4.88203
0.77854	0.15289	4.89640
0.78023	0.15307	4.91075
0.78192	0.15325	4.92508
0.78361	0.15344	4.93939
0.78530	0.15364	4.95368
0.78699	0.15384	4.96796
0.78867	0.15404	4.98221
0.79036	0.15425	4.99645
0.79205	0.15447	5.01068
0.79374	0.15469	5.02488
0.79543	0.15491	5.03907
0.79712	0.15514	5.05324
0.79881	0.15537	5.06740
0.80050	0.15561	5.08154
0.80219	0.15585	5.09567
0.80388	0.15609	5.10978
0.80557	0.15634	5.12387
0.80726	0.15659	5.13795
0.80895	0.15685	5.15201
0.81064	0.15711	5.16606
0.81233	0.15738	5.18009
0.81402	0.15765	5.19411
0.81571	0.15792	5.20812
0.81740	0.15819	5.22211
0.81909	0.15847	5.23609
0.82078	0.15876	5.25005
0.82247	0.15905	5.26400
0.82416	0.15934	5.27793
0.82585	0.15963	5.29186
0.82754	0.15993	5.30577
0.82923	0.16023	5.31966
0.83092	0.16053	5.33355
0.83261	0.16084	5.34742
