Refractive index of gold at +99K
lambda [um]	n	k
0.55043	0.36073	2.50514
0.55212	0.35160	2.53266
0.55381	0.34294	2.55980
0.55550	0.33472	2.58659
0.55719	0.32692	2.61302
0.55888	0.31952	2.63912
0.56057	0.31248	2.66488
0.56225	0.30578	2.69033
0.56394	0.29940	2.71547
0.56563	0.29332	2.74030
0.56732	0.28753	2.76485
0.56901	0.28201	2.78912
0.57070	0.27674	2.81311
0.57239	0.27170	2.83684
0.57408	0.26689	2.86032
0.57577	0.26230	2.88355
0.57746	0.25790	2.90654
0.57915	0.25370	2.92931
0.58084	0.24967	2.95184
0.58253	0.24581	2.97417
0.58422	0.24212	2.99628
0.58591	0.23858	3.01819
0.58760	0.23519	3.03990
0.58929	0.23193	3.06142
0.59098	0.22881	3.08276
0.59267	0.22581	3.10392
0.59436	0.22293	3.12490
0.59605	0.22016	3.14572
0.59774	0.21750	3.16637
0.59943	0.21495	3.18686
0.60112	0.21250	3.20720
0.60281	0.21014	3.22740
0.60450	0.20787	3.24744
0.60619	0.20568	3.26735
0.60788	0.20358	3.28712
0.60957	0.20156	3.30675
0.61126	0.19962	3.32626
0.61295	0.19774	3.34564
0.61464	0.19594	3.36490
0.61633	0.19420	3.38404
0.61801	0.19253	3.40306
0.61970	0.19092	3.42197
0.62139	0.18937	3.44077
0.62308	0.18788	3.45947
0.62477	0.18644	3.47806
0.62646	0.18505	3.49655
0.62815	0.18371	3.51494
0.62984	0.18243	3.53323
0.63153	0.18119	3.55144
0.63322	0.17999	3.56955
0.63491	0.17884	3.58757
0.63660	0.17773	3.60550
0.63829	0.17666	3.62335
0.63998	0.17564	3.64112
0.64167	0.17464	3.65880
0.64336	0.17369	3.67641
0.64505	0.17277	3.69394
0.64674	0.17189	3.71139
0.64843	0.17103	3.72878
0.65012	0.17021	3.74609
0.65181	0.16943	3.76333
0.65350	0.16867	3.78050
0.65519	0.16794	3.79760
0.65688	0.16724	3.81464
0.65857	0.16656	3.83161
0.66026	0.16591	3.84853
0.66195	0.16529	3.86538
0.66364	0.16469	3.88217
0.66533	0.16412	3.89890
0.66702	0.16357	3.91557
0.66871	0.16304	3.93219
0.67040	0.16254	3.94875
0.67209	0.16205	3.96526
0.67378	0.16159	3.98172
0.67546	0.16114	3.99812
0.67715	0.16072	4.01448
0.67884	0.16032	4.03078
0.68053	0.15993	4.04704
0.68222	0.15956	4.06324
0.68391	0.15921	4.07940
0.68560	0.15888	4.09552
0.68729	0.15856	4.11159
0.68898	0.15826	4.12761
0.69067	0.15798	4.14360
0.69236	0.15771	4.15954
0.69405	0.15745	4.17543
0.69574	0.15721	4.19129
0.69743	0.15699	4.20711
0.69912	0.15678	4.22288
0.70081	0.15658	4.23862
0.70250	0.15640	4.25432
0.70419	0.15622	4.26999
0.70588	0.15607	4.28561
0.70757	0.15592	4.30120
