Refractive index of gold at +10K
lambda [um]	n	k
0.55043	0.33324	2.48424
0.55212	0.32496	2.51194
0.55381	0.31711	2.53924
0.55550	0.30966	2.56615
0.55719	0.30258	2.59269
0.55888	0.29586	2.61887
0.56057	0.28946	2.64470
0.56225	0.28337	2.67020
0.56394	0.27757	2.69537
0.56563	0.27204	2.72023
0.56732	0.26677	2.74478
0.56901	0.26174	2.76905
0.57070	0.25694	2.79303
0.57239	0.25235	2.81673
0.57408	0.24796	2.84018
0.57577	0.24377	2.86337
0.57746	0.23975	2.88631
0.57915	0.23591	2.90902
0.58084	0.23223	2.93150
0.58253	0.22870	2.95375
0.58422	0.22532	2.97580
0.58591	0.22207	2.99763
0.58760	0.21896	3.01926
0.58929	0.21597	3.04070
0.59098	0.21311	3.06195
0.59267	0.21035	3.08301
0.59436	0.20771	3.10390
0.59605	0.20516	3.12462
0.59774	0.20272	3.14517
0.59943	0.20037	3.16556
0.60112	0.19811	3.18580
0.60281	0.19593	3.20588
0.60450	0.19384	3.22582
0.60619	0.19182	3.24561
0.60788	0.18989	3.26526
0.60957	0.18802	3.28478
0.61126	0.18622	3.30417
0.61295	0.18449	3.32343
0.61464	0.18282	3.34257
0.61633	0.18121	3.36159
0.61801	0.17966	3.38049
0.61970	0.17817	3.39928
0.62139	0.17673	3.41795
0.62308	0.17534	3.43652
0.62477	0.17400	3.45498
0.62646	0.17271	3.47334
0.62815	0.17147	3.49160
0.62984	0.17027	3.50977
0.63153	0.16911	3.52784
0.63322	0.16800	3.54582
0.63491	0.16693	3.56370
0.63660	0.16589	3.58150
0.63829	0.16489	3.59922
0.63998	0.16393	3.61685
0.64167	0.16300	3.63440
0.64336	0.16211	3.65187
0.64505	0.16125	3.66926
0.64674	0.16042	3.68658
0.64843	0.15962	3.70382
0.65012	0.15885	3.72099
0.65181	0.15811	3.73809
0.65350	0.15739	3.75513
0.65519	0.15671	3.77209
0.65688	0.15604	3.78899
0.65857	0.15541	3.80582
0.66026	0.15480	3.82259
0.66195	0.15421	3.83930
0.66364	0.15364	3.85595
0.66533	0.15310	3.87254
0.66702	0.15258	3.88907
0.66871	0.15208	3.90554
0.67040	0.15159	3.92196
0.67209	0.15113	3.93833
0.67378	0.15069	3.95464
0.67546	0.15027	3.97090
0.67715	0.14986	3.98711
0.67884	0.14948	4.00327
0.68053	0.14911	4.01938
0.68222	0.14875	4.03544
0.68391	0.14842	4.05146
0.68560	0.14810	4.06742
0.68729	0.14779	4.08335
0.68898	0.14750	4.09923
0.69067	0.14722	4.11506
0.69236	0.14696	4.13086
0.69405	0.14671	4.14661
0.69574	0.14648	4.16232
0.69743	0.14626	4.17799
0.69912	0.14605	4.19362
0.70081	0.14586	4.20921
0.70250	0.14567	4.22476
0.70419	0.14550	4.24028
0.70588	0.14534	4.25575
0.70757	0.14519	4.27120
0.70926	0.14506	4.28660
0.71095	0.14493	4.30198
0.71264	0.14481	4.31731
0.71433	0.14471	4.33262
0.71602	0.14462	4.34789
0.71771	0.14453	4.36313
0.71940	0.14446	4.37833
0.72109	0.14439	4.39351
0.72278	0.14433	4.40865
0.72447	0.14429	4.42376
0.72616	0.14425	4.43885
0.72785	0.14422	4.45390
0.72954	0.14420	4.46893
0.73122	0.14419	4.48392
0.73291	0.14418	4.49889
0.73460	0.14419	4.51383
0.73629	0.14420	4.52874
0.73798	0.14422	4.54363
0.73967	0.14425	4.55849
0.74136	0.14428	4.57333
0.74305	0.14432	4.58813
0.74474	0.14437	4.60292
0.74643	0.14443	4.61768
0.74812	0.14449	4.63241
0.74981	0.14456	4.64712
0.75150	0.14464	4.66181
0.75319	0.14472	4.67647
0.75488	0.14481	4.69111
0.75657	0.14491	4.70573
0.75826	0.14501	4.72033
0.75995	0.14512	4.73490
0.76164	0.14523	4.74945
0.76333	0.14535	4.76398
0.76502	0.14548	4.77849
0.76671	0.14561	4.79298
0.76840	0.14575	4.80745
0.77009	0.14589	4.82190
0.77178	0.14604	4.83633
0.77347	0.14619	4.85074
0.77516	0.14635	4.86513
0.77685	0.14651	4.87950
0.77854	0.14668	4.89385
0.78023	0.14685	4.90818
0.78192	0.14703	4.92250
0.78361	0.14721	4.93680
0.78530	0.14740	4.95107
0.78699	0.14759	4.96534
0.78867	0.14779	4.97958
0.79036	0.14799	4.99381
0.79205	0.14820	5.00802
0.79374	0.14841	5.02221
0.79543	0.14862	5.03639
0.79712	0.14884	5.05055
0.79881	0.14907	5.06469
0.80050	0.14929	5.07882
0.80219	0.14952	5.09293
0.80388	0.14976	5.10703
0.80557	0.15000	5.12111
0.80726	0.15024	5.13518
0.80895	0.15049	5.14923
0.81064	0.15074	5.16327
0.81233	0.15100	5.17729
0.81402	0.15125	5.19130
0.81571	0.15152	5.20530
0.81740	0.15178	5.21928
0.81909	0.15205	5.23324
0.82078	0.15232	5.24720
0.82247	0.15260	5.26114
0.82416	0.15288	5.27506
0.82585	0.15316	5.28898
0.82754	0.15345	5.30288
0.82923	0.15374	5.31676
0.83092	0.15403	5.33064
0.83261	0.15433	5.34450
0.83430	0.15463	5.35835
0.83599	0.15493	5.37219
0.83768	0.15524	5.38601
0.83937	0.15555	5.39982
0.84106	0.15586	5.41362
0.84275	0.15618	5.42741
0.84443	0.15649	5.44119
0.84612	0.15681	5.45496
0.84781	0.15714	5.46871
0.84950	0.15747	5.48245
0.85119	0.15780	5.49619
0.85288	0.15813	5.50991
0.85457	0.15846	5.52362
0.85626	0.15880	5.53732
0.85795	0.15914	5.55101
0.85964	0.15949	5.56468
0.86133	0.15983	5.57835
0.86302	0.16018	5.59201
0.86471	0.16053	5.60566
0.86640	0.16089	5.61929
0.86809	0.16124	5.63292
0.86978	0.16160	5.64654
0.87147	0.16197	5.66014
0.87316	0.16233	5.67374
0.87485	0.16270	5.68733
0.87654	0.16307	5.70091
0.87823	0.16344	5.71448
0.87992	0.16381	5.72804
0.88161	0.16419	5.74159
0.88330	0.16457	5.75513
0.88499	0.16495	5.76866
0.88668	0.16533	5.78219
0.88837	0.16572	5.79570
0.89006	0.16611	5.80921
0.89175	0.16650	5.82270
0.89344	0.16689	5.83619
0.89513	0.16729	5.84967
0.89682	0.16769	5.86314
0.89851	0.16809	5.87661
0.90020	0.16849	5.89006
0.90188	0.16889	5.90351
0.90357	0.16930	5.91695
0.90526	0.16971	5.93038
0.90695	0.17012	5.94380
0.90864	0.17053	5.95722
0.91033	0.17095	5.97062
0.91202	0.17136	5.98402
0.91371	0.17178	5.99741
0.91540	0.17220	6.01080
0.91709	0.17263	6.02417
0.91878	0.17305	6.03754
0.92047	0.17348	6.05090
0.92216	0.17391	6.06426
0.92385	0.17434	6.07760
0.92554	0.17477	6.09094
0.92723	0.17521	6.10428
0.92892	0.17564	6.11760
0.93061	0.17608	6.13092
0.93230	0.17652	6.14423
0.93399	0.17697	6.15754
0.93568	0.17741	6.17083
0.93737	0.17786	6.18413
0.93906	0.17830	6.19741
0.94075	0.17875	6.21069
0.94244	0.17921	6.22396
0.94413	0.17966	6.23722
0.94582	0.18012	6.25048
0.94751	0.18057	6.26373
0.94920	0.18103	6.27698
0.95089	0.18149	6.29022
0.95258	0.18196	6.30345
0.95427	0.18242	6.31668
0.95596	0.18289	6.32990
0.95764	0.18336	6.34311
0.95933	0.18383	6.35632
0.96102	0.18430	6.36952
0.96271	0.18477	6.38272
0.96440	0.18525	6.39591
0.96609	0.18572	6.40909
0.96778	0.18620	6.42227
0.96947	0.18668	6.43544
0.97116	0.18716	6.44861
0.97285	0.18765	6.46177
0.97454	0.18813	6.47493
0.97623	0.18862	6.48808
0.97792	0.18911	6.50122
0.97961	0.18960	6.51436
0.98130	0.19009	6.52750
0.98299	0.19058	6.54062
0.98468	0.19108	6.55375
0.98637	0.19157	6.56687
0.98806	0.19207	6.57998
0.98975	0.19257	6.59308
0.99144	0.19307	6.60619
0.99313	0.19358	6.61928
0.99482	0.19408	6.63238
0.99651	0.19459	6.64546
0.99820	0.19510	6.65854
0.99989	0.19560	6.67162
1.00158	0.19612	6.68469
1.00327	0.19663	6.69776
1.00496	0.19714	6.71082
1.00665	0.19766	6.72388
1.00834	0.19817	6.73693
1.01003	0.19869	6.74998
1.01172	0.19921	6.76302
1.01341	0.19973	6.77606
1.01509	0.20026	6.78909
1.01678	0.20078	6.80212
1.01847	0.20131	6.81514
1.02016	0.20183	6.82816
1.02185	0.20236	6.84118
1.02354	0.20289	6.85419
1.02523	0.20342	6.86720
1.02692	0.20396	6.88020
1.02861	0.20449	6.89319
1.03030	0.20503	6.90619
1.03199	0.20557	6.91917
1.03368	0.20610	6.93216
1.03537	0.20664	6.94514
1.03706	0.20719	6.95811
1.03875	0.20773	6.97109
1.04044	0.20827	6.98405
1.04213	0.20882	6.99702
1.04382	0.20937	7.00997
1.04551	0.20992	7.02293
1.04720	0.21047	7.03588
