Refractive index of gold at +61K
lambda [um]	n	k
0.55043	0.34595	2.48400
0.55212	0.33761	2.51172
0.55381	0.32970	2.53904
0.55550	0.32218	2.56598
0.55719	0.31503	2.59256
0.55888	0.30824	2.61878
0.56057	0.30177	2.64465
0.56225	0.29561	2.67020
0.56394	0.28973	2.69542
0.56563	0.28413	2.72034
0.56732	0.27878	2.74495
0.56901	0.27368	2.76928
0.57070	0.26880	2.79332
0.57239	0.26413	2.81710
0.57408	0.25967	2.84061
0.57577	0.25540	2.86387
0.57746	0.25131	2.88689
0.57915	0.24739	2.90967
0.58084	0.24364	2.93223
0.58253	0.24004	2.95456
0.58422	0.23659	2.97668
0.58591	0.23328	2.99859
0.58760	0.23010	3.02030
0.58929	0.22704	3.04182
0.59098	0.22411	3.06315
0.59267	0.22129	3.08429
0.59436	0.21859	3.10526
0.59605	0.21598	3.12606
0.59774	0.21348	3.14670
0.59943	0.21107	3.16717
0.60112	0.20875	3.18748
0.60281	0.20652	3.20765
0.60450	0.20437	3.22766
0.60619	0.20230	3.24754
0.60788	0.20031	3.26727
0.60957	0.19839	3.28687
0.61126	0.19654	3.30634
0.61295	0.19476	3.32568
0.61464	0.19305	3.34489
0.61633	0.19139	3.36399
0.61801	0.18980	3.38296
0.61970	0.18826	3.40183
0.62139	0.18678	3.42058
0.62308	0.18535	3.43922
0.62477	0.18397	3.45776
0.62646	0.18264	3.47620
0.62815	0.18136	3.49453
0.62984	0.18013	3.51277
0.63153	0.17894	3.53091
0.63322	0.17779	3.54896
0.63491	0.17668	3.56692
0.63660	0.17561	3.58479
0.63829	0.17458	3.60258
0.63998	0.17359	3.62028
0.64167	0.17263	3.63790
0.64336	0.17171	3.65544
0.64505	0.17082	3.67290
0.64674	0.16997	3.69028
0.64843	0.16914	3.70759
0.65012	0.16835	3.72483
0.65181	0.16758	3.74199
0.65350	0.16684	3.75909
0.65519	0.16613	3.77612
0.65688	0.16545	3.79308
0.65857	0.16479	3.80997
0.66026	0.16416	3.82681
0.66195	0.16355	3.84358
0.66364	0.16297	3.86029
0.66533	0.16241	3.87694
0.66702	0.16187	3.89353
0.66871	0.16135	3.91006
0.67040	0.16086	3.92654
0.67209	0.16038	3.94296
0.67378	0.15992	3.95933
0.67546	0.15949	3.97565
0.67715	0.15907	3.99191
0.67884	0.15867	4.00813
0.68053	0.15829	4.02429
0.68222	0.15792	4.04041
0.68391	0.15758	4.05648
0.68560	0.15725	4.07250
0.68729	0.15693	4.08848
0.68898	0.15663	4.10441
0.69067	0.15635	4.12029
0.69236	0.15608	4.13614
0.69405	0.15582	4.15194
0.69574	0.15558	4.16770
0.69743	0.15536	4.18342
0.69912	0.15514	4.19910
0.70081	0.15494	4.21474
0.70250	0.15475	4.23034
0.70419	0.15458	4.24590
0.70588	0.15442	4.26143
0.70757	0.15427	4.27692
0.70926	0.15413	4.29237
0.71095	0.15400	4.30779
0.71264	0.15388	4.32317
0.71433	0.15377	4.33852
0.71602	0.15368	4.35383
0.71771	0.15359	4.36912
0.71940	0.15352	4.38437
0.72109	0.15346	4.39958
0.72278	0.15340	4.41477
0.72447	0.15335	4.42993
0.72616	0.15332	4.44505
0.72785	0.15329	4.46015
0.72954	0.15327	4.47521
0.73122	0.15326	4.49025
0.73291	0.15326	4.50526
0.73460	0.15327	4.52024
0.73629	0.15329	4.53519
0.73798	0.15331	4.55012
0.73967	0.15334	4.56502
0.74136	0.15338	4.57989
0.74305	0.15343	4.59474
0.74474	0.15349	4.60956
0.74643	0.15355	4.62435
0.74812	0.15362	4.63913
0.74981	0.15370	4.65387
0.75150	0.15378	4.66860
0.75319	0.15387	4.68330
0.75488	0.15397	4.69797
0.75657	0.15407	4.71263
0.75826	0.15418	4.72726
0.75995	0.15430	4.74187
0.76164	0.15442	4.75645
0.76333	0.15455	4.77102
0.76502	0.15469	4.78556
0.76671	0.15483	4.80008
0.76840	0.15497	4.81459
0.77009	0.15513	4.82907
0.77178	0.15529	4.84353
0.77347	0.15545	4.85797
0.77516	0.15562	4.87239
0.77685	0.15579	4.88679
0.77854	0.15597	4.90118
0.78023	0.15616	4.91554
0.78192	0.15635	4.92989
0.78361	0.15655	4.94421
0.78530	0.15675	4.95852
0.78699	0.15695	4.97282
0.78867	0.15716	4.98709
0.79036	0.15738	5.00135
0.79205	0.15760	5.01559
0.79374	0.15782	5.02981
0.79543	0.15805	5.04402
0.79712	0.15828	5.05820
0.79881	0.15852	5.07238
0.80050	0.15876	5.08653
0.80219	0.15901	5.10068
0.80388	0.15926	5.11480
0.80557	0.15952	5.12891
0.80726	0.15977	5.14301
0.80895	0.16004	5.15709
0.81064	0.16030	5.17115
0.81233	0.16058	5.18520
0.81402	0.16085	5.19924
0.81571	0.16113	5.21326
0.81740	0.16141	5.22726
0.81909	0.16170	5.24126
0.82078	0.16199	5.25524
0.82247	0.16228	5.26920
0.82416	0.16258	5.28315
0.82585	0.16288	5.29709
0.82754	0.16319	5.31102
0.82923	0.16349	5.32493
0.83092	0.16381	5.33883
0.83261	0.16412	5.35271
0.83430	0.16444	5.36659
0.83599	0.16476	5.38045
0.83768	0.16509	5.39430
0.83937	0.16542	5.40813
0.84106	0.16575	5.42196
0.84275	0.16608	5.43577
0.84443	0.16642	5.44957
0.84612	0.16676	5.46336
0.84781	0.16711	5.47714
0.84950	0.16745	5.49091
0.85119	0.16780	5.50466
0.85288	0.16816	5.51840
0.85457	0.16851	5.53214
0.85626	0.16887	5.54586
0.85795	0.16923	5.55957
0.85964	0.16960	5.57327
0.86133	0.16997	5.58696
0.86302	0.17034	5.60064
0.86471	0.17071	5.61431
0.86640	0.17109	5.62797
0.86809	0.17147	5.64161
0.86978	0.17185	5.65525
0.87147	0.17223	5.66888
0.87316	0.17262	5.68250
0.87485	0.17301	5.69611
0.87654	0.17340	5.70971
0.87823	0.17380	5.72330
0.87992	0.17419	5.73688
0.88161	0.17459	5.75045
0.88330	0.17500	5.76401
0.88499	0.17540	5.77756
0.88668	0.17581	5.79111
0.88837	0.17622	5.80464
0.89006	0.17663	5.81817
0.89175	0.17705	5.83168
0.89344	0.17747	5.84519
0.89513	0.17788	5.85869
0.89682	0.17831	5.87218
0.89851	0.17873	5.88566
0.90020	0.17916	5.89914
0.90188	0.17959	5.91260
0.90357	0.18002	5.92606
0.90526	0.18045	5.93951
0.90695	0.18089	5.95295
0.90864	0.18133	5.96638
0.91033	0.18177	5.97981
0.91202	0.18221	5.99323
0.91371	0.18265	6.00664
0.91540	0.18310	6.02004
0.91709	0.18355	6.03343
0.91878	0.18400	6.04682
0.92047	0.18445	6.06020
0.92216	0.18491	6.07357
0.92385	0.18537	6.08693
0.92554	0.18583	6.10029
0.92723	0.18629	6.11364
0.92892	0.18675	6.12698
0.93061	0.18722	6.14032
0.93230	0.18769	6.15365
0.93399	0.18816	6.16697
0.93568	0.18863	6.18028
0.93737	0.18910	6.19359
0.93906	0.18958	6.20689
0.94075	0.19006	6.22019
0.94244	0.19054	6.23348
0.94413	0.19102	6.24676
0.94582	0.19150	6.26003
0.94751	0.19199	6.27330
0.94920	0.19248	6.28656
0.95089	0.19297	6.29982
0.95258	0.19346	6.31306
0.95427	0.19395	6.32631
0.95596	0.19444	6.33954
0.95764	0.19494	6.35277
0.95933	0.19544	6.36600
0.96102	0.19594	6.37921
0.96271	0.19644	6.39243
0.96440	0.19695	6.40563
0.96609	0.19745	6.41883
0.96778	0.19796	6.43203
0.96947	0.19847	6.44521
0.97116	0.19898	6.45840
0.97285	0.19950	6.47157
0.97454	0.20001	6.48474
0.97623	0.20053	6.49791
0.97792	0.20105	6.51107
0.97961	0.20157	6.52422
0.98130	0.20209	6.53737
0.98299	0.20261	6.55052
0.98468	0.20314	6.56365
0.98637	0.20367	6.57679
0.98806	0.20419	6.58991
0.98975	0.20473	6.60303
0.99144	0.20526	6.61615
0.99313	0.20579	6.62926
0.99482	0.20633	6.64237
0.99651	0.20686	6.65547
0.99820	0.20740	6.66857
0.99989	0.20794	6.68166
1.00158	0.20849	6.69474
1.00327	0.20903	6.70782
1.00496	0.20957	6.72090
1.00665	0.21012	6.73397
1.00834	0.21067	6.74704
1.01003	0.21122	6.76010
1.01172	0.21177	6.77315
1.01341	0.21233	6.78620
