Refractive index of gold at +63K
lambda [um]	n	k
0.55043	0.34622	2.48462
0.55212	0.33788	2.51233
0.55381	0.32996	2.53964
0.55550	0.32244	2.56658
0.55719	0.31530	2.59315
0.55888	0.30850	2.61936
0.56057	0.30203	2.64523
0.56225	0.29586	2.67077
0.56394	0.28999	2.69599
0.56563	0.28438	2.72090
0.56732	0.27904	2.74551
0.56901	0.27393	2.76983
0.57070	0.26905	2.79387
0.57239	0.26438	2.81764
0.57408	0.25992	2.84115
0.57577	0.25565	2.86441
0.57746	0.25156	2.88743
0.57915	0.24764	2.91021
0.58084	0.24389	2.93276
0.58253	0.24029	2.95509
0.58422	0.23683	2.97721
0.58591	0.23352	2.99912
0.58760	0.23034	3.02083
0.58929	0.22729	3.04234
0.59098	0.22435	3.06367
0.59267	0.22153	3.08482
0.59436	0.21882	3.10579
0.59605	0.21622	3.12659
0.59774	0.21371	3.14722
0.59943	0.21130	3.16769
0.60112	0.20899	3.18801
0.60281	0.20675	3.20817
0.60450	0.20461	3.22819
0.60619	0.20254	3.24806
0.60788	0.20054	3.26779
0.60957	0.19863	3.28739
0.61126	0.19678	3.30686
0.61295	0.19500	3.32620
0.61464	0.19328	3.34542
0.61633	0.19162	3.36452
0.61801	0.19003	3.38349
0.61970	0.18849	3.40236
0.62139	0.18701	3.42111
0.62308	0.18558	3.43976
0.62477	0.18420	3.45830
0.62646	0.18287	3.47673
0.62815	0.18159	3.49507
0.62984	0.18036	3.51331
0.63153	0.17917	3.53145
0.63322	0.17802	3.54950
0.63491	0.17691	3.56746
0.63660	0.17584	3.58534
0.63829	0.17481	3.60312
0.63998	0.17382	3.62082
0.64167	0.17286	3.63844
0.64336	0.17194	3.65599
0.64505	0.17105	3.67345
0.64674	0.17020	3.69083
0.64843	0.16937	3.70814
0.65012	0.16858	3.72538
0.65181	0.16781	3.74255
0.65350	0.16707	3.75965
0.65519	0.16636	3.77668
0.65688	0.16568	3.79364
0.65857	0.16502	3.81054
0.66026	0.16439	3.82737
0.66195	0.16378	3.84414
0.66364	0.16320	3.86086
0.66533	0.16264	3.87751
0.66702	0.16210	3.89410
0.66871	0.16158	3.91064
0.67040	0.16109	3.92712
0.67209	0.16061	3.94354
0.67378	0.16016	3.95991
0.67546	0.15972	3.97623
0.67715	0.15930	3.99250
0.67884	0.15890	4.00872
0.68053	0.15852	4.02488
0.68222	0.15816	4.04100
0.68391	0.15781	4.05707
0.68560	0.15748	4.07310
0.68729	0.15717	4.08907
0.68898	0.15687	4.10501
0.69067	0.15658	4.12090
0.69236	0.15631	4.13674
0.69405	0.15606	4.15255
0.69574	0.15582	4.16831
0.69743	0.15559	4.18403
0.69912	0.15538	4.19971
0.70081	0.15518	4.21536
0.70250	0.15499	4.23096
0.70419	0.15482	4.24652
0.70588	0.15465	4.26205
0.70757	0.15450	4.27754
0.70926	0.15437	4.29300
0.71095	0.15424	4.30842
0.71264	0.15412	4.32380
0.71433	0.15402	4.33916
0.71602	0.15392	4.35447
0.71771	0.15384	4.36976
0.71940	0.15376	4.38501
0.72109	0.15370	4.40023
0.72278	0.15364	4.41542
0.72447	0.15360	4.43058
0.72616	0.15356	4.44570
0.72785	0.15354	4.46080
0.72954	0.15352	4.47587
0.73122	0.15351	4.49091
0.73291	0.15351	4.50592
0.73460	0.15352	4.52090
0.73629	0.15354	4.53586
0.73798	0.15356	4.55079
0.73967	0.15359	4.56569
0.74136	0.15363	4.58056
0.74305	0.15368	4.59541
0.74474	0.15374	4.61024
0.74643	0.15380	4.62504
0.74812	0.15387	4.63981
0.74981	0.15395	4.65456
0.75150	0.15403	4.66929
0.75319	0.15412	4.68399
0.75488	0.15422	4.69867
0.75657	0.15433	4.71332
0.75826	0.15444	4.72796
0.75995	0.15456	4.74257
0.76164	0.15468	4.75716
0.76333	0.15481	4.77172
0.76502	0.15494	4.78627
0.76671	0.15509	4.80080
0.76840	0.15523	4.81530
0.77009	0.15539	4.82978
0.77178	0.15555	4.84425
