Refractive index of gold at +2K
lambda [um]	n	k
0.55043	0.33237	2.48676
0.55212	0.32410	2.51444
0.55381	0.31626	2.54171
0.55550	0.30883	2.56860
0.55719	0.30176	2.59512
0.55888	0.29505	2.62127
0.56057	0.28866	2.64708
0.56225	0.28258	2.67255
0.56394	0.27680	2.69770
0.56563	0.27128	2.72253
0.56732	0.26602	2.74706
0.56901	0.26100	2.77130
0.57070	0.25620	2.79526
0.57239	0.25162	2.81894
0.57408	0.24724	2.84237
0.57577	0.24306	2.86554
0.57746	0.23905	2.88846
0.57915	0.23522	2.91114
0.58084	0.23154	2.93360
0.58253	0.22802	2.95584
0.58422	0.22465	2.97786
0.58591	0.22141	2.99967
0.58760	0.21831	3.02128
0.58929	0.21533	3.04270
0.59098	0.21246	3.06393
0.59267	0.20972	3.08497
0.59436	0.20708	3.10584
0.59605	0.20454	3.12654
0.59774	0.20210	3.14708
0.59943	0.19976	3.16745
0.60112	0.19750	3.18767
0.60281	0.19533	3.20773
0.60450	0.19324	3.22765
0.60619	0.19123	3.24742
0.60788	0.18930	3.26706
0.60957	0.18744	3.28656
0.61126	0.18564	3.30593
0.61295	0.18391	3.32518
0.61464	0.18225	3.34430
0.61633	0.18065	3.36330
0.61801	0.17910	3.38219
0.61970	0.17761	3.40096
0.62139	0.17617	3.41962
0.62308	0.17479	3.43817
0.62477	0.17346	3.45662
0.62646	0.17217	3.47496
0.62815	0.17093	3.49321
0.62984	0.16974	3.51136
0.63153	0.16859	3.52941
0.63322	0.16747	3.54738
0.63491	0.16640	3.56525
0.63660	0.16537	3.58303
0.63829	0.16438	3.60073
0.63998	0.16342	3.61835
0.64167	0.16249	3.63589
0.64336	0.16160	3.65334
0.64505	0.16074	3.67072
0.64674	0.15992	3.68803
0.64843	0.15912	3.70526
0.65012	0.15835	3.72242
0.65181	0.15761	3.73950
0.65350	0.15690	3.75652
0.65519	0.15622	3.77347
0.65688	0.15556	3.79036
0.65857	0.15492	3.80718
0.66026	0.15431	3.82394
0.66195	0.15373	3.84063
0.66364	0.15316	3.85727
0.66533	0.15262	3.87385
0.66702	0.15210	3.89037
0.66871	0.15160	3.90683
0.67040	0.15112	3.92324
0.67209	0.15067	3.93959
0.67378	0.15023	3.95589
0.67546	0.14980	3.97214
0.67715	0.14940	3.98834
0.67884	0.14902	4.00449
0.68053	0.14865	4.02058
0.68222	0.14830	4.03664
0.68391	0.14796	4.05264
0.68560	0.14764	4.06860
0.68729	0.14734	4.08451
0.68898	0.14705	4.10038
0.69067	0.14677	4.11621
0.69236	0.14651	4.13199
0.69405	0.14626	4.14773
0.69574	0.14603	4.16343
0.69743	0.14581	4.17909
0.69912	0.14560	4.19471
0.70081	0.14541	4.21029
0.70250	0.14523	4.22583
0.70419	0.14506	4.24134
0.70588	0.14490	4.25681
0.70757	0.14475	4.27224
0.70926	0.14462	4.28764
0.71095	0.14449	4.30300
0.71264	0.14438	4.31833
0.71433	0.14427	4.33362
0.71602	0.14418	4.34889
0.71771	0.14410	4.36411
0.71940	0.14402	4.37931
0.72109	0.14396	4.39448
0.72278	0.14390	4.40961
0.72447	0.14385	4.42472
0.72616	0.14382	4.43979
0.72785	0.14379	4.45484
0.72954	0.14377	4.46985
0.73122	0.14376	4.48484
0.73291	0.14375	4.49980
0.73460	0.14376	4.51473
0.73629	0.14377	4.52964
0.73798	0.14379	4.54452
0.73967	0.14382	4.55937
0.74136	0.14385	4.57419
0.74305	0.14390	4.58900
0.74474	0.14395	4.60377
0.74643	0.14400	4.61852
0.74812	0.14407	4.63325
0.74981	0.14414	4.64795
0.75150	0.14421	4.66263
0.75319	0.14430	4.67729
0.75488	0.14439	4.69192
0.75657	0.14448	4.70653
0.75826	0.14459	4.72112
0.75995	0.14469	4.73568
0.76164	0.14481	4.75023
0.76333	0.14493	4.76475
0.76502	0.14505	4.77925
0.76671	0.14518	4.79374
0.76840	0.14532	4.80820
0.77009	0.14546	4.82264
0.77178	0.14561	4.83706
0.77347	0.14577	4.85146
0.77516	0.14592	4.86584
0.77685	0.14609	4.88021
0.77854	0.14626	4.89455
0.78023	0.14643	4.90888
0.78192	0.14661	4.92319
0.78361	0.14679	4.93748
0.78530	0.14698	4.95175
0.78699	0.14717	4.96600
0.78867	0.14737	4.98024
0.79036	0.14757	4.99446
0.79205	0.14777	5.00866
0.79374	0.14798	5.02285
0.79543	0.14820	5.03702
0.79712	0.14842	5.05118
0.79881	0.14864	5.06531
0.80050	0.14887	5.07944
0.80219	0.14910	5.09354
0.80388	0.14933	5.10763
0.80557	0.14957	5.12171
0.80726	0.14982	5.13577
0.80895	0.15006	5.14982
0.81064	0.15031	5.16385
0.81233	0.15057	5.17786
0.81402	0.15083	5.19187
0.81571	0.15109	5.20586
0.81740	0.15136	5.21983
0.81909	0.15162	5.23379
0.82078	0.15190	5.24774
0.82247	0.15217	5.26167
0.82416	0.15245	5.27559
0.82585	0.15274	5.28950
0.82754	0.15302	5.30339
0.82923	0.15331	5.31727
0.83092	0.15360	5.33114
0.83261	0.15390	5.34500
0.83430	0.15420	5.35884
0.83599	0.15450	5.37267
0.83768	0.15481	5.38649
0.83937	0.15512	5.40030
0.84106	0.15543	5.41409
0.84275	0.15574	5.42788
0.84443	0.15606	5.44165
0.84612	0.15638	5.45541
0.84781	0.15670	5.46916
0.84950	0.15703	5.48290
0.85119	0.15736	5.49662
0.85288	0.15769	5.51034
0.85457	0.15803	5.52404
0.85626	0.15837	5.53774
0.85795	0.15871	5.55142
0.85964	0.15905	5.56509
