Refractive index of gold at +86K
lambda [um]	n	k
0.55043	0.35385	2.49308
0.55212	0.34516	2.52078
0.55381	0.33692	2.54810
0.55550	0.32909	2.57504
0.55719	0.32166	2.60161
0.55888	0.31459	2.62784
0.56057	0.30786	2.65373
0.56225	0.30146	2.67928
0.56394	0.29537	2.70452
0.56563	0.28955	2.72945
0.56732	0.28401	2.75409
0.56901	0.27872	2.77844
0.57070	0.27367	2.80251
0.57239	0.26884	2.82631
0.57408	0.26422	2.84985
0.57577	0.25981	2.87314
0.57746	0.25558	2.89618
0.57915	0.25154	2.91899
0.58084	0.24766	2.94158
0.58253	0.24395	2.96394
0.58422	0.24039	2.98609
0.58591	0.23698	3.00804
0.58760	0.23370	3.02978
0.58929	0.23056	3.05133
0.59098	0.22754	3.07269
0.59267	0.22464	3.09388
0.59436	0.22186	3.11488
0.59605	0.21919	3.13572
0.59774	0.21661	3.15639
0.59943	0.21414	3.17689
0.60112	0.21176	3.19725
0.60281	0.20947	3.21745
0.60450	0.20727	3.23750
0.60619	0.20515	3.25741
0.60788	0.20312	3.27718
0.60957	0.20115	3.29682
0.61126	0.19926	3.31633
0.61295	0.19744	3.33571
0.61464	0.19569	3.35496
0.61633	0.19400	3.37410
0.61801	0.19237	3.39311
0.61970	0.19080	3.41202
0.62139	0.18929	3.43081
0.62308	0.18783	3.44949
0.62477	0.18643	3.46807
0.62646	0.18508	3.48655
0.62815	0.18377	3.50493
0.62984	0.18252	3.52321
0.63153	0.18131	3.54139
0.63322	0.18014	3.55948
0.63491	0.17901	3.57749
0.63660	0.17793	3.59540
0.63829	0.17688	3.61323
0.63998	0.17588	3.63097
0.64167	0.17491	3.64864
0.64336	0.17397	3.66622
0.64505	0.17307	3.68372
0.64674	0.17221	3.70115
0.64843	0.17137	3.71851
0.65012	0.17057	3.73579
0.65181	0.16979	3.75300
0.65350	0.16905	3.77014
0.65519	0.16833	3.78721
0.65688	0.16764	3.80422
0.65857	0.16698	3.82116
0.66026	0.16634	3.83804
0.66195	0.16573	3.85486
0.66364	0.16515	3.87162
0.66533	0.16458	3.88831
0.66702	0.16404	3.90495
0.66871	0.16352	3.92153
0.67040	0.16302	3.93806
0.67209	0.16255	3.95453
0.67378	0.16209	3.97095
0.67546	0.16165	3.98731
0.67715	0.16124	4.00362
0.67884	0.16084	4.01989
0.68053	0.16046	4.03610
0.68222	0.16009	4.05227
0.68391	0.15975	4.06839
0.68560	0.15942	4.08446
0.68729	0.15911	4.10048
0.68898	0.15881	4.11646
0.69067	0.15853	4.13240
0.69236	0.15827	4.14830
0.69405	0.15801	4.16415
0.69574	0.15778	4.17996
0.69743	0.15755	4.19573
0.69912	0.15735	4.21146
0.70081	0.15715	4.22715
0.70250	0.15697	4.24280
0.70419	0.15680	4.25842
0.70588	0.15664	4.27399
0.70757	0.15649	4.28953
0.70926	0.15636	4.30504
0.71095	0.15624	4.32051
0.71264	0.15613	4.33594
0.71433	0.15603	4.35134
0.71602	0.15594	4.36671
0.71771	0.15586	4.38205
0.71940	0.15579	4.39735
0.72109	0.15574	4.41262
0.72278	0.15569	4.42786
0.72447	0.15565	4.44307
0.72616	0.15562	4.45825
0.72785	0.15560	4.47339
0.72954	0.15559	4.48851
0.73122	0.15559	4.50360
0.73291	0.15560	4.51867
0.73460	0.15562	4.53370
0.73629	0.15564	4.54871
0.73798	0.15567	4.56369
0.73967	0.15571	4.57864
0.74136	0.15576	4.59357
0.74305	0.15582	4.60847
0.74474	0.15588	4.62334
0.74643	0.15595	4.63820
0.74812	0.15603	4.65302
0.74981	0.15612	4.66782
0.75150	0.15621	4.68260
0.75319	0.15631	4.69736
0.75488	0.15642	4.71209
0.75657	0.15653	4.72680
0.75826	0.15665	4.74148
0.75995	0.15678	4.75615
0.76164	0.15691	4.77079
0.76333	0.15705	4.78541
0.76502	0.15720	4.80001
0.76671	0.15735	4.81459
0.76840	0.15750	4.82914
0.77009	0.15767	4.84368
0.77178	0.15784	4.85820
0.77347	0.15801	4.87269
0.77516	0.15819	4.88717
0.77685	0.15837	4.90163
0.77854	0.15857	4.91607
0.78023	0.15876	4.93049
0.78192	0.15896	4.94489
0.78361	0.15917	4.95928
0.78530	0.15938	4.97364
0.78699	0.15960	4.98799
0.78867	0.15982	5.00232
0.79036	0.16004	5.01663
0.79205	0.16027	5.03093
0.79374	0.16051	5.04521
0.79543	0.16075	5.05947
0.79712	0.16099	5.07372
0.79881	0.16124	5.08795
0.80050	0.16150	5.10216
0.80219	0.16175	5.11636
0.80388	0.16202	5.13054
0.80557	0.16228	5.14471
0.80726	0.16255	5.15886
0.80895	0.16283	5.17300
0.81064	0.16311	5.18712
0.81233	0.16339	5.20123
0.81402	0.16367	5.21532
0.81571	0.16397	5.22940
0.81740	0.16426	5.24346
0.81909	0.16456	5.25751
0.82078	0.16486	5.27155
0.82247	0.16517	5.28557
0.82416	0.16547	5.29958
0.82585	0.16579	5.31358
0.82754	0.16610	5.32756
0.82923	0.16642	5.34153
0.83092	0.16675	5.35549
0.83261	0.16707	5.36943
0.83430	0.16741	5.38336
0.83599	0.16774	5.39728
0.83768	0.16808	5.41119
0.83937	0.16842	5.42508
0.84106	0.16876	5.43896
0.84275	0.16911	5.45283
0.84443	0.16946	5.46669
0.84612	0.16981	5.48054
0.84781	0.17017	5.49437
0.84950	0.17053	5.50820
0.85119	0.17089	5.52201
0.85288	0.17126	5.53581
0.85457	0.17162	5.54960
0.85626	0.17200	5.56338
0.85795	0.17237	5.57715
0.85964	0.17275	5.59091
0.86133	0.17313	5.60466
0.86302	0.17351	5.61839
0.86471	0.17390	5.63212
0.86640	0.17429	5.64584
0.86809	0.17468	5.65954
0.86978	0.17507	5.67324
