Refractive index of gold at +91K
lambda [um]	n	k
0.55043	0.35626	2.49769
0.55212	0.34740	2.52534
0.55381	0.33901	2.55261
0.55550	0.33104	2.57951
0.55719	0.32347	2.60605
0.55888	0.31628	2.63225
0.56057	0.30944	2.65810
0.56225	0.30293	2.68363
0.56394	0.29673	2.70885
0.56563	0.29083	2.73376
0.56732	0.28519	2.75837
0.56901	0.27982	2.78270
0.57070	0.27469	2.80675
0.57239	0.26979	2.83053
0.57408	0.26510	2.85406
0.57577	0.26062	2.87734
0.57746	0.25634	2.90037
0.57915	0.25224	2.92317
0.58084	0.24831	2.94575
0.58253	0.24455	2.96810
0.58422	0.24094	2.99024
0.58591	0.23748	3.01218
0.58760	0.23417	3.03392
0.58929	0.23098	3.05546
0.59098	0.22793	3.07682
0.59267	0.22500	3.09800
0.59436	0.22218	3.11900
0.59605	0.21948	3.13983
0.59774	0.21687	3.16050
0.59943	0.21437	3.18101
0.60112	0.21197	3.20136
0.60281	0.20966	3.22156
0.60450	0.20744	3.24161
0.60619	0.20530	3.26152
0.60788	0.20324	3.28130
0.60957	0.20125	3.30093
0.61126	0.19935	3.32044
0.61295	0.19751	3.33983
0.61464	0.19574	3.35908
0.61633	0.19403	3.37822
0.61801	0.19239	3.39724
0.61970	0.19081	3.41615
0.62139	0.18929	3.43495
0.62308	0.18782	3.45364
0.62477	0.18640	3.47222
0.62646	0.18504	3.49071
0.62815	0.18373	3.50909
0.62984	0.18246	3.52738
0.63153	0.18124	3.54557
0.63322	0.18007	3.56367
0.63491	0.17894	3.58168
0.63660	0.17784	3.59960
0.63829	0.17679	3.61744
0.63998	0.17578	3.63519
0.64167	0.17480	3.65286
0.64336	0.17386	3.67045
0.64505	0.17296	3.68797
0.64674	0.17209	3.70541
0.64843	0.17125	3.72277
0.65012	0.17044	3.74007
0.65181	0.16966	3.75729
0.65350	0.16891	3.77444
0.65519	0.16820	3.79153
0.65688	0.16750	3.80854
0.65857	0.16684	3.82550
0.66026	0.16620	3.84239
0.66195	0.16559	3.85922
0.66364	0.16500	3.87599
0.66533	0.16443	3.89270
0.66702	0.16389	3.90935
0.66871	0.16337	3.92594
0.67040	0.16287	3.94248
0.67209	0.16239	3.95897
0.67378	0.16193	3.97540
0.67546	0.16150	3.99178
0.67715	0.16108	4.00811
0.67884	0.16068	4.02439
0.68053	0.16030	4.04061
0.68222	0.15994	4.05680
0.68391	0.15959	4.07293
0.68560	0.15926	4.08902
0.68729	0.15895	4.10506
0.68898	0.15865	4.12106
0.69067	0.15837	4.13701
0.69236	0.15811	4.15292
0.69405	0.15786	4.16879
0.69574	0.15762	4.18462
0.69743	0.15740	4.20040
0.69912	0.15719	4.21615
0.70081	0.15699	4.23186
0.70250	0.15681	4.24753
0.70419	0.15664	4.26316
0.70588	0.15649	4.27876
0.70757	0.15634	4.29431
0.70926	0.15621	4.30984
0.71095	0.15609	4.32532
0.71264	0.15598	4.34078
0.71433	0.15588	4.35620
0.71602	0.15579	4.37158
0.71771	0.15572	4.38694
0.71940	0.15565	4.40226
0.72109	0.15559	4.41755
0.72278	0.15555	4.43281
0.72447	0.15551	4.44804
0.72616	0.15548	4.46323
0.72785	0.15547	4.47840
0.72954	0.15546	4.49354
0.73122	0.15546	4.50865
0.73291	0.15547	4.52373
0.73460	0.15548	4.53879
0.73629	0.15551	4.55381
0.73798	0.15554	4.56881
0.73967	0.15559	4.58379
0.74136	0.15564	4.59874
0.74305	0.15569	4.61366
0.74474	0.15576	4.62855
0.74643	0.15583	4.64343
0.74812	0.15591	4.65827
0.74981	0.15600	4.67310
0.75150	0.15610	4.68790
0.75319	0.15620	4.70267
0.75488	0.15631	4.71742
0.75657	0.15642	4.73215
0.75826	0.15654	4.74686
0.75995	0.15667	4.76155
0.76164	0.15681	4.77621
0.76333	0.15695	4.79085
0.76502	0.15709	4.80547
0.76671	0.15725	4.82007
0.76840	0.15741	4.83465
0.77009	0.15757	4.84921
0.77178	0.15774	4.86375
0.77347	0.15792	4.87827
0.77516	0.15810	4.89277
0.77685	0.15829	4.90725
0.77854	0.15848	4.92171
0.78023	0.15868	4.93616
0.78192	0.15888	4.95058
0.78361	0.15909	4.96499
0.78530	0.15930	4.97938
0.78699	0.15952	4.99375
0.78867	0.15974	5.00810
0.79036	0.15997	5.02244
0.79205	0.16020	5.03676
0.79374	0.16044	5.05106
0.79543	0.16068	5.06534
0.79712	0.16093	5.07961
0.79881	0.16118	5.09387
0.80050	0.16143	5.10810
0.80219	0.16169	5.12232
0.80388	0.16196	5.13653
0.80557	0.16222	5.15072
0.80726	0.16250	5.16490
0.80895	0.16277	5.17906
0.81064	0.16305	5.19320
0.81233	0.16334	5.20733
0.81402	0.16363	5.22145
0.81571	0.16392	5.23555
0.81740	0.16421	5.24964
0.81909	0.16451	5.26371
0.82078	0.16482	5.27777
0.82247	0.16512	5.29182
0.82416	0.16544	5.30585
0.82585	0.16575	5.31987
0.82754	0.16607	5.33388
0.82923	0.16639	5.34787
0.83092	0.16672	5.36185
0.83261	0.16704	5.37582
0.83430	0.16738	5.38977
0.83599	0.16771	5.40372
0.83768	0.16805	5.41765
0.83937	0.16839	5.43157
0.84106	0.16874	5.44547
0.84275	0.16909	5.45937
0.84443	0.16944	5.47325
0.84612	0.16979	5.48712
0.84781	0.17015	5.50098
0.84950	0.17051	5.51483
0.85119	0.17088	5.52867
0.85288	0.17125	5.54249
0.85457	0.17162	5.55631
0.85626	0.17199	5.57011
0.85795	0.17237	5.58391
0.85964	0.17275	5.59769
0.86133	0.17313	5.61146
0.86302	0.17351	5.62522
0.86471	0.17390	5.63897
0.86640	0.17429	5.65272
0.86809	0.17468	5.66645
0.86978	0.17508	5.68017
0.87147	0.17548	5.69388
0.87316	0.17588	5.70758
0.87485	0.17628	5.72127
0.87654	0.17669	5.73495
0.87823	0.17710	5.74863
0.87992	0.17751	5.76229
0.88161	0.17793	5.77594
0.88330	0.17834	5.78959
0.88499	0.17876	5.80322
0.88668	0.17918	5.81685
0.88837	0.17961	5.83047
0.89006	0.18004	5.84408
0.89175	0.18047	5.85768
0.89344	0.18090	5.87127
0.89513	0.18133	5.88485
0.89682	0.18177	5.89843
0.89851	0.18221	5.91199
0.90020	0.18265	5.92555
0.90188	0.18309	5.93910
0.90357	0.18354	5.95264
0.90526	0.18399	5.96617
0.90695	0.18444	5.97969
0.90864	0.18489	5.99321
0.91033	0.18535	6.00672
0.91202	0.18580	6.02022
0.91371	0.18626	6.03371
0.91540	0.18672	6.04720
0.91709	0.18719	6.06068
0.91878	0.18765	6.07415
0.92047	0.18812	6.08761
0.92216	0.18859	6.10106
0.92385	0.18907	6.11451
0.92554	0.18954	6.12795
0.92723	0.19002	6.14139
0.92892	0.19050	6.15481
0.93061	0.19098	6.16823
0.93230	0.19146	6.18164
0.93399	0.19194	6.19505
0.93568	0.19243	6.20845
0.93737	0.19292	6.22184
0.93906	0.19341	6.23522
0.94075	0.19390	6.24860
0.94244	0.19440	6.26197
0.94413	0.19490	6.27534
0.94582	0.19539	6.28869
0.94751	0.19590	6.30205
0.94920	0.19640	6.31539
0.95089	0.19690	6.32873
0.95258	0.19741	6.34206
0.95427	0.19792	6.35539
0.95596	0.19843	6.36871
0.95764	0.19894	6.38202
0.95933	0.19945	6.39533
0.96102	0.19997	6.40863
0.96271	0.20049	6.42193
0.96440	0.20101	6.43522
0.96609	0.20153	6.44850
0.96778	0.20205	6.46178
0.96947	0.20258	6.47505
0.97116	0.20310	6.48831
0.97285	0.20363	6.50157
0.97454	0.20416	6.51483
0.97623	0.20470	6.52808
0.97792	0.20523	6.54132
0.97961	0.20577	6.55456
0.98130	0.20630	6.56779
0.98299	0.20684	6.58102
0.98468	0.20738	6.59424
0.98637	0.20793	6.60745
0.98806	0.20847	6.62066
0.98975	0.20902	6.63387
0.99144	0.20956	6.64707
0.99313	0.21011	6.66026
0.99482	0.21066	6.67345
0.99651	0.21122	6.68664
0.99820	0.21177	6.69982
0.99989	0.21233	6.71299
1.00158	0.21289	6.72616
1.00327	0.21345	6.73932
1.00496	0.21401	6.75248
1.00665	0.21457	6.76564
1.00834	0.21513	6.77879
1.01003	0.21570	6.79193
1.01172	0.21627	6.80507
1.01341	0.21684	6.81821
1.01509	0.21741	6.83134
1.01678	0.21798	6.84446
1.01847	0.21855	6.85758
1.02016	0.21913	6.87070
1.02185	0.21971	6.88381
1.02354	0.22029	6.89692
1.02523	0.22087	6.91002
1.02692	0.22145	6.92312
1.02861	0.22203	6.93621
1.03030	0.22262	6.94930
1.03199	0.22320	6.96239
1.03368	0.22379	6.97547
1.03537	0.22438	6.98854
1.03706	0.22497	7.00161
1.03875	0.22556	7.01468
1.04044	0.22616	7.02774
1.04213	0.22675	7.04080
1.04382	0.22735	7.05386
1.04551	0.22795	7.06691
1.04720	0.22855	7.07995
