Refractive index of gold at +23K
lambda [um]	n	k
0.55043	0.33516	2.48422
0.55212	0.32694	2.51187
0.55381	0.31915	2.53911
0.55550	0.31175	2.56598
0.55719	0.30472	2.59248
0.55888	0.29804	2.61862
0.56057	0.29168	2.64441
0.56225	0.28563	2.66988
0.56394	0.27986	2.69502
0.56563	0.27436	2.71985
0.56732	0.26911	2.74438
0.56901	0.26410	2.76862
0.57070	0.25931	2.79258
0.57239	0.25474	2.81627
0.57408	0.25036	2.83969
0.57577	0.24618	2.86287
0.57746	0.24217	2.88580
0.57915	0.23834	2.90850
0.58084	0.23466	2.93097
0.58253	0.23114	2.95322
0.58422	0.22776	2.97525
0.58591	0.22452	2.99708
0.58760	0.22141	3.01871
0.58929	0.21842	3.04014
0.59098	0.21556	3.06139
0.59267	0.21280	3.08246
0.59436	0.21016	3.10335
0.59605	0.20761	3.12407
0.59774	0.20516	3.14462
0.59943	0.20281	3.16501
0.60112	0.20055	3.18525
0.60281	0.19837	3.20534
0.60450	0.19627	3.22528
0.60619	0.19425	3.24508
0.60788	0.19231	3.26474
0.60957	0.19044	3.28426
0.61126	0.18863	3.30366
0.61295	0.18689	3.32293
0.61464	0.18522	3.34207
0.61633	0.18361	3.36110
0.61801	0.18205	3.38001
0.61970	0.18055	3.39880
0.62139	0.17911	3.41749
0.62308	0.17772	3.43606
0.62477	0.17637	3.45454
0.62646	0.17508	3.47291
0.62815	0.17383	3.49118
0.62984	0.17262	3.50935
0.63153	0.17146	3.52743
0.63322	0.17034	3.54542
0.63491	0.16926	3.56332
0.63660	0.16822	3.58113
0.63829	0.16722	3.59885
0.63998	0.16625	3.61649
0.64167	0.16532	3.63405
0.64336	0.16442	3.65153
0.64505	0.16356	3.66894
0.64674	0.16272	3.68627
0.64843	0.16192	3.70352
0.65012	0.16114	3.72070
0.65181	0.16040	3.73781
0.65350	0.15968	3.75485
0.65519	0.15899	3.77183
0.65688	0.15832	3.78874
0.65857	0.15768	3.80558
0.66026	0.15706	3.82236
0.66195	0.15647	3.83908
0.66364	0.15590	3.85574
0.66533	0.15535	3.87234
0.66702	0.15483	3.88888
0.66871	0.15432	3.90537
0.67040	0.15384	3.92180
0.67209	0.15337	3.93817
0.67378	0.15293	3.95450
0.67546	0.15250	3.97077
0.67715	0.15209	3.98699
0.67884	0.15170	4.00316
0.68053	0.15133	4.01928
0.68222	0.15097	4.03535
0.68391	0.15063	4.05137
0.68560	0.15031	4.06735
0.68729	0.15000	4.08329
0.68898	0.14971	4.09918
0.69067	0.14943	4.11502
0.69236	0.14917	4.13082
0.69405	0.14892	4.14659
0.69574	0.14868	4.16230
0.69743	0.14846	4.17798
0.69912	0.14825	4.19362
0.70081	0.14805	4.20922
0.70250	0.14786	4.22479
0.70419	0.14769	4.24031
0.70588	0.14753	4.25580
0.70757	0.14738	4.27125
0.70926	0.14724	4.28667
0.71095	0.14711	4.30205
0.71264	0.14700	4.31739
0.71433	0.14689	4.33271
0.71602	0.14680	4.34799
0.71771	0.14671	4.36323
0.71940	0.14663	4.37845
0.72109	0.14657	4.39363
0.72278	0.14651	4.40878
0.72447	0.14646	4.42391
0.72616	0.14643	4.43900
0.72785	0.14640	4.45406
0.72954	0.14637	4.46909
0.73122	0.14636	4.48410
0.73291	0.14636	4.49907
0.73460	0.14636	4.51402
0.73629	0.14637	4.52894
0.73798	0.14639	4.54384
0.73967	0.14642	4.55871
0.74136	0.14646	4.57355
0.74305	0.14650	4.58836
0.74474	0.14655	4.60316
0.74643	0.14660	4.61792
0.74812	0.14667	4.63266
0.74981	0.14674	4.64738
0.75150	0.14682	4.66208
0.75319	0.14690	4.67675
0.75488	0.14699	4.69140
0.75657	0.14709	4.70602
0.75826	0.14719	4.72062
0.75995	0.14730	4.73520
0.76164	0.14741	4.74976
0.76333	0.14753	4.76430
0.76502	0.14766	4.77882
0.76671	0.14779	4.79331
0.76840	0.14793	4.80779
0.77009	0.14808	4.82224
0.77178	0.14822	4.83668
0.77347	0.14838	4.85109
0.77516	0.14854	4.86549
0.77685	0.14870	4.87987
0.77854	0.14887	4.89422
0.78023	0.14905	4.90856
0.78192	0.14923	4.92288
0.78361	0.14941	4.93719
0.78530	0.14960	4.95147
0.78699	0.14980	4.96574
0.78867	0.15000	4.97999
0.79036	0.15020	4.99422
0.79205	0.15041	5.00844
0.79374	0.15062	5.02264
0.79543	0.15084	5.03682
0.79712	0.15106	5.05099
0.79881	0.15128	5.06514
0.80050	0.15151	5.07927
0.80219	0.15175	5.09339
0.80388	0.15199	5.10749
0.80557	0.15223	5.12158
0.80726	0.15247	5.13565
0.80895	0.15272	5.14971
0.81064	0.15298	5.16375
0.81233	0.15324	5.17778
0.81402	0.15350	5.19179
0.81571	0.15376	5.20579
0.81740	0.15403	5.21978
0.81909	0.15430	5.23375
0.82078	0.15458	5.24771
0.82247	0.15486	5.26165
0.82416	0.15514	5.27558
0.82585	0.15543	5.28950
0.82754	0.15572	5.30341
0.82923	0.15601	5.31730
0.83092	0.15631	5.33118
0.83261	0.15661	5.34504
0.83430	0.15691	5.35890
0.83599	0.15722	5.37274
0.83768	0.15753	5.38657
0.83937	0.15784	5.40038
0.84106	0.15815	5.41419
0.84275	0.15847	5.42798
0.84443	0.15879	5.44176
0.84612	0.15912	5.45554
0.84781	0.15945	5.46929
0.84950	0.15978	5.48304
0.85119	0.16011	5.49678
0.85288	0.16045	5.51050
0.85457	0.16079	5.52422
0.85626	0.16113	5.53792
0.85795	0.16147	5.55161
0.85964	0.16182	5.56529
0.86133	0.16217	5.57897
0.86302	0.16252	5.59263
0.86471	0.16288	5.60628
0.86640	0.16324	5.61992
0.86809	0.16360	5.63355
0.86978	0.16396	5.64717
0.87147	0.16433	5.66078
0.87316	0.16470	5.67438
0.87485	0.16507	5.68797
0.87654	0.16544	5.70156
0.87823	0.16582	5.71513
0.87992	0.16620	5.72869
0.88161	0.16658	5.74225
0.88330	0.16696	5.75579
0.88499	0.16735	5.76933
0.88668	0.16774	5.78285
0.88837	0.16813	5.79637
0.89006	0.16852	5.80988
0.89175	0.16892	5.82338
0.89344	0.16932	5.83687
0.89513	0.16972	5.85036
0.89682	0.17012	5.86383
0.89851	0.17052	5.87730
0.90020	0.17093	5.89075
0.90188	0.17134	5.90420
0.90357	0.17175	5.91765
0.90526	0.17216	5.93108
0.90695	0.17258	5.94451
0.90864	0.17300	5.95792
0.91033	0.17342	5.97133
0.91202	0.17384	5.98473
0.91371	0.17426	5.99813
0.91540	0.17469	6.01152
0.91709	0.17512	6.02489
0.91878	0.17555	6.03827
0.92047	0.17598	6.05163
0.92216	0.17641	6.06499
0.92385	0.17685	6.07834
0.92554	0.17729	6.09168
0.92723	0.17773	6.10501
0.92892	0.17817	6.11834
0.93061	0.17862	6.13166
0.93230	0.17906	6.14498
0.93399	0.17951	6.15828
0.93568	0.17996	6.17158
