Refractive index of gold at +30K
lambda [um]	n	k
0.55043	0.33810	2.48330
0.55212	0.32985	2.51098
0.55381	0.32202	2.53825
0.55550	0.31459	2.56515
0.55719	0.30753	2.59167
0.55888	0.30081	2.61784
0.56057	0.29442	2.64366
0.56225	0.28834	2.66915
0.56394	0.28254	2.69432
0.56563	0.27701	2.71918
0.56732	0.27173	2.74374
0.56901	0.26669	2.76800
0.57070	0.26188	2.79199
0.57239	0.25728	2.81571
0.57408	0.25288	2.83916
0.57577	0.24867	2.86236
0.57746	0.24464	2.88532
0.57915	0.24078	2.90804
0.58084	0.23708	2.93054
0.58253	0.23354	2.95281
0.58422	0.23014	2.97487
0.58591	0.22688	2.99672
0.58760	0.22375	3.01837
0.58929	0.22074	3.03983
0.59098	0.21785	3.06110
0.59267	0.21508	3.08219
0.59436	0.21241	3.10310
0.59605	0.20985	3.12384
0.59774	0.20739	3.14442
0.59943	0.20502	3.16483
0.60112	0.20274	3.18509
0.60281	0.20054	3.20520
0.60450	0.19843	3.22516
0.60619	0.19639	3.24498
0.60788	0.19444	3.26466
0.60957	0.19255	3.28420
0.61126	0.19073	3.30361
0.61295	0.18898	3.32290
0.61464	0.18729	3.34206
0.61633	0.18567	3.36111
0.61801	0.18410	3.38003
0.61970	0.18259	3.39884
0.62139	0.18113	3.41754
0.62308	0.17973	3.43614
0.62477	0.17837	3.45463
0.62646	0.17707	3.47301
0.62815	0.17581	3.49130
0.62984	0.17459	3.50949
0.63153	0.17342	3.52758
0.63322	0.17230	3.54558
0.63491	0.17121	3.56349
0.63660	0.17016	3.58132
0.63829	0.16914	3.59906
0.63998	0.16817	3.61671
0.64167	0.16723	3.63428
0.64336	0.16632	3.65178
0.64505	0.16545	3.66919
0.64674	0.16461	3.68653
0.64843	0.16379	3.70380
0.65012	0.16301	3.72099
0.65181	0.16226	3.73812
0.65350	0.16153	3.75517
0.65519	0.16083	3.77215
0.65688	0.16016	3.78907
0.65857	0.15952	3.80593
0.66026	0.15889	3.82272
0.66195	0.15830	3.83945
0.66364	0.15772	3.85612
0.66533	0.15717	3.87273
0.66702	0.15664	3.88928
0.66871	0.15613	3.90577
0.67040	0.15564	3.92221
0.67209	0.15517	3.93860
0.67378	0.15472	3.95493
0.67546	0.15429	3.97121
0.67715	0.15388	3.98744
0.67884	0.15348	4.00361
0.68053	0.15311	4.01974
0.68222	0.15275	4.03582
0.68391	0.15240	4.05186
0.68560	0.15208	4.06784
0.68729	0.15176	4.08378
0.68898	0.15147	4.09968
0.69067	0.15119	4.11553
0.69236	0.15092	4.13134
0.69405	0.15067	4.14711
0.69574	0.15043	4.16284
0.69743	0.15020	4.17852
0.69912	0.14999	4.19417
0.70081	0.14979	4.20977
0.70250	0.14960	4.22534
0.70419	0.14943	4.24087
0.70588	0.14927	4.25637
0.70757	0.14911	4.27182
0.70926	0.14897	4.28724
0.71095	0.14885	4.30263
0.71264	0.14873	4.31798
0.71433	0.14862	4.33330
0.71602	0.14852	4.34858
0.71771	0.14844	4.36384
0.71940	0.14836	4.37906
0.72109	0.14829	4.39424
0.72278	0.14824	4.40940
0.72447	0.14819	4.42453
0.72616	0.14815	4.43962
0.72785	0.14812	4.45469
0.72954	0.14810	4.46973
0.73122	0.14808	4.48473
0.73291	0.14808	4.49971
0.73460	0.14808	4.51467
0.73629	0.14809	4.52959
0.73798	0.14811	4.54449
0.73967	0.14814	4.55936
0.74136	0.14818	4.57421
0.74305	0.14822	4.58903
0.74474	0.14827	4.60382
0.74643	0.14833	4.61859
0.74812	0.14839	4.63334
0.74981	0.14846	4.64806
0.75150	0.14854	4.66275
0.75319	0.14862	4.67743
0.75488	0.14871	4.69208
0.75657	0.14881	4.70671
0.75826	0.14892	4.72131
0.75995	0.14902	4.73589
0.76164	0.14914	4.75046
0.76333	0.14926	4.76500
0.76502	0.14939	4.77951
0.76671	0.14952	4.79401
0.76840	0.14966	4.80849
0.77009	0.14981	4.82295
0.77178	0.14996	4.83738
0.77347	0.15012	4.85180
0.77516	0.15028	4.86620
0.77685	0.15044	4.88058
0.77854	0.15061	4.89494
0.78023	0.15079	4.90928
0.78192	0.15097	4.92360
0.78361	0.15116	4.93790
0.78530	0.15135	4.95219
0.78699	0.15155	4.96646
0.78867	0.15175	4.98071
0.79036	0.15195	4.99494
0.79205	0.15216	5.00916
0.79374	0.15238	5.02336
0.79543	0.15260	5.03755
0.79712	0.15282	5.05171
0.79881	0.15305	5.06586
0.80050	0.15328	5.08000
0.80219	0.15352	5.09412
0.80388	0.15376	5.10822
0.80557	0.15400	5.12231
0.80726	0.15425	5.13638
0.80895	0.15450	5.15044
0.81064	0.15476	5.16449
0.81233	0.15502	5.17851
0.81402	0.15528	5.19253
0.81571	0.15555	5.20653
0.81740	0.15582	5.22051
0.81909	0.15610	5.23449
0.82078	0.15637	5.24844
0.82247	0.15666	5.26239
0.82416	0.15694	5.27632
0.82585	0.15723	5.29024
0.82754	0.15752	5.30414
0.82923	0.15782	5.31804
0.83092	0.15812	5.33191
0.83261	0.15842	5.34578
0.83430	0.15873	5.35963
0.83599	0.15904	5.37348
0.83768	0.15935	5.38730
0.83937	0.15967	5.40112
0.84106	0.15998	5.41493
0.84275	0.16031	5.42872
0.84443	0.16063	5.44250
0.84612	0.16096	5.45627
0.84781	0.16129	5.47003
0.84950	0.16162	5.48378
0.85119	0.16196	5.49751
0.85288	0.16230	5.51124
0.85457	0.16264	5.52495
0.85626	0.16299	5.53865
0.85795	0.16334	5.55235
0.85964	0.16369	5.56603
0.86133	0.16404	5.57970
0.86302	0.16440	5.59336
0.86471	0.16476	5.60701
0.86640	0.16512	5.62065
0.86809	0.16549	5.63428
0.86978	0.16585	5.64790
0.87147	0.16622	5.66151
0.87316	0.16660	5.67511
0.87485	0.16697	5.68870
