Refractive index of gold at +25K
lambda [um]	n	k
0.55043	0.33610	2.48398
0.55212	0.32787	2.51163
0.55381	0.32006	2.53888
0.55550	0.31265	2.56576
0.55719	0.30561	2.59226
0.55888	0.29892	2.61841
0.56057	0.29255	2.64421
0.56225	0.28648	2.66968
0.56394	0.28070	2.69483
0.56563	0.27519	2.71966
0.56732	0.26993	2.74420
0.56901	0.26491	2.76845
0.57070	0.26011	2.79242
0.57239	0.25553	2.81611
0.57408	0.25115	2.83955
0.57577	0.24695	2.86273
0.57746	0.24294	2.88567
0.57915	0.23909	2.90838
0.58084	0.23541	2.93085
0.58253	0.23188	2.95311
0.58422	0.22849	2.97515
0.58591	0.22525	2.99698
0.58760	0.22213	3.01862
0.58929	0.21914	3.04006
0.59098	0.21626	3.06131
0.59267	0.21350	3.08238
0.59436	0.21085	3.10328
0.59605	0.20830	3.12401
0.59774	0.20584	3.14457
0.59943	0.20348	3.16497
0.60112	0.20121	3.18521
0.60281	0.19903	3.20530
0.60450	0.19693	3.22525
0.60619	0.19490	3.24505
0.60788	0.19296	3.26472
0.60957	0.19108	3.28425
0.61126	0.18927	3.30365
0.61295	0.18753	3.32292
0.61464	0.18585	3.34207
0.61633	0.18423	3.36110
0.61801	0.18267	3.38002
0.61970	0.18117	3.39882
0.62139	0.17972	3.41750
0.62308	0.17832	3.43609
0.62477	0.17698	3.45456
0.62646	0.17568	3.47294
0.62815	0.17443	3.49121
0.62984	0.17322	3.50939
0.63153	0.17205	3.52747
0.63322	0.17093	3.54547
0.63491	0.16985	3.56337
0.63660	0.16881	3.58118
0.63829	0.16780	3.59891
0.63998	0.16683	3.61656
0.64167	0.16589	3.63412
0.64336	0.16499	3.65160
0.64505	0.16412	3.66901
0.64674	0.16329	3.68634
0.64843	0.16248	3.70360
0.65012	0.16170	3.72078
0.65181	0.16095	3.73790
0.65350	0.16023	3.75494
0.65519	0.15954	3.77192
0.65688	0.15887	3.78883
0.65857	0.15823	3.80568
0.66026	0.15761	3.82246
0.66195	0.15701	3.83919
0.66364	0.15644	3.85585
0.66533	0.15589	3.87245
0.66702	0.15537	3.88900
0.66871	0.15486	3.90548
0.67040	0.15437	3.92192
0.67209	0.15391	3.93830
0.67378	0.15346	3.95462
0.67546	0.15303	3.97089
0.67715	0.15262	3.98711
0.67884	0.15223	4.00329
0.68053	0.15186	4.01941
0.68222	0.15150	4.03548
0.68391	0.15116	4.05151
0.68560	0.15083	4.06749
0.68729	0.15053	4.08343
0.68898	0.15023	4.09932
0.69067	0.14995	4.11517
0.69236	0.14969	4.13097
0.69405	0.14943	4.14673
0.69574	0.14920	4.16246
0.69743	0.14897	4.17814
0.69912	0.14876	4.19378
0.70081	0.14856	4.20938
0.70250	0.14838	4.22494
0.70419	0.14820	4.24047
0.70588	0.14804	4.25596
0.70757	0.14789	4.27141
0.70926	0.14775	4.28683
0.71095	0.14763	4.30221
0.71264	0.14751	4.31756
0.71433	0.14740	4.33288
0.71602	0.14731	4.34816
0.71771	0.14722	4.36341
0.71940	0.14714	4.37862
0.72109	0.14708	4.39381
0.72278	0.14702	4.40896
0.72447	0.14697	4.42408
0.72616	0.14693	4.43917
0.72785	0.14690	4.45424
0.72954	0.14688	4.46927
0.73122	0.14687	4.48428
0.73291	0.14687	4.49926
0.73460	0.14687	4.51421
0.73629	0.14688	4.52913
0.73798	0.14690	4.54402
0.73967	0.14693	4.55889
0.74136	0.14696	4.57374
0.74305	0.14700	4.58855
0.74474	0.14705	4.60334
0.74643	0.14711	4.61811
0.74812	0.14717	4.63286
0.74981	0.14725	4.64757
0.75150	0.14732	4.66227
0.75319	0.14741	4.67694
0.75488	0.14750	4.69159
0.75657	0.14759	4.70622
0.75826	0.14770	4.72082
0.75995	0.14781	4.73540
0.76164	0.14792	4.74996
0.76333	0.14804	4.76450
0.76502	0.14817	4.77902
0.76671	0.14830	4.79351
0.76840	0.14844	4.80799
0.77009	0.14858	4.82244
0.77178	0.14873	4.83688
