Refractive index of gold at +16K
lambda [um]	n	k
0.55043	0.33322	2.48436
0.55212	0.32500	2.51202
0.55381	0.31720	2.53929
0.55550	0.30980	2.56616
0.55719	0.30277	2.59267
0.55888	0.29609	2.61882
0.56057	0.28973	2.64462
0.56225	0.28368	2.67009
0.56394	0.27791	2.69523
0.56563	0.27242	2.72007
0.56732	0.26717	2.74460
0.56901	0.26217	2.76884
0.57070	0.25739	2.79280
0.57239	0.25282	2.81649
0.57408	0.24846	2.83992
0.57577	0.24428	2.86309
0.57746	0.24028	2.88602
0.57915	0.23645	2.90872
0.58084	0.23279	2.93118
0.58253	0.22927	2.95342
0.58422	0.22590	2.97545
0.58591	0.22267	2.99728
0.58760	0.21957	3.01890
0.58929	0.21659	3.04033
0.59098	0.21373	3.06157
0.59267	0.21099	3.08263
0.59436	0.20835	3.10352
0.59605	0.20582	3.12423
0.59774	0.20338	3.14478
0.59943	0.20103	3.16516
0.60112	0.19878	3.18539
0.60281	0.19661	3.20547
0.60450	0.19452	3.22541
0.60619	0.19251	3.24520
0.60788	0.19057	3.26485
0.60957	0.18871	3.28437
0.61126	0.18691	3.30375
0.61295	0.18518	3.32301
0.61464	0.18352	3.34215
0.61633	0.18191	3.36117
0.61801	0.18036	3.38007
0.61970	0.17887	3.39886
0.62139	0.17743	3.41753
0.62308	0.17605	3.43610
0.62477	0.17471	3.45456
0.62646	0.17342	3.47293
0.62815	0.17218	3.49119
0.62984	0.17099	3.50936
0.63153	0.16983	3.52743
0.63322	0.16872	3.54541
0.63491	0.16764	3.56330
0.63660	0.16661	3.58110
0.63829	0.16561	3.59882
0.63998	0.16465	3.61645
0.64167	0.16372	3.63400
0.64336	0.16283	3.65148
0.64505	0.16197	3.66887
0.64674	0.16114	3.68619
0.64843	0.16034	3.70344
0.65012	0.15957	3.72061
0.65181	0.15883	3.73772
0.65350	0.15812	3.75475
0.65519	0.15743	3.77172
0.65688	0.15677	3.78862
0.65857	0.15613	3.80546
0.66026	0.15552	3.82223
0.66195	0.15493	3.83894
0.66364	0.15436	3.85560
0.66533	0.15382	3.87219
0.66702	0.15330	3.88872
0.66871	0.15280	3.90520
0.67040	0.15232	3.92163
0.67209	0.15186	3.93800
0.67378	0.15141	3.95431
0.67546	0.15099	3.97058
0.67715	0.15059	3.98679
0.67884	0.15020	4.00295
0.68053	0.14983	4.01907
0.68222	0.14947	4.03513
0.68391	0.14914	4.05115
0.68560	0.14882	4.06713
0.68729	0.14851	4.08305
